index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster
0,31.590748,1.000000,0.001757,1461.046,1540.243,3688.566,0.000584,,0.0000,-732.976807,132.050674,35.198334,12.665157,-23.181736,-16.648838,-15.032370,-8.688180,1.154325,-0.236778,8.199753,6.414700,9.719436,unpitched,dark,soft,long,0,0
1,35.004082,0.050000,0.001533,2260.225,4995.703,4004.068,0.000391,,0.0000,-652.820496,124.744263,-15.127210,26.013037,3.139482,7.739350,2.312133,2.461522,-1.440228,4.407068,12.799438,5.170596,5.670777,unpitched,mid,soft,short,0,3
2,35.050522,0.371519,0.099368,1548.386,2647.279,1869.449,0.044078,,0.0000,-299.173492,163.418457,-1.860403,33.872219,17.821690,2.367421,11.838699,7.890328,-1.897834,2.140700,5.937012,-1.003987,4.837273,unpitched,dark,loud,long,0,0
3,35.422041,0.267029,0.067566,3594.573,6410.614,2903.841,0.107402,,0.0000,-169.567642,140.657074,-86.371758,41.025066,-42.187927,-2.412884,-10.028611,-1.957378,-5.824378,-0.578133,1.633014,6.854822,-7.462147,unpitched,bright,medium,medium,4,4
4,35.689070,0.185760,0.130981,938.494,1428.791,1592.816,0.016228,,0.0000,-320.097260,188.922562,26.454514,33.668846,25.387863,1.373812,8.606259,11.125059,2.791680,0.144319,3.723172,-1.765387,-1.790726,unpitched,dark,loud,medium,0,0
5,35.874830,0.104490,0.019918,3023.202,5493.120,2878.211,0.082812,,0.0000,-298.620636,151.399384,-78.761826,62.759178,1.460836,13.592819,17.202024,0.730714,10.482050,1.560545,1.190027,-4.068073,0.735698,unpitched,mid,soft,short,3,3
6,35.979320,0.174150,0.140026,603.801,752.316,1478.851,0.007446,,0.0000,-350.169189,187.994598,57.238033,35.148117,30.602804,10.735380,9.225999,8.882736,2.017443,3.042891,3.700799,-1.316034,-1.992258,unpitched,dark,loud,medium,0,0
7,36.153469,0.359909,0.090143,1444.039,2424.504,1748.720,0.041626,,0.0000,-308.826660,162.194641,-1.076096,44.097694,27.445278,2.699042,13.700276,5.075603,0.045576,4.976103,5.995709,-0.429313,2.846195,unpitched,dark,medium,long,0,0
8,36.513379,0.278639,0.068630,3395.731,6121.459,2657.892,0.103613,,0.0000,-183.060059,155.055542,-95.685280,47.152958,-41.859650,-6.629961,-7.481622,-5.827791,-0.910142,-6.274114,7.031390,2.693459,-1.457699,unpitched,bright,medium,long,4,4
9,36.792018,0.452789,0.082451,1313.678,2444.557,1795.197,0.030713,,0.0000,-295.752625,182.038010,-2.780327,26.169865,26.222601,-7.148901,7.968596,5.556624,-6.083827,1.451596,2.143361,-1.191606,1.495249,unpitched,dark,medium,long,0,0
10,37.244807,0.359909,0.095326,1503.999,2462.426,1749.294,0.046024,,0.0000,-287.544891,175.556564,-8.179211,32.322117,17.640293,-0.374784,14.309735,4.732016,-3.152316,1.033703,5.017616,1.589867,6.690133,unpitched,dark,medium,long,0,0
11,37.604717,0.452789,0.099084,2359.640,4257.653,2233.676,0.071362,,0.0000,-225.110397,163.597076,-37.851025,32.699871,-12.435428,-8.063565,2.822742,-3.245028,1.653893,-6.309483,7.131615,0.632074,1.800491,unpitched,mid,loud,long,4,0
12,38.057506,0.104490,0.020555,3105.712,5609.399,2915.499,0.085352,,0.0000,-296.555847,150.713531,-75.930298,72.155945,-0.334328,10.998474,2.122929,-9.020696,8.105436,3.357626,10.542768,-2.999998,7.616504,unpitched,mid,soft,short,3,3
13,38.161995,0.162540,0.145636,774.621,1162.793,1775.341,0.009180,,0.0000,-329.355896,196.575974,49.349792,27.634769,23.054203,9.212276,9.507771,7.740085,-0.261677,-0.177590,4.171311,2.491851,2.414442,unpitched,dark,loud,short,0,0
14,38.324535,0.348299,0.096303,1587.554,2744.441,1957.085,0.044260,,0.0000,-279.503021,176.038727,-5.239005,30.745361,14.514002,-0.201402,14.012008,5.972728,-1.585939,0.755011,4.787696,1.122488,5.369975,unpitched,dark,medium,long,0,0
15,38.672834,0.301859,0.068574,3183.994,5924.023,2676.226,0.098506,,0.0000,-197.309357,167.046524,-94.830826,48.708111,-39.930244,-8.190919,-3.673385,-10.833351,3.291522,-11.888027,11.148161,-1.937017,1.392401,unpitched,mid,medium,long,4,4
