time,division,beat,phase
0.267029,4,0,0
0.267029,8,0,0
0.267029,16,0,0
0.267029,32,0,0
0.335238,32,0,1
0.403447,16,0,1
0.403447,32,0,2
0.471655,32,0,3
0.539864,8,0,1
0.539864,16,0,2
0.539864,32,0,4
0.608073,32,0,5
0.676281,16,0,3
0.676281,32,0,6
0.744490,32,0,7
0.812698,4,1,0
0.812698,8,1,0
0.812698,16,1,0
0.812698,32,1,0
0.882358,32,1,1
0.952018,16,1,1
0.952018,32,1,2
1.021678,32,1,3
1.091338,8,1,1
1.091338,16,1,2
1.091338,32,1,4
1.160998,32,1,5
1.230658,16,1,3
1.230658,32,1,6
1.300317,32,1,7
1.369977,4,2,0
1.369977,8,2,0
1.369977,16,2,0
1.369977,32,2,0
1.438186,32,2,1
1.506395,16,2,1
1.506395,32,2,2
1.574603,32,2,3
1.642812,8,2,1
1.642812,16,2,2
1.642812,32,2,4
1.711020,32,2,5
1.779229,16,2,3
1.779229,32,2,6
1.847438,32,2,7
1.915646,4,3,0
1.915646,8,3,0
1.915646,16,3,0
1.915646,32,3,0
1.985306,32,3,1
2.054966,16,3,1
2.054966,32,3,2
2.124626,32,3,3
2.194286,8,3,1
2.194286,16,3,2
2.194286,32,3,4
2.263946,32,3,5
2.333605,16,3,3
2.333605,32,3,6
2.403265,32,3,7
2.472925,4,4,0
2.472925,8,4,0
2.472925,16,4,0
2.472925,32,4,0
2.541134,32,4,1
2.609342,16,4,1
2.609342,32,4,2
2.677551,32,4,3
2.745760,8,4,1
2.745760,16,4,2
2.745760,32,4,4
2.813968,32,4,5
2.882177,16,4,3
2.882177,32,4,6
2.950385,32,4,7
3.018594,4,5,0
3.018594,8,5,0
3.018594,16,5,0
3.018594,32,5,0
3.086803,32,5,1
3.155011,16,5,1
3.155011,32,5,2
3.223220,32,5,3
3.291429,8,5,1
3.291429,16,5,2
3.291429,32,5,4
3.359637,32,5,5
3.427846,16,5,3
3.427846,32,5,6
3.496054,32,5,7
3.564263,4,6,0
3.564263,8,6,0
3.564263,16,6,0
3.564263,32,6,0
3.631020,32,6,1
3.697778,16,6,1
3.697778,32,6,2
3.764535,32,6,3
3.831293,8,6,1
3.831293,16,6,2
3.831293,32,6,4
3.898050,32,6,5
3.964807,16,6,3
3.964807,32,6,6
4.031565,32,6,7
4.098322,4,7,0
4.098322,8,7,0
4.098322,16,7,0
4.098322,32,7,0
4.170884,32,7,1
4.243447,16,7,1
4.243447,32,7,2
4.316009,32,7,3
4.388571,8,7,1
4.388571,16,7,2
4.388571,32,7,4
4.461134,32,7,5
4.533696,16,7,3
4.533696,32,7,6
4.606259,32,7,7
4.678821,4,8,0
4.678821,8,8,0
4.678821,16,8,0
4.678821,32,8,0
4.752834,32,8,1
4.826848,16,8,1
4.826848,32,8,2
4.900862,32,8,3
4.974875,8,8,1
4.974875,16,8,2
4.974875,32,8,4
5.048889,32,8,5
5.122902,16,8,3
5.122902,32,8,6
5.196916,32,8,7
5.270930,4,9,0
5.270930,8,9,0
5.270930,16,9,0
5.270930,32,9,0
5.328980,32,9,1
5.387029,16,9,1
5.387029,32,9,2
5.445079,32,9,3
5.503129,8,9,1
5.503129,16,9,2
5.503129,32,9,4
5.561179,32,9,5
5.619229,16,9,3
5.619229,32,9,6
5.677279,32,9,7
5.735329,4,10,0
5.735329,8,10,0
5.735329,16,10,0
5.735329,32,10,0
5.803537,32,10,1
5.871746,16,10,1
5.871746,32,10,2
5.939955,32,10,3
6.008163,8,10,1
6.008163,16,10,2
6.008163,32,10,4
6.076372,32,10,5
6.144580,16,10,3
6.144580,32,10,6
6.212789,32,10,7
6.280998,4,11,0
6.280998,8,11,0
6.280998,16,11,0
6.280998,32,11,0
6.349206,32,11,1
6.417415,16,11,1
6.417415,32,11,2
6.485624,32,11,3
6.553832,8,11,1
6.553832,16,11,2
6.553832,32,11,4
6.622041,32,11,5
6.690249,16,11,3
6.690249,32,11,6
6.758458,32,11,7
6.826667,4,12,0
6.826667,8,12,0
6.826667,16,12,0
6.826667,32,12,0
6.899229,32,12,1
6.971791,16,12,1
6.971791,32,12,2
7.044354,32,12,3
7.116916,8,12,1
7.116916,16,12,2
7.116916,32,12,4
7.189478,32,12,5
7.262041,16,12,3
7.262041,32,12,6
7.334603,32,12,7
7.407166,4,13,0
7.407166,8,13,0
7.407166,16,13,0
7.407166,32,13,0
7.481179,32,13,1
7.555193,16,13,1
7.555193,32,13,2
7.629206,32,13,3
7.703220,8,13,1
7.703220,16,13,2
7.703220,32,13,4
7.777234,32,13,5
7.851247,16,13,3
7.851247,32,13,6
7.925261,32,13,7
7.999274,4,14,0
7.999274,8,14,0
7.999274,16,14,0
7.999274,32,14,0
8.057324,32,14,1
8.115374,16,14,1
8.115374,32,14,2
8.173424,32,14,3
8.231474,8,14,1
8.231474,16,14,2
8.231474,32,14,4
8.289524,32,14,5
8.347574,16,14,3
8.347574,32,14,6
8.405624,32,14,7
8.463673,4,15,0
8.463673,8,15,0
8.463673,16,15,0
8.463673,32,15,0
8.531882,32,15,1
8.600091,16,15,1
8.600091,32,15,2
8.668299,32,15,3
8.736508,8,15,1
8.736508,16,15,2
8.736508,32,15,4
8.804717,32,15,5
8.872925,16,15,3
8.872925,32,15,6
8.941134,32,15,7
9.009342,4,16,0
9.009342,8,16,0
9.009342,16,16,0
9.009342,32,16,0
9.076100,32,16,1
9.142857,16,16,1
9.142857,32,16,2
9.209615,32,16,3
9.276372,8,16,1
9.276372,16,16,2
9.276372,32,16,4
9.343129,32,16,5
9.409887,16,16,3
9.409887,32,16,6
9.476644,32,16,7
9.543401,4,17,0
9.543401,8,17,0
9.543401,16,17,0
9.543401,32,17,0
9.613061,32,17,1
9.682721,16,17,1
9.682721,32,17,2
9.752381,32,17,3
9.822041,8,17,1
9.822041,16,17,2
9.822041,32,17,4
9.891701,32,17,5
9.961361,16,17,3
9.961361,32,17,6
