start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
0.069660,0.162540,234.4360,58,A#3,0.4626
0.255420,0.464399,234.4321,58,A#3,0.4746
0.534059,1.068118,698.4565,77,F5,0.9223
1.114558,1.230658,365.7447,66,F#4,0.5903
1.230658,1.323537,349.2282,65,F4,0.7740
1.346757,1.857596,233.0819,58,A#3,0.8492
2.879274,3.599093,353.2861,65,F4,0.5791
3.761633,3.970612,351.2513,65,F4,0.4120
4.272472,4.527891,206.4564,56,G#3,0.4221
4.992290,5.131610,206.4564,56,G#3,0.4497
5.247710,5.340590,932.3275,82,A#5,0.7886
5.433469,5.688889,932.3275,82,A#5,0.7620
5.990748,6.408707,312.9293,63,D#4,0.6099
6.571247,6.803447,698.4565,77,F5,0.7233
6.803447,7.128526,661.1646,76,E5,0.5984
7.221406,7.314286,577.2396,74,D5,0.4932
7.639365,7.987664,618.6700,75,D#5,0.6090
8.034104,8.150204,564.0554,73,C#5,0.6603
8.150204,8.243084,590.7418,74,D5,0.4738
8.243084,8.405624,570.6094,74,D5,0.5083
9.264762,9.682721,233.0819,58,A#3,0.6073
9.775601,10.031020,140.2017,49,C#3,0.6448
10.077460,10.588299,233.0819,58,A#3,0.8251
11.517098,11.772517,351.2513,65,F4,0.5338
12.097596,12.236916,349.2282,65,F4,0.5531
12.585215,12.678095,349.2282,65,F4,0.4151
13.026395,13.955193,207.6523,56,G#3,0.6333
14.164172,14.419592,311.1270,63,D#4,0.8934
14.535692,14.675011,233.0819,58,A#3,0.5242
14.675011,15.139410,311.1270,63,D#4,0.8719
15.255510,15.394830,731.5016,78,F#5,0.4179
15.394830,15.603810,702.5026,77,F5,0.7022
15.603810,15.836009,678.5728,76,E5,0.5768
15.975329,16.137868,601.0577,74,D5,0.4541
16.137868,16.230748,578.9115,74,D5,0.4164
16.230748,16.323628,604.5497,75,D#5,0.4714
16.509388,16.671927,633.1308,75,D#5,0.7460
16.764807,17.136327,564.0554,73,C#5,0.7193
17.229206,17.461406,470.2223,70,A#4,0.6088
17.995465,18.413424,233.0819,58,A#3,0.7546
18.483084,18.692063,139.3942,49,C#3,0.4058
18.715283,19.319002,233.0819,58,A#3,0.7283
20.224580,21.176599,353.2861,65,F4,0.5999
21.942857,22.685896,207.6523,56,G#3,0.6567
22.871655,23.173515,932.3275,82,A#5,0.8920
23.475374,23.870113,625.8586,75,D#5,0.8097
23.870113,24.032653,698.4565,77,F5,0.6268
24.148753,24.613152,690.4340,77,F5,0.7852
24.682812,24.891791,629.4842,75,D#5,0.4414
25.077551,25.402630,618.6700,75,D#5,0.4680
25.634830,25.867029,570.6094,74,D5,0.5875
25.959909,26.145669,482.6030,71,B4,0.5133
26.865488,27.120907,233.0819,58,A#3,0.8136
27.190567,27.469206,139.7979,49,C#3,0.6716
27.538866,28.026485,233.0819,58,A#3,0.8635
30.000181,30.209161,351.2513,65,F4,0.5785
30.418141,31.021859,208.8553,56,G#3,0.5586
31.114739,31.300499,208.2538,56,G#3,0.3734
31.416599,31.509478,932.3275,82,A#5,0.8948
31.602358,31.880998,932.3275,82,A#5,0.7820
31.973878,32.136417,233.0819,58,A#3,0.4360
32.136417,32.577596,311.1270,63,D#4,0.7263
32.786576,32.949116,706.5721,77,F5,0.4791
33.018776,33.158095,653.5705,76,E5,0.5946
33.158095,33.343855,696.4451,77,F5,0.5841
33.668934,33.761814,595.8749,74,D5,0.4420
33.785034,34.156553,625.8586,75,D#5,0.7862
34.179773,34.342313,564.0554,73,C#5,0.6464
34.342313,34.528073,570.6094,74,D5,0.6386
34.946032,35.038912,77.7817,39,D#2,0.4151
35.480091,35.689070,233.0819,58,A#3,0.7033
36.316009,36.826848,233.0819,58,A#3,0.8046
37.616327,37.848526,351.2513,65,F4,0.7512
38.568345,38.823764,349.2282,65,F4,0.6810
39.264943,39.497143,208.8553,56,G#3,0.8217
39.659683,40.007982,211.2820,56,G#3,0.5559
40.147302,40.309841,937.7284,82,A#5,0.6537
40.425941,40.588481,937.7284,82,A#5,0.8625
40.890340,41.308299,311.1270,63,D#4,0.9012
41.424399,41.679819,698.4565,77,F5,0.9344
41.772698,41.888798,666.9153,76,E5,0.7005
41.888798,42.051338,640.4874,76,E5,0.6967
42.655057,42.747937,633.1413,75,D#5,0.4200
42.887256,43.328435,564.0554,73,C#5,0.8050
44.048254,44.350113,233.0819,58,A#3,0.6360
44.582313,44.675193,139.3942,49,C#3,0.5177
44.791293,44.953832,139.3942,49,C#3,0.6003
45.069932,45.534331,233.0819,58,A#3,0.8724
46.347029,46.556009,116.5409,46,A#2,0.6752
46.997188,47.113288,351.2513,65,F4,0.7432
47.275828,47.531247,351.2513,65,F4,0.7171
47.995646,48.204626,207.6523,56,G#3,0.7584
48.390385,48.669025,207.6523,56,G#3,0.7265
48.878005,49.017324,932.3275,82,A#5,0.6579
49.156644,49.295964,935.0280,82,A#5,0.8422
49.597823,50.039002,311.1270,63,D#4,0.8990
50.131882,50.271202,233.0819,58,A#3,0.5912
50.526621,50.712381,666.9153,76,E5,0.5854
50.805261,50.944580,567.3229,73,C#5,0.5950
51.316100,51.478639,618.6700,75,D#5,0.6843
51.664399,51.803719,568.9662,73,C#5,0.5204
51.803719,51.919819,604.5396,74,D5,0.6462
52.128798,52.221678,478.4576,70,A#4,0.5858
52.384218,52.523537,77.7817,39,D#2,0.4400
53.080816,53.313016,233.0819,58,A#3,0.7647
53.405896,53.661315,351.2513,65,F4,0.6193
53.800635,54.311474,233.0819,58,A#3,0.6635
55.449252,55.565351,174.6141,53,F3,0.7412
55.727891,55.843991,351.2513,65,F4,0.6418
55.983311,56.261950,352.2687,65,F4,0.6894
57.097868,57.469388,208.8553,56,G#3,0.8440
57.608707,57.748027,935.0280,82,A#5,0.5233
57.864127,58.026667,932.3275,82,A#5,0.7315
58.142766,58.351746,233.0819,58,A#3,0.6138
58.351746,58.746485,311.1270,63,D#4,0.8592
59.001905,59.118005,698.4565,77,F5,0.7313
59.234104,59.512744,690.4340,77,F5,0.5986
59.791383,59.930703,580.5932,74,D5,0.5254
60.046803,60.209342,629.4842,75,D#5,0.8125
60.371882,60.743401,567.3229,73,C#5,0.7026
60.836281,60.929161,478.4416,70,A#4,0.4738
61.091701,61.277460,235.1111,58,A#3,0.3734
61.648980,61.857959,233.0819,58,A#3,0.8215
61.950839,62.113379,233.0819,58,A#3,0.8299
62.229478,62.392018,139.3942,49,C#3,0.6339
62.508118,62.995737,233.0819,58,A#3,0.8719
63.901315,64.017415,353.2861,65,F4,0.5595
64.179955,64.296054,116.5409,46,A#2,0.6178
64.435374,64.574694,174.6141,53,F3,0.6872
64.806893,65.039093,351.2513,65,F4,0.4799
65.457052,65.642812,205.8618,56,G#3,0.5359
65.898231,66.176871,207.6523,56,G#3,0.6617
66.316190,66.478730,937.7284,82,A#5,0.6077
66.594830,66.757370,937.7284,82,A#5,0.8093
66.873469,67.477188,311.1270,63,D#4,0.7903
67.639728,67.848707,698.4565,77,F5,0.8083
67.964807,68.220227,663.0741,76,E5,0.6234
68.289887,68.382766,589.0307,74,D5,0.5054
68.777506,68.940045,622.2540,75,D#5,0.5445
69.102585,69.474104,560.8067,73,C#5,0.7611
69.543764,69.659864,508.3552,71,B4,0.3742
69.868844,70.008163,115.5360,46,A#2,0.5125
70.356463,70.542222,116.5409,46,A#2,0.6112
70.960181,71.076281,140.2017,49,C#3,0.7286
71.215601,71.656780,233.0819,58,A#3,0.8928
71.981859,72.214059,91.9659,42,F#2,0.4412
75.070113,75.209433,932.3275,82,A#5,0.6010
75.302313,75.464853,932.3275,82,A#5,0.9511
75.604172,75.743492,233.0819,58,A#3,0.5036
75.743492,76.022132,311.1270,63,D#4,0.9102
76.672290,76.904490,77.7817,39,D#2,0.4903
77.926168,78.204807,562.4310,73,C#5,0.5765
78.274467,78.390567,471.5803,70,A#4,0.5305
78.599546,78.738866,115.8697,46,A#2,0.4604
78.878186,79.249705,115.8697,46,A#2,0.5894
79.389025,79.481905,174.6141,53,F3,0.7412
79.690884,79.830204,139.3942,49,C#3,0.6012
79.946304,80.387483,233.0819,58,A#3,0.7719
81.571701,81.757460,137.7931,49,C#3,0.4733
81.873560,82.012880,68.8965,37,C#2,0.5204
82.175420,82.546939,68.8965,37,C#2,0.4640
82.918458,83.104218,91.9659,42,F#2,0.4468
84.033016,84.195556,311.1270,63,D#4,0.9225
84.567075,84.915374,311.1270,63,D#4,0.9030
85.101134,85.263673,77.3338,39,D#2,0.3634
85.379773,85.658413,77.7817,39,D#2,0.5426
87.330249,87.469569,115.8697,46,A#2,0.4294
87.655329,88.003628,115.8697,46,A#2,0.4437
88.398367,88.537687,140.2017,49,C#3,0.5987
88.677007,89.048526,233.0819,58,A#3,0.8279
89.396825,89.536145,91.9659,42,F#2,0.5400
89.791565,89.930884,92.4986,42,F#2,0.3599
92.694059,92.903039,932.3275,82,A#5,0.5891
93.042358,93.228118,233.0819,58,A#3,0.6219
93.228118,93.437098,311.1270,63,D#4,0.7789
95.016054,95.108934,88.8332,41,F2,0.4605
96.014512,96.177052,115.8697,46,A#2,0.4450
96.362812,96.734331,115.8697,46,A#2,0.4308
97.129070,97.221950,140.2017,49,C#3,0.5991
97.384490,97.756009,233.0819,58,A#3,0.7373
99.033107,99.195646,137.7931,49,C#3,0.7078
99.311746,99.474286,137.7931,49,C#3,0.7167
99.613605,99.985125,68.8965,37,C#2,0.4093
100.704943,100.960363,91.9659,42,F#2,0.4875
101.285442,101.378322,233.0819,58,A#3,0.4940
101.494422,101.633741,311.1270,63,D#4,0.7800
102.005261,102.167800,311.1270,63,D#4,0.6872
102.841179,103.096599,77.7817,39,D#2,0.4695
104.118277,104.373696,560.8067,73,C#5,0.6126
104.721995,104.930975,115.8697,46,A#2,0.5513
105.023855,105.441814,115.8697,46,A#2,0.6398
105.534694,105.650794,233.0819,58,A#3,0.8782
105.743673,105.906213,139.3942,49,C#3,0.5503
106.115193,106.509932,233.0819,58,A#3,0.8297
106.649252,106.742132,91.9659,42,F#2,0.6685
106.997551,107.090431,92.2322,42,F#2,0.6538
110.225125,110.364444,935.0280,82,A#5,0.8192
110.666304,110.921723,311.1270,63,D#4,0.7054
111.664762,111.780862,77.7817,39,D#2,0.4922
113.197279,113.290159,93.0344,42,F#2,0.4457
113.522358,113.638458,115.2024,46,A#2,0.3536
113.777778,114.195737,115.8697,46,A#2,0.4289
114.288617,114.381497,233.0819,58,A#3,0.5451
114.567256,114.729796,349.2282,65,F4,0.5309
114.869116,115.194195,233.0819,58,A#3,0.6636
116.471293,116.633832,68.8965,37,C#2,0.4800
116.773152,116.912472,68.8965,37,C#2,0.5634
117.051791,117.469751,68.8965,37,C#2,0.4267
117.818050,118.003810,91.9659,42,F#2,0.6166
118.932608,119.071927,935.0280,82,A#5,0.6590
119.211247,119.420227,233.0819,58,A#3,0.6120
119.420227,119.559546,309.3350,63,D#4,0.8192
120.302585,120.534785,77.7817,39,D#2,0.4570
120.859864,120.999184,69.6971,37,C#2,0.4243
121.904762,122.020862,93.0344,42,F#2,0.4741
122.206621,122.369161,115.8697,46,A#2,0.5400
122.485261,122.647800,115.8697,46,A#2,0.6075
122.740680,122.903220,116.5409,46,A#2,0.7167
123.019320,123.112200,233.0819,58,A#3,0.7740
123.367619,123.460499,139.3942,49,C#3,0.5054
123.576599,123.924898,116.5409,46,A#2,0.4097
124.110658,124.273197,91.9659,42,F#2,0.4541
127.407891,127.547211,935.0280,82,A#5,0.5760
127.732971,127.825850,467.5140,70,A#4,0.6076
128.174150,128.336689,311.1270,63,D#4,0.4516
129.126168,129.242268,77.7817,39,D#2,0.3732
130.171066,130.263946,565.6892,73,C#5,0.4727
130.356825,130.496145,559.1917,73,C#5,0.7642
130.914104,131.030204,115.8697,46,A#2,0.3860
131.424943,131.564263,116.5409,46,A#2,0.6966
131.889342,132.121542,139.3942,49,C#3,0.4054
132.284082,132.655601,116.5409,46,A#2,0.5406
134.095238,134.350658,68.8965,37,C#2,0.4420
134.582857,134.838277,69.6971,37,C#2,0.3477
136.277914,136.556553,466.1638,70,A#4,0.7955
136.811973,137.090612,311.1270,63,D#4,0.7017
137.740771,137.972971,77.7817,39,D#2,0.3747
138.089070,138.181950,139.3942,49,C#3,0.4738
139.110748,139.203628,69.2957,37,C#2,0.4286
139.598367,139.807347,115.8697,46,A#2,0.4288
140.016327,140.271746,115.8697,46,A#2,0.5553
140.457506,140.573605,233.0819,58,A#3,0.6764
140.805805,140.898685,139.3942,49,C#3,0.4616
141.757823,141.850703,91.9659,42,F#2,0.4579
144.846077,144.985397,935.0280,82,A#5,0.6640
145.101497,145.264036,937.7284,82,A#5,0.8771
145.612336,145.798095,311.1270,63,D#4,0.8227
147.795011,148.003991,567.3229,73,C#5,0.6258
148.677370,149.072109,115.8697,46,A#2,0.4646
149.466848,149.582948,139.3942,49,C#3,0.3738
149.745488,150.093787,116.5409,46,A#2,0.5007
151.672744,151.812063,138.5913,49,C#3,0.5829
152.764082,152.903401,91.9659,42,F#2,0.4016
153.019501,153.205261,91.9659,42,F#2,0.4004
153.553560,153.646440,466.1638,70,A#4,0.7170
153.739320,153.832200,466.1638,70,A#4,0.5956
153.901859,153.994739,466.1638,70,A#4,0.6483
154.296599,154.505578,311.1270,63,D#4,0.5602
155.736236,155.875556,139.3942,49,C#3,0.4888
156.107755,156.270295,103.8262,44,G#2,0.3813
157.059773,157.175873,115.8697,46,A#2,0.4183
157.547392,157.640272,115.8697,46,A#2,0.4873
158.545850,158.638730,926.9577,82,A#5,0.5822
158.987029,159.079909,91.9659,42,F#2,0.4567
159.172789,159.497868,92.4986,42,F#2,0.4389
163.166621,163.259501,622.2540,75,D#5,0.7130
164.466939,164.652698,91.9659,42,F#2,0.3589
165.790476,166.440635,115.8697,46,A#2,0.5109
166.905034,166.997914,830.6094,80,G#5,0.8062
167.137234,167.253333,821.0690,80,G#5,0.4098
167.694512,167.810612,103.2282,44,G#2,0.6861
168.762630,169.970068,138.5913,49,C#3,0.6178
170.155828,171.061406,91.9659,42,F#2,0.5517
171.897324,172.245624,622.2540,75,D#5,0.5693
172.570703,172.710023,77.7817,39,D#2,0.3405
173.429841,173.522721,102.6336,44,G#2,0.4126
173.615601,173.894240,103.2282,44,G#2,0.3918
174.521179,175.310658,115.8697,46,A#2,0.5260
176.425215,177.423673,91.9659,42,F#2,0.7488
181.881905,182.230204,91.9659,42,F#2,0.5285
182.648163,183.159002,91.9659,42,F#2,0.5918
183.228662,184.946939,115.8697,46,A#2,0.7278
185.132698,186.154376,103.2282,44,G#2,0.8083
186.200816,187.524354,137.7931,49,C#3,0.8513
187.594014,189.242630,91.9659,42,F#2,0.6874
189.776689,190.751927,77.3338,39,D#2,0.6151
191.378866,191.843265,103.5272,44,G#2,0.4114
192.238005,192.423764,115.8697,46,A#2,0.5749
193.863401,194.467120,91.9659,42,F#2,0.7326
194.676100,194.885079,91.4362,42,F#2,0.5484
199.621950,199.714830,91.9659,42,F#2,0.3396
201.084807,201.224127,115.8697,46,A#2,0.3771
201.317007,201.433107,115.8697,46,A#2,0.5345
201.688526,201.874286,115.8697,46,A#2,0.6951
202.594104,203.035283,103.2282,44,G#2,0.7678
203.267483,203.546122,103.2282,44,G#2,0.7010
203.662222,204.614240,137.7931,49,C#3,0.7830
