start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
22.918095,23.010975,926.9577,82,A#5,0.7740
59.396644,59.489524,706.5721,77,F5,0.5860
97.547029,97.639909,704.5374,77,F5,0.5954
124.667937,124.923356,277.1826,61,C#4,0.6928
167.949932,168.391111,845.1282,80,G#5,0.6813
171.154286,171.641905,932.3275,82,A#5,0.7685
171.711565,172.059864,943.1606,82,A#5,0.5173
172.222404,172.570703,937.7284,82,A#5,0.6261
212.764444,212.903764,185.0003,54,F#3,0.5476
229.900771,230.040091,367.8634,66,F#4,0.5341
247.617596,247.826576,183.9317,54,F#3,0.5547
254.212063,254.421043,415.3047,68,G#4,0.8398
254.815782,254.931882,422.5641,68,G#4,0.7429
264.777143,265.009342,183.9317,54,F#3,0.7840
265.102222,265.264762,184.9972,54,F#3,0.7650
269.444354,269.630113,183.4020,54,F#3,0.7861
282.563628,282.749388,182.8723,54,F#3,0.7334
329.375057,329.491156,385.2612,67,G4,0.4084
334.529887,334.692426,183.9317,54,F#3,0.6480
335.110385,335.203265,277.1826,61,C#4,0.5229
335.992744,336.085624,206.4564,56,G#3,0.5523
337.037642,337.594921,207.6523,56,G#3,0.7533
337.734240,337.873560,207.6523,56,G#3,0.5623
338.152200,338.291519,207.6523,56,G#3,0.7374
339.243537,339.498957,207.6523,56,G#3,0.7470
339.870476,340.033016,207.6523,56,G#3,0.7921
341.658413,341.774512,207.6523,56,G#3,0.5825
347.765261,347.881361,152.8910,51,D#3,0.5791
352.362812,352.502132,183.9317,54,F#3,0.6722
355.218866,355.451066,208.8553,56,G#3,0.5181
356.704943,357.006803,208.8553,56,G#3,0.5441
358.910839,359.026939,205.2673,56,G#3,0.4977
410.180499,410.598458,463.4789,70,A#4,0.7020
410.668118,411.178957,466.1638,70,A#4,0.8626
411.271837,411.829116,417.7105,68,G#4,0.9119
411.898776,412.270295,138.5913,49,C#3,0.7110
412.386395,412.502494,615.1068,75,D#5,0.6870
412.781134,412.897234,554.3653,73,C#5,0.4760
413.152653,413.291973,604.5396,74,D5,0.4506
413.408073,414.406531,557.5767,73,C#5,0.7701
414.429751,414.801270,616.8884,75,D#5,0.8088
415.613968,416.124807,554.3653,73,C#5,0.8891
416.171247,416.774966,277.1826,61,C#4,0.8354
416.798186,417.169705,304.0208,63,D#4,0.8194
425.134150,425.436009,278.7883,61,C#4,0.7820
426.341587,427.131066,277.1826,61,C#4,0.8090
435.350930,435.467029,554.3653,73,C#5,0.6504
475.660771,475.869751,304.0208,63,D#4,0.7886
476.775329,477.379048,417.7105,68,G#4,0.8068
477.518367,477.750567,277.1826,61,C#4,0.8868
477.797007,478.029206,554.3653,73,C#5,0.8791
478.841905,479.306304,417.7105,68,G#4,0.8028
479.910023,480.653061,466.1638,70,A#4,0.8960
481.024580,481.535420,417.7105,68,G#4,0.8956
511.628481,511.721361,415.3047,68,G#4,0.6035
513.834376,513.927256,405.8191,68,G#4,0.4420
526.907211,527.000091,555.9710,73,C#5,0.3894
530.227664,530.320544,551.1724,73,C#5,0.7568
531.295782,531.388662,406.9946,68,G#4,0.5557
532.712200,533.037279,471.5803,70,A#4,0.6484
533.548118,533.919637,420.1303,68,G#4,0.6517
536.775692,536.891791,551.1724,73,C#5,0.7283
540.049705,540.142585,551.1724,73,C#5,0.7566
543.161179,543.254059,618.6700,75,D#5,0.7571
544.229297,545.134875,554.3653,73,C#5,0.9135
545.413515,546.411973,153.7767,51,D#3,0.7331
546.528073,547.155011,417.7105,68,G#4,0.8526
547.224671,547.898050,138.5913,49,C#3,0.6514
547.990930,548.571429,551.1724,73,C#5,0.8190
548.710748,549.662766,420.1303,68,G#4,0.9078
549.709206,550.800544,468.8642,70,A#4,0.9275
550.823764,551.543583,417.7105,68,G#4,0.8846
551.566803,551.845442,278.7883,61,C#4,0.7599
553.285079,553.586939,547.9978,73,C#5,0.7294
554.120998,554.515737,551.1724,73,C#5,0.8465
555.467755,555.583855,551.1724,73,C#5,0.6784
556.048254,556.210794,277.1826,61,C#4,0.3820
556.373333,556.466213,149.4015,50,D3,0.3759
562.851701,563.246440,152.8910,51,D#3,0.6793
563.316100,563.501859,151.5727,51,D#3,0.4971
563.571519,563.873379,306.6677,63,D#4,0.6759
564.105578,564.825397,420.1303,68,G#4,0.7719
565.011156,565.498776,417.7105,68,G#4,0.9007
565.498776,565.591655,440.0000,69,A4,0.5495
565.591655,565.684535,422.5641,68,G#4,0.5664
566.079274,566.891973,420.1303,68,G#4,0.8315
567.193832,568.238730,468.8642,70,A#4,0.9353
568.285170,568.888889,420.1303,68,G#4,0.8800
568.958549,569.260408,279.5958,61,C#4,0.6733
569.353288,569.446168,307.5534,63,D#4,0.6534
