start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
28.142585,28.258685,110.0000,45,A2,0.5641
28.351565,28.606984,174.6141,53,F3,0.6596
28.792744,28.932063,109.0515,45,A2,0.5310
29.512562,29.744762,174.1113,53,F3,0.5555
29.953741,30.093061,55.0000,33,A1,0.6029
31.393379,33.158095,82.4069,40,E2,0.6173
33.227755,33.738594,82.4069,40,E2,0.6120
34.644172,34.737052,87.3071,41,F2,0.4115
35.410431,35.549751,73.4162,38,D2,0.4106
36.014150,36.107029,73.8415,38,D2,0.3869
36.269569,36.362449,87.3071,41,F2,0.6017
36.594649,36.757188,73.8415,38,D2,0.4896
37.825306,38.127166,48.9994,31,G1,0.5014
38.312925,38.521905,48.9994,31,G1,0.4142
38.707664,39.032744,48.9994,31,G1,0.3877
39.311383,39.938322,48.9994,31,G1,0.4322
40.031202,40.263401,147.6830,50,D3,0.5163
41.168980,41.354739,110.6372,45,A2,0.5782
44.210794,44.326893,87.3071,41,F2,0.6143
45.278912,45.418231,87.3071,41,F2,0.5628
45.696871,45.929070,87.3071,41,F2,0.7241
46.068390,46.323810,86.8042,41,F2,0.4655
46.811429,46.927528,83.3644,40,E2,0.4690
47.066848,48.134966,82.4069,40,E2,0.5980
48.274286,49.458503,82.4069,40,E2,0.6317
49.528163,50.131882,82.4069,40,E2,0.5732
50.689161,51.246440,65.4064,36,C2,0.4767
51.525079,52.918277,65.4064,36,C2,0.5449
53.104036,53.266576,65.4064,36,C2,0.3828
53.545215,53.707755,65.4064,36,C2,0.4667
54.079274,54.381134,55.0000,33,A1,0.5955
54.566893,54.659773,58.4392,34,A#1,0.4825
54.775873,54.891973,55.0000,33,A1,0.4624
55.309932,55.565351,55.0000,33,A1,0.6728
55.960091,56.378050,110.0000,45,A2,0.6032
56.447710,56.587029,110.0000,45,A2,0.5354
57.353288,57.608707,82.8843,40,E2,0.6104
58.026667,58.119546,82.8843,40,E2,0.6591
58.583946,58.769705,82.4069,40,E2,0.6178
59.094785,59.234104,82.6456,40,E2,0.6085
60.557642,60.650522,73.6288,38,D2,0.4613
61.741859,61.904399,73.8415,38,D2,0.5280
62.345578,62.508118,73.4162,38,D2,0.6205
63.947755,64.899773,48.9994,31,G1,0.4187
65.015873,65.758912,48.9994,31,G1,0.4336
66.664490,66.850249,110.3186,45,A2,0.5553
67.268209,67.384308,146.8324,50,D3,0.7305
68.336327,68.731066,146.8324,50,D3,0.7161
68.823946,68.963265,110.0000,45,A2,0.7414
69.079365,69.172245,146.8324,50,D3,0.4818
69.474104,70.402902,84.8216,40,E2,0.5299
70.611882,70.983401,85.5601,41,F2,0.4592
70.983401,71.865760,84.3331,40,E2,0.5537
71.865760,72.121179,87.3071,41,F2,0.6231
72.121179,72.399819,83.8473,40,E2,0.4743
72.469478,73.212517,82.8843,40,E2,0.5484
73.282177,75.975692,82.4069,40,E2,0.6183
76.695510,78.878186,65.7853,36,C2,0.4983
79.435465,80.155283,55.3186,33,A1,0.4131
80.480363,81.037642,55.3186,33,A1,0.4251
81.269841,81.711020,55.3186,33,A1,0.4408
82.918458,83.150658,82.8843,40,E2,0.4740
83.568617,83.684717,82.8843,40,E2,0.4760
83.916916,84.033016,97.9989,43,G2,0.5861
84.729615,84.938594,82.8843,40,E2,0.5656
86.331791,86.540771,73.8415,38,D2,0.5503
89.211066,89.327166,48.9994,31,G1,0.5132
89.512925,89.721905,48.9994,31,G1,0.3750
89.838005,89.930884,49.2833,31,G1,0.4953
90.302404,90.906122,48.9994,31,G1,0.4061
91.184762,91.324082,48.9994,31,G1,0.3624
93.065578,93.158458,146.8324,50,D3,0.4907
93.529977,93.669297,110.6372,45,A2,0.6438
93.947937,94.133696,146.8324,50,D3,0.6138
94.296236,94.435556,110.6372,45,A2,0.6416
95.573333,96.130612,83.8473,40,E2,0.4954
96.269932,96.664671,83.3644,40,E2,0.4029
96.664671,97.059410,86.8042,41,F2,0.5746
97.059410,97.477370,83.3644,40,E2,0.5626
97.756009,97.988209,83.8473,40,E2,0.4646
98.081088,98.708027,82.4069,40,E2,0.6476
98.847347,99.985125,82.4069,40,E2,0.6351
100.054785,101.192562,82.4069,40,E2,0.6441
102.376780,102.794739,65.0297,36,C2,0.4270
102.957279,104.118277,65.4064,36,C2,0.5489
104.234376,104.327256,65.4064,36,C2,0.4457
104.954195,105.720454,55.0000,33,A1,0.4392
106.091973,107.508390,55.0000,33,A1,0.4550
107.647710,107.810249,82.8843,40,E2,0.3905
108.135329,108.367528,82.8843,40,E2,0.5350
109.249887,109.412426,82.4069,40,E2,0.5896
109.783946,109.946485,82.4069,40,E2,0.5967
110.085805,110.201905,97.9989,43,G2,0.5855
110.341224,110.434104,82.6456,40,E2,0.3869
111.804082,111.989841,73.6288,38,D2,0.5390
113.057959,113.243719,73.8415,38,D2,0.5526
114.636916,115.008435,48.9994,31,G1,0.3946
115.612154,116.331973,48.9994,31,G1,0.4391
116.610612,116.726712,48.9994,31,G1,0.3331
116.796372,116.935692,48.9994,31,G1,0.3640
117.934150,118.027029,48.9994,31,G1,0.4626
118.421769,118.584308,36.7081,26,D1,0.5406
118.839728,118.979048,48.9994,31,G1,0.7133
119.211247,119.327347,36.7081,26,D1,0.5680
119.745306,119.907846,36.7081,26,D1,0.4587
120.697324,120.883084,83.8473,40,E2,0.4727
