index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
0,0.092880,0.325079,0.004956,3671.062,4764.036,3798.884,0.136921,,0.0000,-431.684235,104.466782,-90.737114,-6.665984,29.209583,-16.726274,-0.282539,-3.411374,-0.561599,-6.893645,-1.484642,-6.729977,0.569476,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
1,0.417959,1.000000,0.012406,8393.821,12667.216,4431.438,0.372901,1760.000,0.0106,-340.844696,2.932638,-41.316284,7.405384,-24.316696,12.354380,-16.327618,-0.248458,-12.502352,-2.958611,-5.216119,-1.896228,-5.183544,unpitched,bright,soft,long,5,1,1,2,3,4,5,6,7
2,3.274014,0.267029,0.006578,3599.614,7201.959,4439.081,0.102905,166.729,0.0119,-419.223724,107.653656,-35.059834,-16.561407,-43.076809,2.391487,18.628073,-2.697719,-1.699517,-5.528412,2.790013,-4.720315,1.149909,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
3,3.541043,0.522449,0.005454,3470.172,5055.153,3920.822,0.108229,,0.0000,-407.788940,118.739090,-70.549164,-6.923184,7.904543,-18.361629,-13.925379,-5.546271,8.404684,-13.352277,-4.854743,-7.871469,-5.110885,unpitched,bright,soft,long,5,1,1,2,3,3,4,5,5
4,4.063492,0.255420,0.005214,5297.318,8616.090,4099.828,0.163426,,0.0000,-385.606201,64.195351,-62.061211,26.185287,-36.050297,2.787712,-8.152182,-23.767210,3.384894,-0.962419,2.643435,-11.325338,-4.001666,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
5,4.318912,0.278639,0.004873,5135.428,7897.518,3902.547,0.170449,,0.0000,-397.189484,67.008614,-70.231964,32.850101,-24.927998,-12.849096,2.939606,-23.790733,-8.307582,-3.292509,1.418813,-4.164242,0.950004,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
6,4.597551,0.267029,0.009577,8376.251,12536.810,4463.474,0.369507,178.743,0.0109,-367.414307,1.323236,-30.367094,10.728787,-34.820435,17.889950,-23.517786,9.622451,-32.509094,-3.788521,9.427890,0.394433,-4.046748,unpitched,bright,soft,medium,5,1,1,2,3,4,5,6,7
7,4.864580,1.000000,0.013514,10804.994,15090.073,4772.003,0.552588,220.000,0.0242,-409.106049,-25.308487,-18.482292,8.528490,-18.147799,13.598658,-19.893747,13.114371,-3.157471,-21.266651,-3.726676,19.652760,-7.772876,unpitched,bright,soft,long,5,1,1,2,3,4,5,6,7
8,6.466757,0.162540,0.004587,5169.141,10502.461,4934.404,0.246582,,0.0000,-439.840637,69.774239,-50.918518,-31.033884,1.580249,32.331421,-12.092038,-3.727383,12.110259,-7.343470,8.980207,1.748183,-3.535773,unpitched,bright,soft,short,5,1,1,2,3,3,4,5,6
9,6.629297,0.255420,0.005609,4631.806,7900.813,3991.988,0.205078,,0.0000,-372.052063,79.472725,-74.620903,13.519341,-16.587723,-2.310934,11.790764,-3.861275,-9.901056,-12.616343,4.657700,-5.957458,-5.070271,unpitched,bright,soft,medium,5,1,1,2,3,3,4,5,5
10,6.884717,0.870748,0.009311,7741.477,12484.441,4553.842,0.343647,1479.978,0.0100,-322.038666,16.361135,-38.065399,16.114546,-34.208549,13.487783,-25.601404,12.105151,-13.045262,-3.538828,-10.247464,1.749683,-4.857694,unpitched,bright,soft,long,5,1,1,2,3,4,5,6,7
11,7.755465,1.000000,0.009257,6850.906,11649.463,4494.774,0.297144,,0.0000,-315.455627,35.067963,-49.514908,14.959840,-26.207396,16.628134,-18.771572,11.207530,-13.301879,-3.154165,-9.327267,-3.001273,-4.199816,unpitched,bright,soft,long,5,1,1,2,3,4,5,6,7
12,9.694331,0.127710,0.004533,4281.147,8042.651,4172.976,0.163411,,0.0000,-398.505524,82.097496,-69.917763,4.594916,2.408334,11.043831,-20.569920,1.840885,8.990581,-11.606883,8.266324,-2.905417,3.681917,unpitched,bright,soft,short,4,1,1,2,3,3,4,5,6
13,9.822041,1.000000,0.007939,6686.458,10513.153,4118.347,0.282597,,0.0000,-342.864685,34.192249,-54.891468,22.809938,-27.737631,17.216953,-17.295099,2.050931,-8.989893,-4.459154,-1.524626,-5.655231,-1.371719,unpitched,bright,soft,long,5,1,1,2,3,4,5,6,7
