time,division,beat,phase
0.116100,4,0,0
0.116100,8,0,0
0.116100,16,0,0
0.116100,32,0,0
0.165442,32,0,1
0.214785,16,0,1
0.214785,32,0,2
0.264127,32,0,3
0.313469,8,0,1
0.313469,16,0,2
0.313469,32,0,4
0.362812,32,0,5
0.412154,16,0,3
0.412154,32,0,6
0.461497,32,0,7
0.510839,4,1,0
0.510839,8,1,0
0.510839,16,1,0
0.510839,32,1,0
0.561633,32,1,1
0.612426,16,1,1
0.612426,32,1,2
0.663220,32,1,3
0.714014,8,1,1
0.714014,16,1,2
0.714014,32,1,4
0.764807,32,1,5
0.815601,16,1,3
0.815601,32,1,6
0.866395,32,1,7
0.917188,4,2,0
0.917188,8,2,0
0.917188,16,2,0
0.917188,32,2,0
0.965079,32,2,1
1.012971,16,2,1
1.012971,32,2,2
1.060862,32,2,3
1.108753,8,2,1
1.108753,16,2,2
1.108753,32,2,4
1.156644,32,2,5
1.204535,16,2,3
1.204535,32,2,6
1.252426,32,2,7
1.300317,4,3,0
1.300317,8,3,0
1.300317,16,3,0
1.300317,32,3,0
1.351111,32,3,1
1.401905,16,3,1
1.401905,32,3,2
1.452698,32,3,3
1.503492,8,3,1
1.503492,16,3,2
1.503492,32,3,4
1.554286,32,3,5
1.605079,16,3,3
1.605079,32,3,6
1.655873,32,3,7
1.706667,4,4,0
1.706667,8,4,0
1.706667,16,4,0
1.706667,32,4,0
1.756009,32,4,1
1.805351,16,4,1
1.805351,32,4,2
1.854694,32,4,3
1.904036,8,4,1
1.904036,16,4,2
1.904036,32,4,4
1.953379,32,4,5
2.002721,16,4,3
2.002721,32,4,6
2.052063,32,4,7
2.101406,4,5,0
2.101406,8,5,0
2.101406,16,5,0
2.101406,32,5,0
2.152200,32,5,1
2.202993,16,5,1
2.202993,32,5,2
2.253787,32,5,3
2.304580,8,5,1
2.304580,16,5,2
2.304580,32,5,4
2.355374,32,5,5
2.406168,16,5,3
2.406168,32,5,6
2.456961,32,5,7
2.507755,4,6,0
2.507755,8,6,0
2.507755,16,6,0
2.507755,32,6,0
2.557098,32,6,1
2.606440,16,6,1
2.606440,32,6,2
2.655782,32,6,3
2.705125,8,6,1
2.705125,16,6,2
2.705125,32,6,4
2.754467,32,6,5
2.803810,16,6,3
2.803810,32,6,6
2.853152,32,6,7
2.902494,4,7,0
2.902494,8,7,0
2.902494,16,7,0
2.902494,32,7,0
2.953288,32,7,1
3.004082,16,7,1
3.004082,32,7,2
3.054875,32,7,3
3.105669,8,7,1
3.105669,16,7,2
3.105669,32,7,4
3.156463,32,7,5
3.207256,16,7,3
3.207256,32,7,6
3.258050,32,7,7
3.308844,4,8,0
3.308844,8,8,0
3.308844,16,8,0
3.308844,32,8,0
3.358186,32,8,1
3.407528,16,8,1
3.407528,32,8,2
3.456871,32,8,3
3.506213,8,8,1
3.506213,16,8,2
3.506213,32,8,4
3.555556,32,8,5
3.604898,16,8,3
3.604898,32,8,6
3.654240,32,8,7
3.703583,4,9,0
3.703583,8,9,0
3.703583,16,9,0
3.703583,32,9,0
3.752925,32,9,1
3.802268,16,9,1
3.802268,32,9,2
