start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
28.305125,28.444444,108.7365,45,A2,0.5512
29.001723,29.233923,110.0000,45,A2,0.7211
29.419683,29.535782,107.4876,45,A2,0.5232
29.744762,29.907302,108.7365,45,A2,0.5770
29.953741,30.116281,87.3071,41,F2,0.4633
31.323719,31.486259,167.6947,52,E3,0.6772
33.227755,33.320635,247.6569,59,B3,0.4714
34.899592,34.992472,87.3071,41,F2,0.3747
35.131791,35.271111,86.8042,41,F2,0.4428
35.526531,35.619410,174.6141,53,F3,0.4016
36.362449,36.850068,175.6256,53,F3,0.6753
37.894966,38.080726,146.8324,50,D3,0.6286
38.661224,38.823764,440.0000,69,A4,0.7608
38.916644,40.100862,440.0000,69,A4,0.7185
40.216961,40.333061,147.6830,50,D3,0.4925
40.449161,40.542041,147.6830,50,D3,0.5041
40.658141,40.774240,148.5385,50,D3,0.6519
42.631837,42.747937,110.0000,45,A2,0.4291
42.933696,43.073016,147.6830,50,D3,0.6024
44.141134,44.350113,84.0902,40,E2,0.3740
44.721633,44.977052,82.8843,40,E2,0.4353
45.046712,45.162812,83.8473,40,E2,0.3536
45.255692,46.393469,83.8473,40,E2,0.4586
46.463129,46.741769,85.0673,41,F2,0.4439
46.741769,46.927528,83.3644,40,E2,0.5031
46.997188,48.134966,82.4069,40,E2,0.5655
48.251066,48.367166,82.4069,40,E2,0.5415
48.506485,48.878005,493.8833,71,B4,0.6768
49.319184,49.412063,247.6569,59,B3,0.5654
49.946122,50.039002,99.1376,43,G2,0.5229
50.201542,50.317642,98.5666,43,G2,0.3331
50.805261,50.898141,83.8473,40,E2,0.5557
50.991020,51.083900,83.8473,40,E2,0.4003
51.385760,52.918277,587.3295,74,D5,0.7358
53.011156,53.150476,195.9977,55,G3,0.4895
54.288254,54.427574,175.1199,53,F3,0.5708
54.613333,54.799093,175.6256,53,F3,0.6528
54.868753,55.402812,174.6141,53,F3,0.6485
55.495692,56.076190,174.6141,53,F3,0.6051
56.261950,56.424490,175.6256,53,F3,0.5187
57.051429,57.283628,98.2827,43,G2,0.4349
57.353288,57.492608,97.9989,43,G2,0.5438
58.003447,58.258866,195.9977,55,G3,0.5985
58.351746,59.326984,195.9977,55,G3,0.6183
60.093243,60.186122,87.8128,41,F2,0.4773
60.441542,60.720181,174.6141,53,F3,0.6737
60.905941,61.138141,174.6141,53,F3,0.6358
61.231020,61.393560,174.6141,53,F3,0.5826
61.648980,61.997279,175.6256,53,F3,0.6254
62.066939,62.484898,174.6141,53,F3,0.7032
62.717098,62.833197,174.6141,53,F3,0.4825
67.012789,67.198549,110.0000,45,A2,0.3839
67.268209,67.384308,110.0000,45,A2,0.3829
67.546848,68.150567,110.0000,45,A2,0.6192
68.522086,68.777506,110.0000,45,A2,0.5859
70.658322,70.751202,82.8843,40,E2,0.3734
70.890522,71.006621,82.4069,40,E2,0.5331
71.331701,71.424580,164.8138,52,E3,0.4420
