start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
60.975601,61.068481,175.6256,53,F3,0.5041
82.872018,83.011338,195.4398,55,G3,0.3599
84.543855,84.729615,146.8324,50,D3,0.6547
85.681633,86.494331,174.6141,53,F3,0.7299
86.610431,87.028390,175.6256,53,F3,0.6331
87.353469,87.724989,174.6141,53,F3,0.7934
99.311746,99.404626,238.5299,58,A#3,0.5867
112.918639,113.011519,178.1809,53,F3,0.4298
118.096689,118.236009,341.2518,65,F4,0.8118
118.236009,118.421769,349.2282,65,F4,0.8570
118.421769,118.862948,339.2864,64,E4,0.8751
118.979048,119.188027,333.4576,64,E4,0.8171
119.582766,119.698866,110.0000,45,A2,0.4175
119.861406,120.070385,110.0000,45,A2,0.5970
120.418685,120.558005,329.6276,64,E4,0.6923
121.393923,121.556463,266.1987,60,C4,0.7998
121.556463,122.020862,261.6256,60,C4,0.7367
122.113741,122.415601,351.2513,65,F4,0.7776
122.415601,122.856780,347.2168,65,F4,0.7849
122.949660,123.065760,345.2170,65,F4,0.7023
124.482177,124.621497,241.3015,59,B3,0.7631
128.197370,128.359909,290.2917,62,D4,0.4825
134.931156,135.047256,401.1579,67,G4,0.7066
135.140136,135.233016,406.9946,68,G#4,0.3637
135.325896,135.488435,144.3099,50,D3,0.7034
135.674195,135.813515,145.9867,50,D3,0.4848
136.254694,136.370794,674.6645,76,E5,0.3634
137.949751,138.065850,427.4741,68,G#4,0.7140
138.205170,138.646349,520.2374,72,C5,0.7247
138.785669,138.948209,398.8474,67,G4,0.4651
139.157188,139.250068,415.3047,68,G#4,0.7220
139.575147,139.807347,329.6331,64,E4,0.5993
141.734603,141.897143,385.2612,67,G4,0.7489
151.742404,151.835283,485.3987,71,B4,0.3894
154.273379,154.459138,195.9977,55,G3,0.4630
154.528798,154.737778,195.9977,55,G3,0.8095
154.830658,154.969977,130.8128,48,C3,0.5839
155.782676,155.921995,175.1199,53,F3,0.7219
156.200635,156.641814,174.6141,53,F3,0.7614
156.850794,156.966893,171.6143,53,F3,0.7137
156.966893,157.826032,174.6141,53,F3,0.8023
157.988571,158.336871,174.6141,53,F3,0.8222
160.357007,161.285805,434.9462,69,A4,0.7125
162.353923,162.446803,320.2437,63,D#4,0.7412
162.446803,162.586122,303.1453,63,D#4,0.8069
163.584580,163.677460,213.7370,56,G#3,0.8242
163.979320,164.072200,214.9752,57,A3,0.5091
165.465397,165.558277,323.0318,64,E4,0.7374
165.836916,165.999456,322.0989,64,E4,0.4761
169.946848,170.480907,345.2170,65,F4,0.5524
174.312200,174.405079,694.4336,77,F5,0.6519
176.634195,176.750295,485.3987,71,B4,0.6135
177.052154,177.168254,482.6030,71,B4,0.4837
