time,peak
0.000726,0.001178
0.002177,0.001560
0.003628,0.001432
0.005079,0.001576
0.006531,0.001576
0.007982,0.001783
0.009433,0.001990
0.010884,0.002181
0.012336,0.001512
0.013787,0.001257
0.015238,0.001687
0.016689,0.001496
0.018141,0.001528
0.019592,0.001417
0.021043,0.001353
0.022494,0.001703
0.023946,0.002037
0.025397,0.001751
0.026848,0.001289
0.028299,0.002292
0.029751,0.001783
0.031202,0.001894
0.032653,0.001719
0.034105,0.001512
0.035556,0.001687
0.037007,0.001783
0.038458,0.001050
0.039910,0.001241
0.041361,0.001512
0.042812,0.001687
0.044263,0.001703
0.045715,0.001623
0.047166,0.001671
0.048617,0.001926
0.050068,0.001942
0.051520,0.001671
0.052971,0.001576
0.054422,0.001066
0.055873,0.001974
0.057325,0.001321
0.058776,0.001289
0.060227,0.001703
0.061678,0.001623
0.063130,0.002037
0.064581,0.002133
0.066032,0.001862
0.067483,0.001337
0.068935,0.002133
0.070386,0.001655
0.071837,0.001623
0.073288,0.001719
0.074740,0.001528
0.076191,0.001862
0.077642,0.001576
0.079093,0.001321
0.080545,0.001401
0.081996,0.001623
0.083447,0.001783
0.084898,0.004154
0.086350,0.005555
0.087801,0.004775
0.089252,0.008372
0.090703,0.002387
0.092155,0.008149
0.093606,0.011683
0.095057,0.007321
0.096508,0.005380
0.097960,0.005014
0.099411,0.004695
0.100862,0.017030
0.102314,0.018797
0.103765,0.012526
0.105216,0.021551
0.106667,0.007194
0.108119,0.026660
0.109570,0.009263
0.111021,0.007688
0.112472,0.024033
0.113924,0.028315
0.115375,0.013736
0.116826,0.031530
0.118277,0.008881
0.119729,0.027201
0.121180,0.011253
0.122631,0.028474
0.124082,0.020643
0.125534,0.028649
0.126985,0.008388
0.128436,0.031689
0.129887,0.012860
0.131339,0.008515
0.132790,0.026691
0.134241,0.026437
0.135692,0.016808
0.137144,0.030480
0.138595,0.010855
0.140046,0.007576
0.141497,0.025577
0.142949,0.007067
0.144400,0.026596
0.145851,0.009661
0.147302,0.010170
0.148754,0.024829
0.150205,0.022967
0.151656,0.015868
0.153107,0.024240
0.154559,0.009120
0.156010,0.006589
0.157461,0.023031
0.158912,0.004823
0.160364,0.025068
0.161815,0.011635
0.163266,0.006319
0.164717,0.021614
0.166169,0.019943
0.167620,0.025004
0.169071,0.007083
0.170523,0.021407
0.171974,0.013481
0.173425,0.021869
0.174876,0.016394
0.176328,0.007130
0.177779,0.019577
0.179230,0.006160
0.180681,0.007910
0.182133,0.019354
0.183584,0.002897
0.185035,0.020086
0.186486,0.007672
0.187938,0.005794
0.189389,0.019577
0.190840,0.003645
0.192291,0.019911
0.193743,0.018097
0.195194,0.005412
0.196645,0.017715
0.198096,0.007321
0.199548,0.004934
0.200999,0.016951
0.202450,0.002117
0.203901,0.014834
0.205353,0.016855
0.206804,0.004584
0.208255,0.017269
0.209706,0.005555
0.211158,0.004377
0.212609,0.016744
0.214060,0.006223
0.215511,0.004727
0.216963,0.015757
0.218414,0.001719
0.219865,0.009056
0.221316,0.015582
0.222768,0.001146
0.224219,0.016744
0.225670,0.014913
0.227121,0.004552
0.228573,0.013545
0.230024,0.011937
0.231475,0.004329
0.232926,0.013847
0.234378,0.004918
0.235829,0.004090
0.237280,0.013704
0.238732,0.005825
0.240183,0.004027
0.241634,0.013338
0.243085,0.005459
0.244537,0.004393
0.245988,0.013704
0.247439,0.005077
0.248890,0.006096
0.250342,0.013656
0.251793,0.008563
0.253244,0.007067
0.254695,0.012208
0.256147,0.012494
0.257598,0.007051
0.259049,0.011221
0.260500,0.012749
0.261952,0.009247
0.263403,0.015391
0.264854,0.013863
0.266305,0.017715
0.267757,0.016426
0.269208,0.017205
0.270659,0.012351
0.272110,0.012860
0.273562,0.021041
0.275013,0.022888
0.276464,0.013322
0.277915,0.026437
0.279367,0.028267
0.280818,0.016553
0.282269,0.016235
0.283720,0.028204
0.285172,0.031148
0.286623,0.016075
0.288074,0.029365
0.289525,0.030098
0.290977,0.025896
0.292428,0.016489
0.293879,0.025625
0.295330,0.028363
0.296782,0.025370
0.298233,0.015041
0.299684,0.024511
0.301136,0.024129
0.302587,0.014150
0.304038,0.014022
0.305489,0.023986
0.306941,0.026071
0.308392,0.009215
0.309843,0.013959
0.311294,0.025164
0.312746,0.023079
0.314197,0.013083
0.315648,0.013847
0.317099,0.024813
0.318551,0.015057
0.320002,0.010521
0.321453,0.012446
0.322904,0.025975
0.324356,0.022569
0.325807,0.014293
0.327258,0.012542
0.328709,0.023079
0.330161,0.014325
0.331612,0.004457
0.333063,0.014882
0.334514,0.022012
0.335966,0.019068
0.337417,0.012446
0.338868,0.008579
0.340319,0.020166
0.341771,0.014547
0.343222,0.018224
0.344673,0.002451
0.346124,0.014659
0.347576,0.016935
0.349027,0.019513
0.350478,0.011460
0.351929,0.017508
0.353381,0.014818
0.354832,0.016664
0.356283,0.009406
0.357734,0.009486
0.359186,0.016457
0.360637,0.013990
0.362088,0.019625
0.363539,0.006764
0.364991,0.010298
0.366442,0.016553
