start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
0.371519,1.137778,69.2957,37,C#2,0.5242
1.253878,1.880816,92.4986,42,F#2,0.5866
1.973696,2.786395,92.4986,42,F#2,0.6268
2.995374,3.088254,77.7817,39,D#2,0.4151
3.157914,3.436553,77.7817,39,D#2,0.5457
3.645533,4.411791,77.7817,39,D#2,0.5435
4.597551,5.108390,73.4162,38,D2,0.5283
5.433469,6.060408,73.4162,38,D2,0.5787
6.455147,6.594467,73.4162,38,D2,0.5731
6.989206,7.291066,55.0000,33,A1,0.4840
18.692063,18.854603,293.6648,62,D4,0.4702
25.286531,25.379410,78.2323,39,D#2,0.5426
50.967800,51.060680,73.4162,38,D2,0.4650
64.690794,64.946213,73.4162,38,D2,0.5906
65.015873,65.248073,73.4162,38,D2,0.4850
70.658322,70.797642,73.6288,38,D2,0.5127
71.378141,71.540680,73.4162,38,D2,0.5506
90.116644,90.232744,73.4162,38,D2,0.4147
90.929342,91.231202,73.4162,38,D2,0.4678
103.607438,103.700317,73.8415,38,D2,0.5129
104.257596,104.373696,73.8415,38,D2,0.4994
104.536236,104.675556,73.4162,38,D2,0.3730
110.852063,110.968163,73.4162,38,D2,0.3977
123.228299,123.994558,293.6648,62,D4,0.6465
154.435918,154.598458,278.7883,61,C#4,0.6884
155.991655,156.130975,294.5154,62,D4,0.4147
158.220771,158.313651,110.0000,45,A2,0.4523
158.452971,158.754830,110.6372,45,A2,0.4572
159.126349,159.567528,73.4162,38,D2,0.4715
159.892608,160.565986,69.2957,37,C#2,0.4735
161.030385,161.169705,69.2957,37,C#2,0.7213
162.586122,162.702222,73.4162,38,D2,0.3526
162.771882,162.864762,73.4162,38,D2,0.5030
163.422041,163.770340,73.4162,38,D2,0.4655
163.956100,164.443719,69.2957,37,C#2,0.4479
169.157370,169.250249,295.3660,62,D4,0.4273
171.502585,171.665125,278.7883,61,C#4,0.6034
171.734785,171.850884,280.4033,61,C#4,0.5900
172.338503,172.431383,278.7883,61,C#4,0.6738
173.220862,173.476281,277.1826,61,C#4,0.7220
174.103220,174.288980,278.7883,61,C#4,0.6439
206.053878,206.355737,92.4986,42,F#2,0.5524
206.704036,206.959456,92.4986,42,F#2,0.5710
209.374331,209.467211,73.4162,38,D2,0.3734
210.326349,210.465669,73.4162,38,D2,0.4089
210.813968,212.091066,110.0000,45,A2,0.4984
212.160726,213.739683,92.4986,42,F#2,0.7157
213.809342,214.691701,77.7817,39,D#2,0.5912
214.784580,215.365079,77.7817,39,D#2,0.5911
215.457959,216.061678,73.4162,38,D2,0.6001
216.131338,217.036916,73.4162,38,D2,0.5570
217.106576,218.662313,110.0000,45,A2,0.5341
218.755193,219.614331,92.4986,42,F#2,0.6740
219.869751,220.310930,92.4986,42,F#2,0.6412
220.403810,221.936327,77.7817,39,D#2,0.5990
222.029206,223.259864,73.4162,38,D2,0.5934
223.677823,224.165442,110.0000,45,A2,0.5684
224.258322,225.233560,110.0000,45,A2,0.6902
225.326440,226.417778,92.4986,42,F#2,0.6550
226.603537,226.882177,92.7665,42,F#2,0.6081
226.975057,228.043175,77.7817,39,D#2,0.6245
228.600454,229.041633,73.4162,38,D2,0.5441
229.157732,229.250612,73.6288,38,D2,0.5213
229.366712,230.132971,73.4162,38,D2,0.5228
230.295510,230.597370,110.6372,45,A2,0.5333
230.690249,231.131429,110.0000,45,A2,0.3927
231.201088,231.502948,110.0000,45,A2,0.4163
231.642268,231.804807,110.0000,45,A2,0.6464
231.920907,233.453424,92.4986,42,F#2,0.6737
233.546304,233.917823,77.7817,39,D#2,0.6138
233.987483,234.173243,78.2323,39,D#2,0.5420
234.289342,235.102041,77.7817,39,D#2,0.6192
235.194921,235.821859,73.4162,38,D2,0.5441
235.891519,236.773878,73.4162,38,D2,0.5871
236.843537,238.399274,110.0000,45,A2,0.6623
238.468934,238.863673,92.4986,42,F#2,0.6807
238.933333,240.024671,92.4986,42,F#2,0.6991
240.094331,240.489070,77.7817,39,D#2,0.6101
240.581950,241.673288,77.7817,39,D#2,0.6086
241.789388,242.393107,73.4162,38,D2,0.5583
242.509206,243.321905,73.4162,38,D2,0.5913
243.391565,244.018503,110.0000,45,A2,0.5627
244.134603,244.970522,110.0000,45,A2,0.6202
245.063401,246.595918,92.4986,42,F#2,0.6873
246.688798,247.246077,77.7817,39,D#2,0.5644
247.315737,248.244535,77.7817,39,D#2,0.6065
248.314195,249.893152,73.4162,38,D2,0.5996
249.962812,251.518549,110.0000,45,A2,0.6551
251.611429,253.167166,92.4986,42,F#2,0.7094
253.260045,254.513923,77.7817,39,D#2,0.6207
254.722902,254.815782,78.2323,39,D#2,0.4126
254.908662,256.464399,73.4162,38,D2,0.5866
256.557279,257.160998,110.0000,45,A2,0.5543
257.323537,258.089796,110.0000,45,A2,0.5915
258.182676,259.738413,92.4986,42,F#2,0.7296
259.831293,261.387029,77.7817,39,D#2,0.6561
261.456689,263.012426,73.4162,38,D2,0.6176
263.128526,264.661043,110.0000,45,A2,0.6483
264.753923,266.309660,92.4986,42,F#2,0.6739
266.402540,267.958277,77.7817,39,D#2,0.6609
268.051156,269.606893,73.4162,38,D2,0.6276
269.722993,271.232290,110.0000,45,A2,0.5796
271.325170,272.880907,92.4986,42,F#2,0.7201
272.997007,274.529524,77.7817,39,D#2,0.6340
274.622404,276.178141,73.4162,38,D2,0.6160
276.271020,277.826757,110.0000,45,A2,0.6412
277.896417,279.452154,92.4986,42,F#2,0.7306
279.545034,281.100771,77.7817,39,D#2,0.6569
281.193651,282.749388,73.4162,38,D2,0.6243
282.842268,284.398005,110.0000,45,A2,0.6379
284.467664,286.023401,92.4986,42,F#2,0.7279
286.116281,287.672018,77.7817,39,D#2,0.6533
287.764898,289.320635,73.4162,38,D2,0.6234
289.413515,290.969252,110.0000,45,A2,0.5880
291.038912,292.594649,92.4986,42,F#2,0.7318
292.710748,294.243265,77.7817,39,D#2,0.6755
294.359365,295.891882,73.4162,38,D2,0.6373
295.984762,297.540499,110.0000,45,A2,0.4875
297.633379,299.189116,92.4986,42,F#2,0.6654
299.258776,300.814512,77.7817,39,D#2,0.6762
300.930612,302.463129,73.4162,38,D2,0.6361
302.556009,304.111746,110.0000,45,A2,0.4783
304.204626,305.760363,92.4986,42,F#2,0.7133
305.853243,307.408980,77.7817,39,D#2,0.6704
307.478639,310.613333,73.4162,38,D2,0.6174
