index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
0,0.069660,0.050000,0.121676,6467.727,14707.178,6339.783,0.066992,,0.0000,-304.331970,60.064739,32.013000,27.657873,7.417508,9.249847,-0.670322,-3.909670,-10.374185,-3.511367,-15.195743,-10.929547,-12.872328,unpitched,bright,loud,short,5,1,2,3,4,5,5,5
1,0.104490,0.313469,0.114175,1973.670,3579.126,3531.103,0.016061,,0.0000,-316.185242,124.182579,43.745075,39.133701,30.815111,19.179926,5.192856,5.891437,12.935615,22.703272,12.734408,4.525874,-0.165128,unpitched,dark,loud,medium,0,1,2,0,0,0,0,0
2,0.417959,0.476009,0.040267,5684.981,11567.432,5383.451,0.105166,,0.0000,-383.879944,65.486290,-19.265251,14.467358,13.051228,17.375158,9.748097,0.385735,8.103766,11.028208,7.757693,5.495178,2.667666,unpitched,bright,soft,long,5,1,2,3,4,5,5,5
3,0.893968,0.220590,0.052407,3677.127,8225.684,4995.982,0.029614,,0.0000,-436.743652,81.706848,48.567131,37.864414,22.274876,17.796936,12.274571,6.907989,3.904999,8.648661,2.476487,0.569418,2.595725,unpitched,mid,medium,medium,4,1,0,1,3,4,4,4
4,1.114558,0.220590,0.132812,1427.935,2372.959,3263.133,0.008911,,0.0000,-359.092834,118.174194,57.137856,54.600098,36.893818,22.506147,6.958880,2.260297,15.072896,24.838673,13.662865,3.909930,-4.213329,unpitched,dark,loud,medium,4,1,0,1,3,4,4,4
5,1.335147,0.371519,0.053781,3694.119,7847.874,4681.484,0.045114,,0.0000,-362.056885,82.376556,2.812135,44.059021,28.479437,30.591888,16.598501,3.516680,17.719929,17.727133,10.928572,4.841590,1.552205,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
6,1.706667,0.050000,0.047730,6340.290,14638.271,6410.715,0.047168,,0.0000,-342.322723,76.553696,38.515369,26.396561,8.271523,10.438020,-1.289792,-0.065291,-5.347723,-1.648636,-8.230963,-1.178615,-5.257248,unpitched,bright,medium,short,5,1,2,3,4,5,5,5
7,1.741497,0.394739,0.103511,1914.779,3109.015,3352.907,0.012695,,0.0000,-360.902496,106.255547,55.906078,54.950531,40.078041,24.303751,5.631782,4.841169,18.080225,25.352951,12.711409,3.697014,-2.721413,unpitched,dark,loud,long,5,1,2,3,4,5,5,5
8,2.136236,0.290249,0.052190,6281.545,12225.062,5355.652,0.113112,,0.0000,-335.467560,45.709969,-26.279369,19.494122,11.854233,23.317240,12.176742,-3.892175,10.637308,10.961289,6.726194,1.772331,-0.914527,unpitched,bright,medium,medium,4,1,0,1,3,4,4,4
9,2.426485,0.243810,0.060228,3182.985,6476.600,4387.852,0.041526,,0.0000,-360.753784,120.063210,31.226234,19.933834,10.448455,7.582611,11.227538,8.486080,-5.976402,6.325772,4.337574,-2.708815,1.786227,unpitched,dark,medium,medium,4,1,0,1,3,4,4,4
10,2.670295,0.104490,0.019255,4406.320,10236.885,5437.305,0.046191,,0.0000,-375.004395,115.226280,-9.131809,-5.031841,14.245143,-2.440272,-6.683809,8.411809,-7.839125,5.073957,3.542995,-0.591647,3.210726,unpitched,mid,soft,short,1,1,0,1,1,1,1,1
11,2.774785,0.208980,0.131494,1897.916,3235.647,3413.783,0.008918,,0.0000,-342.353821,113.671196,59.490242,55.851421,39.252769,22.499950,3.819630,3.929185,16.009090,26.751104,12.819020,2.432719,-5.249771,unpitched,dark,loud,medium,1,1,0,1,1,1,1,1
12,2.983764,0.371519,0.052004,3620.933,7651.465,4694.892,0.038619,,0.0000,-379.528625,76.831367,-0.566475,40.332981,28.723108,33.028008,20.294641,6.015754,19.945110,19.485947,12.360257,5.637642,0.467135,unpitched,mid,medium,long,5,1,2,3,4,5,5,5
