time,division,beat,phase
0.116100,4,0,0
0.116100,8,0,0
0.116100,16,0,0
0.116100,32,0,0
0.193016,32,0,1
0.269932,16,0,1
0.269932,32,0,2
0.346848,32,0,3
0.423764,8,0,1
0.423764,16,0,2
0.423764,32,0,4
0.500680,32,0,5
0.577596,16,0,3
0.577596,32,0,6
0.654512,32,0,7
0.731429,4,1,0
0.731429,8,1,0
0.731429,16,1,0
0.731429,32,1,0
0.809796,32,1,1
0.888163,16,1,1
0.888163,32,1,2
0.966531,32,1,3
1.044898,8,1,1
1.044898,16,1,2
1.044898,32,1,4
1.123265,32,1,5
1.201633,16,1,3
1.201633,32,1,6
1.280000,32,1,7
1.358367,4,2,0
1.358367,8,2,0
1.358367,16,2,0
1.358367,32,2,0
1.435283,32,2,1
1.512200,16,2,1
1.512200,32,2,2
1.589116,32,2,3
1.666032,8,2,1
1.666032,16,2,2
1.666032,32,2,4
1.742948,32,2,5
1.819864,16,2,3
1.819864,32,2,6
1.896780,32,2,7
1.973696,4,3,0
1.973696,8,3,0
1.973696,16,3,0
1.973696,32,3,0
2.050612,32,3,1
2.127528,16,3,1
2.127528,32,3,2
2.204444,32,3,3
2.281361,8,3,1
2.281361,16,3,2
2.281361,32,3,4
2.358277,32,3,5
2.435193,16,3,3
2.435193,32,3,6
2.512109,32,3,7
2.589025,4,4,0
2.589025,8,4,0
2.589025,16,4,0
2.589025,32,4,0
2.665941,32,4,1
2.742857,16,4,1
2.742857,32,4,2
2.819773,32,4,3
2.896689,8,4,1
2.896689,16,4,2
2.896689,32,4,4
2.973605,32,4,5
3.050522,16,4,3
3.050522,32,4,6
3.127438,32,4,7
3.204354,4,5,0
3.204354,8,5,0
3.204354,16,5,0
3.204354,32,5,0
3.281270,32,5,1
3.358186,16,5,1
3.358186,32,5,2
3.435102,32,5,3
3.512018,8,5,1
3.512018,16,5,2
3.512018,32,5,4
3.588934,32,5,5
3.665850,16,5,3
3.665850,32,5,6
3.742766,32,5,7
3.819683,4,6,0
3.819683,8,6,0
3.819683,16,6,0
3.819683,32,6,0
3.896599,32,6,1
3.973515,16,6,1
3.973515,32,6,2
4.050431,32,6,3
4.127347,8,6,1
4.127347,16,6,2
4.127347,32,6,4
4.204263,32,6,5
4.281179,16,6,3
4.281179,32,6,6
4.358095,32,6,7
4.435011,4,7,0
4.435011,8,7,0
4.435011,16,7,0
4.435011,32,7,0
4.511927,32,7,1
4.588844,16,7,1
4.588844,32,7,2
4.665760,32,7,3
4.742676,8,7,1
4.742676,16,7,2
4.742676,32,7,4
4.819592,32,7,5
4.896508,16,7,3
4.896508,32,7,6
4.973424,32,7,7
5.050340,4,8,0
5.050340,8,8,0
5.050340,16,8,0
5.050340,32,8,0
5.140317,32,8,1
5.230295,16,8,1
5.230295,32,8,2
5.320272,32,8,3
5.410249,8,8,1
5.410249,16,8,2
5.410249,32,8,4
5.500227,32,8,5
5.590204,16,8,3
5.590204,32,8,6
5.680181,32,8,7
5.770159,4,9,0
5.770159,8,9,0
5.770159,16,9,0
5.770159,32,9,0
5.860136,32,9,1
5.950113,16,9,1
5.950113,32,9,2
