start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
4.109932,4.226032,81.9323,40,E2,0.3957
7.546485,7.662585,109.3664,45,A2,0.3978
8.800363,8.939683,92.4986,42,F#2,0.3845
9.148662,9.334422,92.4986,42,F#2,0.5624
9.404082,9.613061,124.1861,47,B2,0.5268
9.798821,10.007800,123.4708,47,B2,0.6464
10.216780,10.379320,77.7817,39,D#2,0.3967
14.512472,14.675011,92.4986,42,F#2,0.4399
15.464490,15.580590,91.9659,42,F#2,0.3559
20.712200,20.874739,123.4708,47,B2,0.6378
21.106939,21.246259,77.7817,39,D#2,0.3634
32.693696,32.995556,138.5913,49,C#3,0.7799
34.737052,35.967710,92.4986,42,F#2,0.5105
39.311383,39.566803,69.2957,37,C#2,0.5579
41.285079,41.610159,92.4986,42,F#2,0.4380
41.842358,42.213878,92.4986,42,F#2,0.5675
43.003356,43.235556,77.7817,39,D#2,0.4363
45.882630,46.138050,138.5913,49,C#3,0.5383
48.042086,48.738685,91.9659,42,F#2,0.4578
48.854785,49.086984,92.4986,42,F#2,0.4524
49.621043,49.830023,77.7817,39,D#2,0.4841
52.198458,52.360998,103.8262,44,G#2,0.4183
52.453878,52.732517,69.2957,37,C#2,0.5953
54.682993,54.845533,92.4986,42,F#2,0.4464
54.938413,55.054512,92.4986,42,F#2,0.3742
55.124172,55.379592,91.9659,42,F#2,0.5057
56.215510,56.401270,77.7817,39,D#2,0.4186
59.025125,59.257324,69.2957,37,C#2,0.4715
60.604082,60.696961,92.4986,42,F#2,0.3738
61.393560,62.229478,92.4986,42,F#2,0.4751
62.833197,62.972517,77.7817,39,D#2,0.5175
64.667574,64.946213,81.4604,40,E2,0.4502
65.340952,65.503492,103.8262,44,G#2,0.4574
65.573152,65.875011,139.3942,49,C#3,0.6320
67.639728,68.220227,92.4986,42,F#2,0.5208
68.289887,68.522086,91.9659,42,F#2,0.4578
68.591746,68.823946,92.4986,42,F#2,0.5731
69.450884,69.543764,77.7817,39,D#2,0.3612
72.167619,72.446259,69.2957,37,C#2,0.5060
74.768254,75.093333,91.9659,42,F#2,0.5328
75.162993,75.395193,91.9659,42,F#2,0.3741
78.738866,79.017506,138.5913,49,C#3,0.5679
80.967982,81.269841,91.9659,42,F#2,0.4319
81.409161,81.571701,91.4362,42,F#2,0.3520
81.780680,81.943220,91.9659,42,F#2,0.4597
82.500499,82.639819,77.7817,39,D#2,0.3233
85.031474,85.217234,103.8262,44,G#2,0.3567
85.310113,85.565533,69.2957,37,C#2,0.5499
87.283810,88.537687,91.9659,42,F#2,0.4389
91.904580,92.136780,69.2957,37,C#2,0.4119
94.435556,94.528435,91.4362,42,F#2,0.3233
94.667755,94.923175,91.9659,42,F#2,0.4555
98.452608,98.708027,139.3942,49,C#3,0.4730
100.612063,100.797823,92.4986,42,F#2,0.3599
101.192562,101.378322,91.7010,42,F#2,0.4427
105.023855,105.302494,138.5913,49,C#3,0.4844
107.508390,107.647710,91.9659,42,F#2,0.4098
107.833469,108.088889,91.9659,42,F#2,0.4461
111.595102,112.245261,138.5913,49,C#3,0.5243
112.477460,112.640000,68.8965,37,C#2,0.3331
112.872200,113.383039,68.8965,37,C#2,0.3996
115.867574,116.053333,73.4162,38,D2,0.3880
116.958912,117.237551,104.4276,44,G#2,0.4319
121.579683,121.719002,138.5913,49,C#3,0.3486
135.720635,135.813515,92.7665,42,F#2,0.3355
141.316644,141.432744,138.5913,49,C#3,0.3526
147.911111,148.027211,138.9927,49,C#3,0.3355
148.514830,148.747029,92.7665,42,F#2,0.3683
148.863129,149.002449,92.4986,42,F#2,0.3738
167.601633,167.764172,68.8965,37,C#2,0.4205
179.559909,179.815329,93.0344,42,F#2,0.4661
181.231746,181.417506,77.7817,39,D#2,0.4531
194.281361,194.490340,92.4986,42,F#2,0.5698
195.140499,195.326259,92.7665,42,F#2,0.5496
195.883537,195.976417,69.2957,37,C#2,0.4420
196.046077,196.185397,69.2957,37,C#2,0.3781
199.250431,199.552290,69.6971,37,C#2,0.3742
202.733424,202.872744,92.4986,42,F#2,0.4872
206.634376,206.727256,93.0344,42,F#2,0.3869
272.811247,272.904127,87.3071,41,F2,0.4164
323.059229,323.152109,323.0318,64,E4,0.3233
