start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
85.542313,85.635193,277.1826,61,C#4,0.6872
167.717732,167.810612,278.7883,61,C#4,0.7050
178.398912,178.654331,429.9504,69,A4,0.6835
178.654331,178.840091,414.1087,68,G#4,0.6645
178.956190,179.745669,401.1579,67,G4,0.7898
179.745669,179.884989,416.5076,68,G#4,0.4430
179.884989,180.093968,429.9504,69,A4,0.8953
187.292154,187.570794,965.2060,83,B5,0.5752
187.686893,188.058413,970.7974,83,B5,0.6293
188.940771,189.405170,403.4818,68,G#4,0.6257
189.498050,189.776689,403.4818,68,G#4,0.6280
190.194649,190.380408,405.8191,68,G#4,0.4096
190.496508,190.635828,404.6505,68,G#4,0.5438
191.285986,191.448526,408.1700,68,G#4,0.5231
193.538322,193.770522,266.1987,60,C4,0.6000
194.234921,194.467120,264.6655,60,C4,0.5654
194.583220,194.722540,267.7408,60,C4,0.5411
195.140499,195.233379,263.1411,60,C4,0.3856
195.906757,196.185397,271.6363,61,C#4,0.4012
196.928435,197.137415,429.9504,69,A4,0.5809
197.207075,197.299955,427.4812,69,A4,0.4466
198.809252,198.902132,436.2060,69,A4,0.4322
201.340227,201.456327,405.8191,68,G#4,0.5113
201.525986,201.618866,398.8540,67,G4,0.6166
202.686984,202.779864,397.6988,67,G4,0.4408
202.872744,203.012063,400.0026,67,G4,0.4895
203.104943,203.801542,479.8234,70,A#4,0.5579
204.010522,205.426939,479.8234,70,A#4,0.6775
205.612698,205.798458,479.8234,70,A#4,0.5513
206.913016,207.168435,482.6030,71,B4,0.5057
207.795374,208.050794,479.8234,70,A#4,0.3838
211.719546,211.905306,433.6936,69,A4,0.7056
212.276825,212.369705,405.8191,68,G#4,0.7398
213.530703,213.762902,408.1700,68,G#4,0.8994
214.738141,214.877460,363.6442,66,F#4,0.6337
215.248980,215.643719,405.8191,68,G#4,0.8165
217.199456,217.338776,440.0000,69,A4,0.5100
217.454875,217.547755,437.4658,69,A4,0.3772
233.778503,233.871383,328.6783,64,E4,0.3759
249.173333,249.359093,323.9648,64,E4,0.4439
249.962812,250.055692,405.8191,68,G#4,0.5223
250.125351,250.287891,408.1700,68,G#4,0.7284
265.148662,265.357642,389.7377,67,G4,0.8027
266.007800,266.356100,363.6381,66,F#4,0.7808
267.145578,267.238458,339.2864,64,E4,0.6358
267.447438,267.540317,180.7719,54,F#3,0.5189
267.981497,268.074376,429.9504,69,A4,0.3612
268.654875,268.770975,415.3047,68,G#4,0.4445
271.859229,272.021769,427.4741,68,G#4,0.4716
272.950567,273.159546,427.4741,68,G#4,0.3679
282.377868,282.517188,376.4618,66,F#4,0.7304
282.517188,282.702948,366.8040,66,F#4,0.9141
283.120907,283.445986,367.8634,66,F#4,0.8431
286.766440,286.859320,364.6914,66,F#4,0.4457
288.925896,289.018776,770.5224,79,G5,0.4885
325.892063,325.984943,633.1308,75,D#5,0.3355
326.472562,326.565442,636.7985,75,D#5,0.3734
326.635102,326.867302,629.4842,75,D#5,0.4109
328.074739,328.306939,640.4874,76,E5,0.3753
328.562358,328.817778,640.4874,76,E5,0.3936
328.887438,329.119637,644.1977,76,E5,0.3747
329.398277,329.537596,644.1977,76,E5,0.3355
343.957188,344.096508,320.2437,63,D#4,0.3732
344.816327,344.932426,320.2437,63,D#4,0.3559
345.303946,345.420045,320.2437,63,D#4,0.3429
345.930884,346.255964,640.4874,76,E5,0.4224
346.697143,346.859683,644.1977,76,E5,0.3989
347.184762,347.300862,644.1977,76,E5,0.3644
347.509841,347.718821,640.4874,76,E5,0.3853
347.974240,348.090340,644.1977,76,E5,0.4428
348.833379,348.949478,644.1977,76,E5,0.4153
349.158458,349.344218,644.1977,76,E5,0.3747
349.437098,349.646077,644.1977,76,E5,0.4995
349.808617,350.017596,644.1977,76,E5,0.3904
350.365896,350.505215,644.1977,76,E5,0.4571
350.737415,350.923175,644.1977,76,E5,0.5342
351.201814,351.294694,644.1977,76,E5,0.5041
