start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
0.069660,2.252336,82.4069,40,E2,0.6832
2.345215,3.738413,55.0000,33,A1,0.4231
3.808073,4.202812,130.8128,48,C3,0.6788
6.501587,6.896327,73.4162,38,D2,0.6346
7.105306,7.476825,110.0000,45,A2,0.3971
8.661043,9.032562,87.3071,41,F2,0.4764
9.380862,9.938141,173.6084,53,F3,0.5061
10.727619,11.122358,82.4069,40,E2,0.6077
11.493878,12.144036,82.4069,40,E2,0.5086
12.236916,12.329796,147.6830,50,D3,0.4126
12.469116,12.608435,146.8324,50,D3,0.5092
12.956735,13.096054,124.1861,47,B2,0.3820
14.883991,16.788027,73.4162,38,D2,0.5926
16.880907,17.391746,87.3071,41,F2,0.6926
17.461406,17.902585,164.8138,52,E3,0.4967
18.390204,18.575964,86.3043,41,F2,0.3813
18.645624,19.040363,87.3071,41,F2,0.5259
19.342222,20.549660,110.0000,45,A2,0.7161
20.619320,20.990839,73.4162,38,D2,0.4998
21.664218,22.453696,164.8138,52,E3,0.6461
22.500136,23.243175,82.4069,40,E2,0.6997
23.336054,24.752472,55.0000,33,A1,0.4214
24.822132,25.193651,130.8128,48,C3,0.7002
25.541950,25.681270,97.9989,43,G2,0.3396
25.890249,26.052789,164.8138,52,E3,0.3439
27.097687,27.887166,73.4162,38,D2,0.5359
27.980045,28.258685,110.0000,45,A2,0.4277
29.024943,29.164263,116.5409,46,A#2,0.3634
29.489342,30.000181,87.3071,41,F2,0.6359
30.093061,30.348481,165.7685,52,E3,0.4239
31.741678,32.066757,82.4069,40,E2,0.6239
33.204535,33.599274,146.8324,50,D3,0.8008
34.946032,35.340771,61.7354,35,B1,0.4308
35.480091,37.802086,73.4162,38,D2,0.5606
37.871746,38.405805,87.3071,41,F2,0.6859
38.475465,39.079184,164.8138,52,E3,0.4967
39.172063,40.054422,86.8042,41,F2,0.5232
40.124082,40.333061,110.0000,45,A2,0.4446
40.449161,41.540499,110.0000,45,A2,0.7403
41.633379,42.004898,73.4162,38,D2,0.4793
43.026576,43.514195,164.8138,52,E3,0.5371
43.676735,43.862494,82.4069,40,E2,0.4653
46.881088,47.113288,164.8138,52,E3,0.5711
48.854785,48.947664,72.9933,38,D2,0.4650
50.039002,50.131882,351.2513,65,F4,0.5670
52.918277,53.127256,82.4069,40,E2,0.6232
53.405896,53.498776,165.7685,52,E3,0.5101
53.847075,53.939955,166.7288,52,E3,0.3233
56.006531,56.145850,123.4708,47,B2,0.6338
56.238730,56.401270,124.1861,47,B2,0.6219
56.494150,56.610249,73.4162,38,D2,0.5335
56.703129,56.819229,73.4162,38,D2,0.3599
59.512744,59.768163,164.8138,52,E3,0.7274
63.692336,63.878095,164.8138,52,E3,0.5103
68.173787,68.405986,329.6276,64,E4,0.6901
72.190839,72.283719,164.8138,52,E3,0.3747
75.441633,75.604172,295.3660,62,D4,0.6828
78.088707,78.181587,145.9867,50,D3,0.3396
80.735782,80.944762,173.6084,53,F3,0.6558
81.176961,81.339501,110.0000,45,A2,0.6500
81.455601,81.618141,110.0000,45,A2,0.4798
84.706395,85.031474,164.8138,52,E3,0.6648
90.743583,90.929342,73.4162,38,D2,0.5476
92.322540,92.415420,174.6141,53,F3,0.5610
92.601179,92.740499,174.6141,53,F3,0.5229
92.810159,92.949478,174.6141,53,F3,0.5865
93.437098,93.646077,174.6141,53,F3,0.4089
93.762177,94.389116,174.6141,53,F3,0.6098
96.269932,96.362812,146.8324,50,D3,0.4773
98.499048,98.591927,73.4162,38,D2,0.4738
105.975873,106.254512,164.8138,52,E3,0.7418
111.084263,111.200363,73.4162,38,D2,0.4925
118.607528,118.839728,61.7354,35,B1,0.4364
119.489887,119.582766,73.4162,38,D2,0.5839
164.536599,164.861678,164.8138,52,E3,0.4123
168.135692,168.460771,82.4069,40,E2,0.4506
168.925170,169.343129,164.8138,52,E3,0.6502
169.389569,170.248707,82.4069,40,E2,0.6997
170.318367,170.643447,55.0000,33,A1,0.4447
170.852426,171.456145,55.0000,33,A1,0.3872
171.525805,171.734785,55.0000,33,A1,0.4397
171.827664,171.920544,130.8128,48,C3,0.4322
171.990204,172.199184,130.8128,48,C3,0.4599
172.849342,173.035102,164.8138,52,E3,0.4744
174.080000,174.196100,73.4162,38,D2,0.4592
174.312200,174.637279,73.4162,38,D2,0.6078
174.776599,174.869478,72.9933,38,D2,0.3738
175.775057,175.914376,73.4162,38,D2,0.3910
176.285896,176.378776,87.3071,41,F2,0.5839
176.448435,176.936054,87.3071,41,F2,0.7139
177.330794,177.586213,165.7685,52,E3,0.5850
177.679093,178.236372,87.3071,41,F2,0.5520
178.723991,179.397370,82.4069,40,E2,0.5650
179.954649,180.093968,82.4069,40,E2,0.3644
180.186848,180.581587,146.8324,50,D3,0.5904
182.462404,182.857143,73.4162,38,D2,0.6411
