time,peak
0.000726,0.139203
0.002177,0.065777
0.003628,0.053035
0.005079,0.070264
0.006531,0.067730
0.007982,0.061941
0.009433,0.047618
0.010884,0.124974
0.012336,0.133949
0.013787,0.079169
0.015238,0.103629
0.016689,0.077333
0.018141,0.042619
0.019592,0.030017
0.021043,0.044874
0.022494,0.047734
0.023946,0.054454
0.025397,0.045130
0.026848,0.071636
0.028299,0.301146
0.029751,0.819363
0.031202,0.618173
0.032653,0.530470
0.034104,0.324513
0.035556,0.309819
0.037007,0.468716
0.038458,0.572159
0.039909,0.197773
0.041361,0.699342
0.042812,0.713409
0.044263,0.484247
0.045715,0.297403
0.047166,0.297914
0.048617,0.401172
0.050068,0.515939
0.051520,0.456346
0.052971,0.124997
0.054422,0.633844
0.055873,0.474947
0.057325,0.302123
0.058776,0.290846
0.060227,0.349276
0.061678,0.450394
0.063130,0.490060
0.064581,0.094817
0.066032,0.613895
0.067483,0.515636
0.068935,0.464461
0.070386,0.304611
0.071837,0.267688
0.073288,0.369458
0.074740,0.475575
0.076191,0.309703
0.077642,0.494315
0.079093,0.608733
0.080545,0.458974
0.081996,0.321979
0.083447,0.320259
0.084898,0.358995
0.086350,0.463670
0.087801,0.460369
0.089252,0.082076
0.090703,0.588993
0.092155,0.443326
0.093606,0.373666
0.095057,0.333116
0.096508,0.255551
0.097960,0.362064
0.099411,0.461601
0.100862,0.169197
0.102313,0.582622
0.103765,0.565951
0.105216,0.444628
0.106667,0.348764
0.108118,0.319119
0.109570,0.360855
0.111021,0.456091
0.112472,0.389616
0.113923,0.369760
0.115375,0.587644
0.116826,0.435118
0.118277,0.342161
0.119728,0.347741
0.121180,0.347788
0.122631,0.431119
0.124082,0.450859
0.125534,0.066381
0.126985,0.571532
0.128436,0.437025
0.129887,0.422330
0.131339,0.361622
0.132790,0.268548
0.134241,0.345904
0.135692,0.437071
0.137144,0.283801
0.138595,0.558255
0.140046,0.559976
0.141497,0.422818
0.142949,0.375712
0.144400,0.369806
0.145851,0.348555
0.147302,0.433607
0.148754,0.425957
0.150205,0.249831
0.151656,0.552884
0.153107,0.414588
0.154559,0.349438
0.156010,0.379014
0.157461,0.309982
0.158912,0.335209
0.160364,0.419122
0.161815,0.146551
0.163266,0.543700
0.164717,0.425213
0.166169,0.411542
0.167620,0.382687
0.169071,0.296961
0.170522,0.323886
0.171974,0.412704
0.173425,0.339185
