time,peak
0.000726,0.001543
0.002177,0.000509
0.003628,0.000854
0.005079,0.002019
0.006531,0.002233
0.007982,0.002955
0.009433,0.002774
0.010884,0.002659
0.012336,0.001280
0.013787,0.003480
0.015238,0.006304
0.016689,0.009948
0.018141,0.004695
0.019592,0.001412
0.021043,0.002233
0.022494,0.004170
0.023946,0.004301
0.025397,0.002380
0.026848,0.001494
0.028299,0.002019
0.029751,0.006714
0.031202,0.003135
0.032653,0.001477
0.034104,0.002791
0.035556,0.001789
0.037007,0.001789
0.038458,0.001034
0.039909,0.000689
0.041361,0.002988
0.042812,0.002856
0.044263,0.000755
0.045715,0.001034
0.047166,0.001642
0.048617,0.001494
0.050068,0.001215
0.051520,0.001576
0.052971,0.001428
0.054422,0.002183
0.055873,0.000854
0.057325,0.000936
0.058776,0.001330
0.060227,0.001756
0.061678,0.001116
0.063130,0.001051
0.064581,0.001280
0.066032,0.002298
0.067483,0.000985
0.068935,0.000903
0.070386,0.001182
0.071837,0.001280
0.073288,0.001018
0.074740,0.001215
0.076191,0.000985
0.077642,0.001986
0.079093,0.002577
0.080545,0.001576
0.081996,0.000673
0.083447,0.000969
0.084898,0.000854
0.086350,0.000936
0.087801,0.000772
0.089252,0.000542
0.090703,0.002282
0.092155,0.000558
0.093606,0.000886
0.095057,0.001248
0.096508,0.001100
0.097960,0.001904
0.099411,0.001363
0.100862,0.001231
0.102313,0.002725
0.103765,0.001625
0.105216,0.000673
0.106667,0.001510
0.108118,0.000624
0.109570,0.002364
0.111021,0.001149
0.112472,0.001248
0.113923,0.001756
0.115375,0.003480
0.116826,0.001116
0.118277,0.001477
0.119728,0.001559
0.121180,0.001773
0.122631,0.002003
0.124082,0.001280
0.125534,0.000575
0.126985,0.002265
0.128436,0.000936
0.129887,0.000739
0.131339,0.001674
0.132790,0.001297
0.134241,0.001674
0.135692,0.001609
0.137144,0.001313
0.138595,0.002512
0.140046,0.001756
0.141497,0.000952
0.142949,0.002233
0.144400,0.002430
0.145851,0.002052
0.147302,0.001215
0.148754,0.000969
0.150205,0.001395
0.151656,0.002709
0.153107,0.001198
0.154559,0.001461
0.156010,0.002282
0.157461,0.001543
0.158912,0.001395
0.160364,0.001166
0.161815,0.001166
0.163266,0.002774
0.164717,0.001166
0.166169,0.000443
0.167620,0.001559
0.169071,0.001395
0.170522,0.001609
0.171974,0.001313
0.173425,0.000837
0.174876,0.001839
0.176327,0.002397
0.177779,0.000804
0.179230,0.001297
0.180681,0.000952
0.182132,0.000936
0.183584,0.000854
0.185035,0.001297
0.186486,0.001116
0.187937,0.001461
0.189389,0.000903
0.190840,0.000919
0.192291,0.001166
0.193742,0.001297
0.195194,0.001149
0.196645,0.001051
0.198096,0.000788
0.199547,0.001724
0.200999,0.001248
0.202450,0.001166
0.203901,0.001839
0.205353,0.001166
0.206804,0.001494
0.208255,0.001445
0.209706,0.001133
0.211158,0.000985
0.212609,0.001051
0.214060,0.000722
0.215511,0.001018
0.216963,0.001280
0.218414,0.001363
0.219865,0.001395
0.221316,0.000689
0.222768,0.001067
0.224219,0.000804
0.225670,0.000854
0.227121,0.000919
0.228573,0.000870
0.230024,0.001166
0.231475,0.000886
0.232926,0.000919
0.234378,0.000607
0.235829,0.001773
0.237280,0.001116
0.238731,0.000591
0.240183,0.000788
0.241634,0.001001
0.243085,0.001395
0.244536,0.000525
0.245988,0.000804
0.247439,0.001428
0.248890,0.001888
0.250341,0.000640
0.251793,0.000969
0.253244,0.001198
0.254695,0.001034
0.256146,0.001166
0.257598,0.000657
0.259049,0.000575
0.260500,0.001248
0.261951,0.001100
0.263403,0.000640
0.264854,0.001231
0.266305,0.000673
0.267756,0.001707
0.269208,0.000837
0.270659,0.000427
0.272110,0.001855
0.273561,0.001379
0.275013,0.000886
0.276464,0.001986
0.277915,0.001231
0.279366,0.001658
0.280818,0.001051
0.282269,0.000772
0.283720,0.000591
0.285172,0.001363
0.286623,0.000854
0.288074,0.001083
0.289525,0.001116
0.290977,0.000804
0.292428,0.001330
0.293879,0.000886
0.295330,0.000969
0.296782,0.001264
0.298233,0.000772
0.299684,0.000919
0.301135,0.001412
0.302587,0.001642
0.304038,0.001018
0.305489,0.000575
0.306940,0.000739
0.308392,0.001871
0.309843,0.001822
0.311294,0.000689
0.312745,0.000886
0.314197,0.000936
0.315648,0.000657
0.317099,0.000755
0.318550,0.000821
0.320002,0.000706
0.321453,0.001576
0.322904,0.000640
0.324355,0.000689
0.325807,0.001100
0.327258,0.000854
0.328709,0.000788
0.330160,0.000706
0.331612,0.000509
0.333063,0.001477
0.334514,0.000936
0.335965,0.000525
0.337417,0.001083
0.338868,0.000476
0.340319,0.001001
0.341770,0.000689
0.343222,0.000295
0.344673,0.000903
0.346124,0.001264
