index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
0,0.034830,0.592109,0.000483,6064.401,15020.237,6736.030,0.115572,,0.0000,-637.383057,83.488663,24.583229,25.315094,16.538225,3.838325,-6.909449,-2.883265,5.032622,-8.192457,-1.119741,-6.315204,4.933382,unpitched,bright,soft,long,4,1,1,3,4,5,4,4
1,0.626939,1.000000,0.001055,5406.976,13800.308,6528.425,0.078535,,0.0000,-624.242371,82.750450,23.574339,17.639645,1.150129,-3.680563,-10.551797,-12.114187,-1.570860,-11.103058,-0.738517,-10.267257,2.721845,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
2,2.240726,1.000000,0.000253,6579.215,17004.300,7302.354,0.098459,,0.0000,-717.940979,83.402107,41.431458,23.896620,20.170853,3.392612,3.010087,-0.253052,5.209870,-6.770434,-7.449441,-7.683331,6.746137,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
3,3.796463,0.429569,0.000546,5695.229,14508.846,6630.040,0.104672,,0.0000,-624.430847,87.783455,25.926350,23.759439,11.323622,0.722025,-10.625668,-10.418225,2.452710,-7.608843,-7.285323,-11.267354,-0.181455,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
4,4.226032,0.592109,0.000524,5648.219,14442.568,6640.597,0.091863,,0.0000,-636.149658,88.914299,30.259235,27.958456,13.496787,1.530812,-7.882232,-9.852276,1.548952,-6.345223,-6.365890,-9.420656,0.793574,unpitched,bright,soft,long,4,1,1,3,4,5,4,4
5,4.818141,1.000000,0.000707,5558.946,14769.550,6736.650,0.067063,,0.0000,-652.183899,86.418556,33.610897,25.459858,10.265955,1.433154,-2.192217,-13.604213,-2.668182,-8.369293,-6.772954,-9.932210,-1.235826,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
6,8.428844,1.000000,0.001074,3560.504,9807.508,5927.324,0.025711,,0.0000,-688.134949,106.008377,50.722843,35.147953,23.412209,17.970730,6.716526,-1.685106,4.039062,-4.960662,-3.357654,-13.345122,2.052848,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
7,10.657959,1.000000,0.000969,5081.392,13540.672,6687.885,0.053644,,0.0000,-720.165527,90.993942,55.197742,32.756840,17.173225,12.066620,12.510133,-1.763932,5.477363,1.393344,1.238092,-7.348502,8.006431,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
8,12.608435,0.603719,0.001933,3570.946,9680.597,5664.218,0.017919,,0.0000,-634.461975,98.316719,34.255234,35.663586,21.015476,7.804445,-9.340144,-7.091159,3.868675,-7.711329,-13.053968,-14.542779,-4.308052,unpitched,bright,soft,long,4,1,1,3,4,5,4,4
9,13.212154,1.000000,0.002348,3420.530,8774.657,5502.350,0.034971,,0.0000,-616.883057,108.964149,42.719852,37.552349,12.493613,-2.541041,-14.066704,-12.188563,6.802197,2.628164,-0.239457,-1.150763,7.103346,unpitched,bright,soft,long,5,1,1,3,4,4,5,5
