time,division,beat,phase
0.046440,4,0,0
0.046440,8,0,0
0.046440,16,0,0
0.046440,32,0,0
0.103039,32,0,1
0.159637,16,0,1
0.159637,32,0,2
0.216236,32,0,3
0.272834,8,0,1
0.272834,16,0,2
0.272834,32,0,4
0.329433,32,0,5
0.386032,16,0,3
0.386032,32,0,6
0.442630,32,0,7
0.499229,4,1,0
0.499229,8,1,0
0.499229,16,1,0
0.499229,32,1,0
0.555828,32,1,1
0.612426,16,1,1
0.612426,32,1,2
0.669025,32,1,3
0.725624,8,1,1
0.725624,16,1,2
0.725624,32,1,4
0.782222,32,1,5
0.838821,16,1,3
0.838821,32,1,6
0.895420,32,1,7
0.952018,4,2,0
0.952018,8,2,0
0.952018,16,2,0
0.952018,32,2,0
1.008617,32,2,1
1.065215,16,2,1
1.065215,32,2,2
1.121814,32,2,3
1.178413,8,2,1
1.178413,16,2,2
1.178413,32,2,4
1.235011,32,2,5
1.291610,16,2,3
1.291610,32,2,6
1.348209,32,2,7
1.404807,4,3,0
1.404807,8,3,0
1.404807,16,3,0
1.404807,32,3,0
1.459955,32,3,1
1.515102,16,3,1
1.515102,32,3,2
1.570249,32,3,3
1.625397,8,3,1
1.625397,16,3,2
1.625397,32,3,4
1.680544,32,3,5
1.735692,16,3,3
1.735692,32,3,6
1.790839,32,3,7
1.845986,4,4,0
1.845986,8,4,0
1.845986,16,4,0
1.845986,32,4,0
1.902585,32,4,1
1.959184,16,4,1
1.959184,32,4,2
2.015782,32,4,3
2.072381,8,4,1
2.072381,16,4,2
2.072381,32,4,4
2.128980,32,4,5
2.185578,16,4,3
2.185578,32,4,6
2.242177,32,4,7
2.298776,4,5,0
2.298776,8,5,0
2.298776,16,5,0
2.298776,32,5,0
2.361179,32,5,1
2.423583,16,5,1
2.423583,32,5,2
2.485986,32,5,3
2.548390,8,5,1
2.548390,16,5,2
2.548390,32,5,4
2.610794,32,5,5
2.673197,16,5,3
2.673197,32,5,6
2.735601,32,5,7
2.798005,4,6,0
2.798005,8,6,0
2.798005,16,6,0
2.798005,32,6,0
2.860408,32,6,1
2.922812,16,6,1
2.922812,32,6,2
2.985215,32,6,3
3.047619,8,6,1
3.047619,16,6,2
3.047619,32,6,4
3.110023,32,6,5
3.172426,16,6,3
3.172426,32,6,6
3.234830,32,6,7
3.297234,4,7,0
3.297234,8,7,0
3.297234,16,7,0
3.297234,32,7,0
3.359637,32,7,1
3.422041,16,7,1
3.422041,32,7,2
3.484444,32,7,3
3.546848,8,7,1
3.546848,16,7,2
3.546848,32,7,4
3.609252,32,7,5
3.671655,16,7,3
3.671655,32,7,6
3.734059,32,7,7
3.796463,4,8,0
3.796463,8,8,0
3.796463,16,8,0
3.796463,32,8,0
3.853061,32,8,1
3.909660,16,8,1
3.909660,32,8,2
3.966259,32,8,3
4.022857,8,8,1
4.022857,16,8,2
4.022857,32,8,4
4.079456,32,8,5
4.136054,16,8,3
4.136054,32,8,6
4.192653,32,8,7
4.249252,4,9,0
4.249252,8,9,0
4.249252,16,9,0
4.249252,32,9,0
4.305850,32,9,1
4.362449,16,9,1
4.362449,32,9,2
4.419048,32,9,3
4.475646,8,9,1
4.475646,16,9,2
4.475646,32,9,4
4.532245,32,9,5
4.588844,16,9,3
4.588844,32,9,6
4.645442,32,9,7
4.702041,4,10,0
4.702041,8,10,0
4.702041,16,10,0
4.702041,32,10,0
4.758639,32,10,1
4.815238,16,10,1
4.815238,32,10,2
4.871837,32,10,3
4.928435,8,10,1
4.928435,16,10,2
4.928435,32,10,4
4.985034,32,10,5
