start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
1.021678,1.393197,325.8415,64,E4,0.6868
4.899410,5.503129,329.6276,64,E4,0.5541
6.548027,6.896327,73.4162,38,D2,0.4952
7.174966,7.360726,110.3186,45,A2,0.3477
8.475283,8.986122,87.3071,41,F2,0.6171
9.079002,9.520181,164.8138,52,E3,0.7223
9.775601,9.914921,166.7288,52,E3,0.4025
10.425760,10.634739,86.8042,41,F2,0.4145
10.727619,12.144036,82.4069,40,E2,0.6727
12.236916,12.608435,146.8324,50,D3,0.6186
12.933515,13.212154,248.3722,59,B3,0.6085
13.815873,14.349932,82.4069,40,E2,0.4140
15.905669,16.300408,73.4162,38,D2,0.4010
16.555828,16.741587,73.4162,38,D2,0.4380
16.904127,16.997007,87.0556,41,F2,0.4273
17.089887,17.229206,87.3071,41,F2,0.3559
17.531066,18.436644,164.8138,52,E3,0.7917
18.924263,19.086803,171.6143,53,F3,0.5903
19.249342,20.735420,220.0000,57,A3,0.7532
21.896417,22.314376,320.2437,63,D#4,0.6626
22.384036,22.546576,164.8138,52,E3,0.4456
22.709116,23.010975,164.8138,52,E3,0.3510
26.238549,26.377868,165.7685,52,E3,0.4098
26.865488,27.028027,65.7853,36,C2,0.3520
27.492426,27.608526,65.4064,36,C2,0.4301
29.489342,30.000181,87.3071,41,F2,0.4357
30.093061,30.557460,164.8138,52,E3,0.6065
31.161179,31.648798,86.8042,41,F2,0.5324
31.718458,33.134875,82.4069,40,E2,0.6732
33.227755,33.343855,147.2577,50,D3,0.4151
34.086893,34.202993,124.1861,47,B2,0.4055
35.967710,36.385669,73.4162,38,D2,0.4217
36.501769,37.430567,73.4162,38,D2,0.4360
37.523447,37.825306,73.4162,38,D2,0.5638
38.521905,39.566803,164.8138,52,E3,0.7249
40.425941,40.820680,220.0000,57,A3,0.6824
40.867120,41.610159,110.0000,45,A2,0.7566
41.633379,41.726259,73.2048,38,D2,0.4861
42.097778,42.283537,73.4162,38,D2,0.4016
48.297506,48.390385,73.4162,38,D2,0.4164
51.292880,51.432200,164.8138,52,E3,0.4531
54.032834,54.125714,82.4069,40,E2,0.4885
54.775873,54.891973,123.4708,47,B2,0.4301
70.054603,70.147483,110.0000,45,A2,0.3881
92.043900,92.136780,174.6141,53,F3,0.5516
93.808617,93.901497,164.8138,52,E3,0.4932
97.291610,97.384490,82.4069,40,E2,0.4344
101.703401,101.865941,165.7685,52,E3,0.4594
105.697234,106.533152,164.8138,52,E3,0.4928
106.602812,106.951111,82.4069,40,E2,0.5026
108.948027,109.087347,130.8128,48,C3,0.4504
118.444989,118.653968,82.4069,40,E2,0.3477
126.850612,127.454331,164.8138,52,E3,0.5672
132.075102,132.191202,73.4162,38,D2,0.5523
142.965261,143.081361,87.3071,41,F2,0.3759
143.777959,143.963719,164.8138,52,E3,0.4650
147.632472,148.259410,164.8138,52,E3,0.7016
148.329070,148.514830,164.8138,52,E3,0.6218
159.404989,159.521088,147.6830,50,D3,0.4105
170.968526,171.665125,220.0000,57,A3,0.7430
183.762721,183.902041,73.8415,38,D2,0.3991
