time,peak
0.000726,0.076964
0.002177,0.029335
0.003628,0.033736
0.005079,0.044141
0.006531,0.043809
0.007982,0.041374
0.009433,0.045553
0.010884,0.041484
0.012336,0.040073
0.013787,0.051973
0.015238,0.072729
0.016689,0.072868
0.018141,0.063431
0.019592,0.042093
0.021043,0.050839
0.022494,0.059003
0.023946,0.057231
0.025397,0.063181
0.026848,0.048320
0.028299,0.089362
0.029751,0.022583
0.031202,0.011319
0.032653,0.010433
0.034104,0.015110
0.035556,0.015083
0.037007,0.012841
0.038458,0.007057
0.039909,0.008607
0.041361,0.018265
0.042812,0.015359
0.044263,0.008192
0.045715,0.005009
0.047166,0.010765
0.048617,0.013505
0.050068,0.014197
0.051520,0.012343
0.052971,0.010184
0.054422,0.010793
0.055873,0.010129
0.057325,0.007223
0.058776,0.008828
0.060227,0.018902
0.061678,0.015332
0.063130,0.015526
0.064581,0.013616
0.066032,0.016328
0.067483,0.007694
0.068935,0.006476
0.070386,0.011319
0.071837,0.011236
0.073288,0.011374
0.074740,0.009686
0.076191,0.012509
0.077642,0.010821
0.079093,0.006199
0.080545,0.004207
0.081996,0.003404
0.083447,0.005950
0.084898,0.011845
0.086350,0.009963
0.087801,0.008718
0.089252,0.008552
0.090703,0.008524
0.092155,0.008358
0.093606,0.008468
0.095057,0.006448
0.096508,0.014253
0.097960,0.016383
0.099411,0.008358
0.100862,0.009797
0.102313,0.012647
0.103765,0.007029
0.105216,0.008164
0.106667,0.007860
0.108118,0.007195
0.109570,0.006642
0.111021,0.010682
0.112472,0.018763
0.113923,0.013727
0.115375,0.011374
0.116826,0.009188
0.118277,0.009492
0.119728,0.012177
0.121180,0.013810
0.122631,0.011513
0.124082,0.008524
0.125534,0.011291
0.126985,0.009686
0.128436,0.006946
0.129887,0.003736
0.131339,0.006697
0.132790,0.012454
0.134241,0.010959
0.135692,0.010516
0.137144,0.012509
0.138595,0.012481
0.140046,0.008441
0.141497,0.007029
0.142949,0.007555
0.144400,0.007168
0.145851,0.005895
0.147302,0.006088
0.148754,0.007943
0.150205,0.009991
0.151656,0.008524
0.153107,0.005064
0.154559,0.008939
0.156010,0.009880
0.157461,0.011568
0.158912,0.008690
0.160364,0.005978
0.161815,0.005175
0.163266,0.007029
0.164717,0.004345
0.166169,0.005037
0.167620,0.009382
0.169071,0.010129
0.170522,0.009825
0.171974,0.008884
0.173425,0.009742
0.174876,0.009603
0.176327,0.006891
0.177779,0.004290
0.179230,0.008745
0.180681,0.008911
0.182132,0.010904
0.183584,0.008773
0.185035,0.007721
0.186486,0.009742
0.187937,0.007029
0.189389,0.005673
0.190840,0.007251
0.192291,0.006005
0.193742,0.012730
0.195194,0.011513
0.196645,0.005175
0.198096,0.007085
0.199547,0.008635
0.200999,0.005535
0.202450,0.004566
0.203901,0.009050
0.205353,0.008662
0.206804,0.007472
0.208255,0.006171
0.209706,0.010516
0.211158,0.005812
0.212609,0.005507
0.214060,0.004594
0.215511,0.007777
0.216963,0.008468
0.218414,0.011402
0.219865,0.007057
0.221316,0.006725
0.222768,0.007195
0.224219,0.004262
0.225670,0.003570
0.227121,0.005480
0.228573,0.008053
0.230024,0.012371
0.231475,0.010433
0.232926,0.009050
0.234378,0.007666
0.235829,0.005314
0.237280,0.002352
0.238731,0.004207
0.240183,0.007721
0.241634,0.007417
0.243085,0.003598
0.244536,0.004843
0.245988,0.008939
0.247439,0.006808
0.248890,0.004898
0.250341,0.005729
0.251793,0.009382
0.253244,0.009050
0.254695,0.007445
0.256146,0.006282
0.257598,0.006061
0.259049,0.005148
0.260500,0.005009
0.261951,0.002878
0.263403,0.005369
0.264854,0.002657
0.266305,0.004290
0.267756,0.004262
0.269208,0.004815
0.270659,0.007085
0.272110,0.005535
0.273561,0.005867
0.275013,0.006836
0.276464,0.007445
0.277915,0.005701
0.279366,0.004151
0.280818,0.005867
0.282269,0.006144
0.283720,0.005120
0.285172,0.003404
0.286623,0.004788
0.288074,0.006863
0.289525,0.006199
0.290977,0.007943
0.292428,0.005452
0.293879,0.004400
0.295330,0.004096
0.296782,0.007223
0.298233,0.004511
0.299684,0.005895
0.301135,0.005009
0.302587,0.009271
0.304038,0.006282
0.305489,0.004815
0.306940,0.006061
0.308392,0.005590
0.309843,0.003210
0.311294,0.004760
0.312745,0.003487
0.314197,0.005148
0.315648,0.006780
0.317099,0.004843
0.318550,0.005867
0.320002,0.006254
0.321453,0.004649
0.322904,0.004179
0.324355,0.005590
0.325807,0.005922
0.327258,0.008385
0.328709,0.007140
0.330160,0.005120
0.331612,0.003625
0.333063,0.005369
0.334514,0.002657
0.335965,0.004262
0.337417,0.004290
0.338868,0.005258
0.340319,0.006282
0.341770,0.005480
0.343222,0.004566
0.344673,0.004594
0.346124,0.004234
0.347575,0.007583
0.349027,0.005092
0.350478,0.004179
0.351929,0.006504
0.353380,0.006642
0.354832,0.006504
0.356283,0.004926
0.357734,0.004207
0.359185,0.002851
0.360637,0.003459
0.362088,0.003625
0.363539,0.007998
0.364991,0.005286
0.366442,0.005978
0.367893,0.003625
0.369344,0.003764
0.370796,0.004981
0.372247,0.006448
0.373698,0.004400
0.375149,0.005535
0.376601,0.004262
0.378052,0.005424
0.379503,0.004788
0.380954,0.004400
0.382406,0.002740
0.383857,0.005092
0.385308,0.005673
0.386759,0.005452
0.388211,0.006891
0.389662,0.005341
0.391113,0.006005
0.392564,0.005092
0.394016,0.003985
0.395467,0.005092
0.396918,0.004732
0.398369,0.003791
0.399821,0.006005
0.401272,0.001799
0.402723,0.004262
0.404174,0.006144
0.405626,0.005701
0.407077,0.004373
0.408528,0.005341
0.409979,0.002961
0.411431,0.004428
0.412882,0.003432
0.414333,0.005203
0.415784,0.005507
0.417236,0.004815
0.418687,0.005812
0.420138,0.004649
0.421589,0.005646
0.423041,0.005175
0.424492,0.006587
0.425943,0.003902
0.427394,0.004705
0.428846,0.004262
0.430297,0.005286
0.431748,0.005369
0.433199,0.002408
0.434651,0.002878
0.436102,0.007223
0.437553,0.004981
0.439004,0.004843
0.440456,0.003985
0.441907,0.005286
0.443358,0.004373
0.444810,0.005646
0.446261,0.003681
0.447712,0.003930
0.449163,0.004732
0.450615,0.003515
0.452066,0.004898
0.453517,0.004345
0.454968,0.006144
0.456420,0.003210
0.457871,0.002684
0.459322,0.004151
0.460773,0.006891
0.462225,0.006005
0.463676,0.007638
0.465127,0.004400
0.466578,0.004400
0.468030,0.003902
0.469481,0.003321
0.470932,0.002934
0.472383,0.003349
0.473835,0.004373
0.475286,0.004290
0.476737,0.003570
0.478188,0.003404
0.479640,0.003930
0.481091,0.004124
0.482542,0.001799
0.483993,0.001910
0.485445,0.003459
0.486896,0.005507
0.488347,0.004511
0.489798,0.005203
0.491250,0.006310
0.492701,0.003321
0.494152,0.003238
0.495603,0.002574
0.497055,0.004649
0.498506,0.004041
0.499957,0.005673
0.501408,0.004179
0.502860,0.003764
0.504311,0.002712
0.505762,0.002601
0.507213,0.002242
0.508665,0.002546
0.510116,0.002546
0.511567,0.004815
0.513018,0.003044
0.514470,0.004705
0.515921,0.003487
0.517372,0.004345
0.518823,0.002186
0.520275,0.002574
0.521726,0.003957
0.523177,0.004345
0.524629,0.004871
0.526080,0.003985
0.527531,0.003819
0.528982,0.003487
0.530434,0.004428
0.531885,0.003321
0.533336,0.006282
0.534787,0.004871
0.536239,0.005424
0.537690,0.005120
0.539141,0.003127
0.540592,0.002684
0.542044,0.003183
0.543495,0.002934
0.544946,0.003266
0.546397,0.003155
0.547849,0.002076
0.549300,0.003072
0.550751,0.005397
0.552202,0.003321
