start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
7.360726,7.453605,221.9154,57,A3,0.4175
8.568163,8.893243,87.3071,41,F2,0.4369
12.353016,12.445896,145.1459,50,D3,0.4053
12.956735,13.165714,251.2581,59,B3,0.5077
17.693605,17.856145,331.5371,64,E4,0.4115
17.856145,18.227664,320.2437,63,D#4,0.6954
18.274104,18.366984,161.9824,52,E3,0.4369
22.035737,22.198277,311.1270,63,D#4,0.4392
22.848435,23.266395,304.0208,63,D#4,0.6338
23.591474,23.916553,304.0208,63,D#4,0.4065
26.633288,26.842268,322.0989,64,E4,0.4481
29.001723,29.141043,380.8361,66,F#4,0.9155
33.250975,33.390295,293.6648,62,D4,0.5160
38.754104,38.846984,323.9648,64,E4,0.3396
38.916644,39.148844,320.2437,63,D#4,0.6989
39.404263,39.636463,166.7288,52,E3,0.3570
40.565261,40.936780,110.0000,45,A2,0.5965
172.431383,172.617143,770.5224,79,G5,0.6340
