time,peak
0.000726,0.001963
0.002177,0.000449
0.003628,0.000544
0.005079,0.000662
0.006531,0.000615
0.007982,0.000781
0.009433,0.000544
0.010884,0.000875
0.012336,0.000710
0.013787,0.000757
0.015238,0.001254
0.016689,0.001396
0.018141,0.000520
0.019592,0.000686
0.021043,0.001017
0.022494,0.000710
0.023946,0.002058
0.025397,0.001017
0.026848,0.001254
0.028299,0.001419
0.029751,0.002531
0.031202,0.001348
0.032653,0.000733
0.034104,0.000923
0.035556,0.001301
0.037007,0.001656
0.038458,0.001159
0.039909,0.000781
0.041361,0.001348
0.042812,0.001419
0.044263,0.001017
0.045715,0.000686
0.047166,0.001751
0.048617,0.001277
0.050068,0.000899
0.051520,0.001041
0.052971,0.000970
0.054422,0.001940
0.055873,0.001206
0.057325,0.001183
0.058776,0.000686
0.060227,0.000994
0.061678,0.001135
0.063130,0.000875
0.064581,0.000662
0.066032,0.002058
0.067483,0.001325
0.068935,0.000591
0.070386,0.001206
0.071837,0.000852
0.073288,0.001301
0.074740,0.001135
0.076191,0.000733
0.077642,0.000923
0.079093,0.001041
0.080545,0.000733
0.081996,0.000710
0.083447,0.000615
0.084898,0.001065
0.086350,0.000662
0.087801,0.000473
0.089252,0.000852
0.090703,0.000923
0.092155,0.000970
0.093606,0.000497
0.095057,0.000402
0.096508,0.000875
0.097960,0.000591
0.099411,0.000497
0.100862,0.000355
0.102313,0.000781
0.103765,0.001017
0.105216,0.000355
0.106667,0.000544
0.108118,0.000828
0.109570,0.001159
0.111021,0.000426
0.112472,0.000686
0.113923,0.000662
0.115375,0.000639
0.116826,0.001372
0.118277,0.000520
0.119728,0.000591
0.121180,0.000899
0.122631,0.000544
0.124082,0.000402
0.125534,0.000591
0.126985,0.000615
0.128436,0.000875
0.129887,0.000757
0.131339,0.000875
0.132790,0.001277
0.134241,0.001159
0.135692,0.000733
0.137144,0.000544
0.138595,0.001206
0.140046,0.001372
0.141497,0.000923
0.142949,0.000994
0.144400,0.000828
0.145851,0.001514
0.147302,0.001041
0.148754,0.000946
0.150205,0.000970
0.151656,0.001419
0.153107,0.000662
0.154559,0.000923
0.156010,0.001112
0.157461,0.001183
0.158912,0.000875
0.160364,0.000733
0.161815,0.001065
0.163266,0.001372
0.164717,0.001088
0.166169,0.000497
0.167620,0.000568
0.169071,0.000781
