time,peak
0.000726,0.116776
0.002177,0.059287
0.003628,0.055961
0.005079,0.072621
0.006531,0.078254
0.007982,0.078938
0.009433,0.066208
0.010884,0.110697
0.012336,0.098795
0.013787,0.108358
0.015238,0.134183
0.016689,0.137588
0.018141,0.091062
0.019592,0.040734
0.021043,0.063297
0.022494,0.087785
0.023946,0.081754
0.025397,0.066956
0.026848,0.064792
0.028299,0.196366
0.029751,0.535459
0.031202,0.407291
0.032653,0.355164
0.034104,0.205292
0.035556,0.197464
0.037007,0.320143
0.038458,0.386478
0.039909,0.126593
0.041361,0.484064
0.042812,0.496587
0.044263,0.331265
0.045715,0.198959
0.047166,0.199246
0.048617,0.279075
0.050068,0.357058
0.051520,0.310070
0.052971,0.091842
0.054422,0.439560
0.055873,0.328369
0.057325,0.197496
0.058776,0.192658
0.060227,0.249463
0.061678,0.317597
0.063130,0.341910
0.064581,0.075501
0.066032,0.421420
0.067483,0.353843
0.068935,0.313714
0.070386,0.204338
0.071837,0.186787
0.073288,0.257546
0.074740,0.325966
0.076191,0.202937
0.077642,0.332999
0.079093,0.413719
0.080545,0.304883
0.081996,0.215889
0.083447,0.216685
0.084898,0.254730
0.086350,0.316960
0.087801,0.313476
0.089252,0.057855
0.090703,0.404522
0.092155,0.300603
0.093606,0.249081
0.095057,0.224514
0.096508,0.183159
0.097960,0.249797
0.099411,0.311630
0.100862,0.111700
0.102313,0.396153
0.103765,0.383455
0.105216,0.297532
0.106667,0.229812
0.108118,0.219676
0.109570,0.243783
0.111021,0.307095
0.112472,0.261779
0.113923,0.238977
0.115375,0.388722
0.116826,0.293697
0.118277,0.229462
0.119728,0.236081
0.121180,0.239025
0.122631,0.289354
0.124082,0.300714
0.125534,0.040543
0.126985,0.382850
0.128436,0.289274
0.129887,0.279711
0.131339,0.243496
0.132790,0.190049
0.134241,0.235206
0.135692,0.293236
0.137144,0.180295
0.138595,0.376263
0.140046,0.377918
0.141497,0.283546
0.142949,0.250052
0.144400,0.245549
0.145851,0.230671
0.147302,0.285662
0.148754,0.279154
0.150205,0.158973
0.151656,0.372556
0.153107,0.278804
0.154559,0.235922
0.156010,0.254921
0.157461,0.217974
0.158912,0.226518
0.160364,0.278199
0.161815,0.098557
0.163266,0.367559
0.164717,0.288033
0.166169,0.274317
0.167620,0.257626
0.169071,0.204162
0.170522,0.220790
0.171974,0.271867
0.173425,0.223527
0.174876,0.341050
0.176327,0.362881
0.177779,0.276306
0.179230,0.258517
0.180681,0.257689
0.182132,0.216399
0.183584,0.262192
0.185035,0.265693
0.186486,0.093067
0.187937,0.357996
0.189389,0.278804
