index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster
0,0.104490,1.000000,0.005709,5430.015,11960.333,5632.259,0.162665,,0.0000,-576.853210,47.768482,-57.660374,-26.921293,11.758584,1.499266,-5.999168,13.775534,19.732718,10.470489,-3.311012,4.692155,14.507758,unpitched,mid,soft,long,4
1,1.149388,0.998458,0.005085,5607.772,12714.738,5746.682,0.139519,,0.0000,-575.807983,53.745476,-55.965843,-38.826019,8.161181,7.202473,-7.831680,7.060946,17.481798,18.642332,8.507033,11.564001,12.897681,unpitched,mid,soft,long,4
2,2.147846,1.000000,0.004945,5759.378,12785.277,5799.866,0.183470,,0.0000,-595.286743,39.654789,-57.533382,-33.013615,14.184886,13.316388,-2.973883,12.374163,15.710913,4.341915,-4.131059,11.401638,14.660766,unpitched,bright,soft,long,4
3,3.215964,0.557279,0.008970,4509.714,9313.770,5006.362,0.106924,,0.0000,-519.060730,76.927841,-61.858025,-38.465057,8.515731,9.498974,-3.191406,2.623946,2.110831,11.165740,3.721643,8.024858,7.662275,unpitched,mid,soft,long,4
4,3.773243,0.487619,0.002635,7281.310,15449.322,6185.469,0.235261,,0.0000,-590.284729,34.818699,-38.165195,-43.129757,-2.406092,15.204756,-7.556356,6.175799,9.587817,13.922274,10.332862,10.990643,5.307927,unpitched,bright,soft,long,4
5,4.260862,0.801088,0.008513,5759.469,11821.113,5401.336,0.176109,,0.0000,-534.113037,49.877323,-56.127712,-43.669178,2.447526,13.266213,-9.456768,11.684197,9.739088,7.976562,3.761931,13.882385,14.397676,unpitched,bright,soft,long,4
6,5.061950,0.220590,0.005748,7431.064,14756.704,6009.952,0.106763,,0.0000,-549.566284,29.914921,-1.506210,0.711814,-2.051530,6.418450,-13.543535,13.927419,6.666412,13.605408,7.471793,15.350935,16.706385,unpitched,bright,soft,medium,4
7,5.282540,0.417959,0.010701,4842.780,11189.490,5301.631,0.090847,,0.0000,-527.968323,60.685730,-65.247406,-28.898842,12.862849,6.086384,-7.670312,15.097931,16.149076,19.126896,14.955471,14.413295,8.858007,unpitched,mid,soft,long,4
8,5.700499,0.638549,0.002462,8237.380,16272.949,6283.194,0.265773,,0.0000,-605.971375,21.460367,-31.035000,-30.132612,-0.208113,7.766433,-15.974404,8.479177,10.080770,13.971208,10.557604,11.692821,8.354481,unpitched,bright,soft,long,4
9,6.339048,0.267029,0.016406,5362.857,11897.095,5451.802,0.120504,,0.0000,-502.051544,46.671650,-63.451168,-43.656601,11.111796,19.027372,-7.282397,19.036135,21.549751,20.947433,1.513408,4.773096,6.599008,unpitched,mid,soft,medium,4
10,6.606077,0.371519,0.000982,5158.169,11272.958,5389.629,0.194750,,0.0000,-591.641418,53.712502,-75.686577,-60.868149,1.641673,7.513588,-11.772176,9.199916,19.978773,15.947536,-0.193870,1.049550,5.445194,unpitched,mid,soft,long,4
11,6.977596,0.371519,0.004494,7094.175,14722.186,6086.423,0.097242,,0.0000,-587.453064,24.541353,-5.827012,13.076440,11.939887,15.421796,-0.693899,19.478365,13.929958,22.634138,10.648094,10.759058,8.235788,unpitched,bright,soft,long,4
12,7.349116,0.301859,0.014496,4249.133,8366.048,4682.922,0.076859,,0.0000,-478.127777,81.783287,-61.071777,-29.109871,4.860394,15.051715,-4.598714,3.604213,3.040728,19.748402,13.765494,10.117867,7.190935,unpitched,mid,soft,long,4
13,7.650975,0.476009,0.002895,6128.006,13154.224,5602.379,0.188023,,0.0000,-558.854675,48.795490,-47.809486,-42.322216,-1.412083,14.576994,-15.514965,3.183086,3.617651,18.144236,15.459170,10.960846,3.780559,unpitched,bright,soft,long,4
14,8.126984,0.255420,0.011157,9343.139,15217.421,5288.019,0.321650,,0.0000,-512.834412,-3.505085,-7.497940,4.089446,-0.944289,33.526764,-13.337778,8.922854,-1.109657,11.686744,11.024927,2.756906,3.107068,unpitched,bright,soft,medium,4
15,8.382404,0.290249,0.015575,4580.619,9670.131,5002.586,0.105996,,0.0000,-491.358521,73.924240,-58.287769,-37.694443,-8.044730,8.775008,-6.069977,15.067188,20.555899,14.483735,3.977862,9.028488,7.720926,unpitched,mid,soft,long,4
16,8.672653,0.267029,0.006323,6420.680,12837.378,5398.098,0.240804,,0.0000,-525.632507,41.498161,-45.893799,-26.331217,-22.818436,8.935193,-4.930184,13.212722,16.886040,14.623089,-1.349742,6.296448,6.325153,unpitched,bright,soft,medium,4
17,8.939683,0.464399,0.003248,7243.675,14579.554,6020.013,0.157560,,0.0000,-583.780762,39.032459,-7.492926,-8.022018,-4.005329,7.804271,-10.412796,15.162123,15.314479,19.425106,8.925693,10.553709,11.905032,unpitched,bright,soft,long,4
18,9.404082,0.301859,0.019165,6005.070,11723.633,5074.503,0.110695,,0.0000,-457.540680,53.339973,-36.835556,-14.420115,1.552101,13.956429,-6.834881,21.395493,17.647142,23.419149,7.309902,3.377325,3.038002,unpitched,bright,medium,long,4
19,9.705941,0.510839,0.004141,6287.045,13218.994,5657.288,0.173470,,0.0000,-550.973511,45.541580,-45.872845,-24.994110,-15.367863,6.581951,-8.019443,11.194958,18.212547,17.735092,13.925974,6.258470,4.125444,unpitched,bright,soft,long,4
20,10.216780,0.243810,0.009199,9278.056,16166.542,5662.948,0.341775,,0.0000,-570.543823,-8.646424,-16.623688,3.599164,0.302338,22.271616,-5.721940,8.301263,7.592106,13.585753,11.132012,6.068875,3.137438,unpitched,bright,soft,medium,4
21,10.460590,0.290249,0.016131,3862.554,7269.941,4313.704,0.096661,,0.0000,-463.728180,86.136948,-78.082565,-44.813347,1.656818,17.078978,-2.097253,7.471682,2.302887,6.330164,5.099024,2.051620,2.982074,unpitched,mid,soft,long,4
22,10.750839,0.754649,0.004618,5996.647,12763.969,5534.208,0.161540,,0.0000,-530.629089,49.070282,-42.807171,-35.224087,-6.210316,19.881350,-4.617474,12.490885,8.450041,14.140869,8.262034,8.046919,6.996821,unpitched,bright,soft,long,4
23,11.505488,0.267029,0.017379,3959.924,7395.758,4238.206,0.099426,,0.0000,-388.440155,103.314140,-57.863098,-46.706898,-15.458302,9.352153,-21.460238,10.993073,-5.504514,18.598724,12.866127,1.827024,-3.647597,unpitched,mid,soft,medium,4
24,11.772517,0.487619,0.011863,4715.437,8452.033,4310.245,0.129519,,0.0000,-436.125397,82.320808,-50.091473,-42.169525,-26.635717,12.296104,-14.695292,1.042508,2.833462,11.706192,11.813727,-2.039169,-3.358998,unpitched,mid,soft,long,2
25,12.260136,0.278639,0.015862,5434.119,11275.646,5311.478,0.165059,,0.0000,-484.530273,64.548714,-36.359222,-29.335154,-17.126789,13.099232,-2.354189,8.186773,7.802361,13.669537,13.497422,-3.394998,-2.658313,unpitched,mid,soft,long,4
26,12.538776,0.278639,0.014556,5252.410,11283.398,5120.187,0.143730,,0.0000,-515.203613,57.760143,-58.336903,-33.641895,-4.292409,21.171951,-1.089151,0.734018,1.442791,22.867807,20.018005,5.377210,-2.413782,unpitched,mid,soft,long,4
27,12.817415,0.731429,0.005229,6579.344,13419.223,5502.936,0.158119,,0.0000,-585.773560,17.610384,-34.542870,-8.864429,-1.715596,30.043404,-0.283601,10.726663,6.233052,24.664074,12.547206,11.145185,-1.787527,unpitched,bright,soft,long,4
28,13.548844,0.290249,0.014308,4130.046,8841.036,4601.642,0.060284,,0.0000,-510.097534,67.628052,-69.826729,-22.088915,12.355785,25.821453,0.357876,16.769709,15.900352,22.770281,13.385478,12.314448,5.708215,unpitched,mid,soft,long,4
29,13.839093,0.267029,0.006642,6464.716,12680.365,5205.371,0.118795,,0.0000,-556.408508,22.479269,-57.579742,-16.634680,1.642342,39.323544,-9.887932,21.834396,14.613338,19.461496,11.881504,10.913075,6.336156,unpitched,bright,soft,medium,4
