time,peak
0.043882,0.000168
0.131646,0.641659
0.219409,0.010724
0.307173,0.009212
0.394937,0.010862
0.482700,0.009869
0.570464,0.009624
0.658228,0.008417
0.745991,0.006477
0.833755,0.089933
0.921519,0.052017
1.009282,0.049221
1.097046,0.040055
1.184810,0.617629
1.272573,0.037825
1.360337,0.030018
1.448101,0.020287
1.535864,0.018576
1.623628,0.015872
1.711392,0.014345
1.799155,0.011412
1.886919,0.010037
1.974683,0.008662
2.062446,0.006722
2.150210,0.005805
2.237974,0.718225
2.325737,0.009090
2.413501,0.011962
2.501265,0.009914
2.589028,0.009716
2.676792,0.008876
2.764556,0.005377
2.852319,0.092270
2.940083,0.056676
3.027847,0.050046
3.115610,0.041858
3.203374,0.036572
3.291138,0.703391
3.378901,0.030736
3.466665,0.025940
3.554429,0.024748
3.642192,0.020211
3.729956,0.017232
3.817720,0.185839
3.905483,0.011014
3.993247,0.010113
4.081011,0.010189
4.168774,0.009533
4.256538,0.019722
4.344302,0.628766
4.432065,0.196257
4.519829,0.011625
4.607593,0.010724
4.695356,0.010220
4.783120,0.008555
4.870884,0.005881
4.958647,0.092958
5.046411,0.213550
5.134175,0.048549
5.221938,0.040926
5.309702,0.652643
5.397466,0.035930
5.485229,0.024947
5.572993,0.022441
5.660757,0.020944
5.748521,0.186297
5.836284,0.014406
5.924048,0.011748
6.011812,0.010021
6.099575,0.008433
6.187339,0.007180
6.275103,0.006462
6.362866,0.647510
6.450630,0.009212
6.538394,0.011946
6.626157,0.010755
6.713921,0.010464
6.801685,0.009059
6.889448,0.006233
6.977212,0.226413
7.064976,0.076505
7.152739,0.049374
7.240503,0.046196
7.328267,0.038191
7.416030,0.578934
7.503794,0.029255
7.591558,0.028231
7.679321,0.196884
7.767085,0.020837
7.854849,0.017919
7.942612,0.014161
8.030376,0.012695
8.118140,0.009960
8.205903,0.586190
8.293667,0.230247
8.381431,0.005805
8.469194,0.531958
8.556958,0.011167
8.644722,0.563749
8.732485,0.014314
8.820249,0.006767
8.908013,0.218210
8.995776,0.170379
9.083540,0.095386
9.171304,0.055362
9.259067,0.051772
9.346831,0.041094
9.434595,0.594852
9.522358,0.038145
9.610122,0.203926
9.697886,0.481317
9.785649,0.018530
9.873413,0.018439
9.961177,0.013336
10.048940,0.014207
10.136704,0.012405
10.224468,0.566132
10.312231,0.007531
10.399995,0.006141
10.487759,0.525466
10.575522,0.019646
10.663286,0.021143
10.751050,0.554216
10.838813,0.011198
10.926577,0.204598
11.014341,0.009869
11.102104,0.092530
11.189868,0.059212
11.277632,0.054675
11.365396,0.048213
11.453159,0.041659
11.540923,0.616957
11.628687,0.054583
11.716450,0.067476
11.804214,0.505225
11.891978,0.039398
11.979741,0.042270
12.067505,0.037473
12.155269,0.172075
12.243032,0.017064
12.330796,0.452612
12.418560,0.010785
12.506323,0.010205
12.594087,0.588176
12.681851,0.008815
12.769614,0.010357
12.857378,0.582829
12.945142,0.004751
13.032905,0.005775
13.120669,0.005041
13.208433,0.090574
13.296196,0.057012
13.383960,0.049649
13.471724,0.257791
13.559487,0.684143
13.647251,0.152169
13.735015,0.027131
13.822778,0.558784
13.910542,0.020089
13.998306,0.017232
14.086069,0.183624
14.173833,0.067705
14.261597,0.010694
14.349360,0.531775
14.437124,0.010419
14.524888,0.007272
14.612651,0.622594
14.700415,0.023495
14.788179,0.188604
14.875942,0.568515
14.963706,0.006523
15.051470,0.006538
15.139233,0.007577
15.226997,0.006599
15.314761,0.093248
15.402524,0.237366
15.490288,0.047418
15.578052,0.039154
15.665815,0.635304
15.753579,0.036450
15.841343,0.031256
15.929106,0.507363
16.016870,0.233929
16.104634,0.167156
16.192397,0.973602
16.280161,0.628613
16.367925,0.221586
16.455688,0.535808
16.543452,0.110694
16.631216,0.092010
16.718979,0.590574
16.806743,0.068637
16.894507,0.057409
16.982271,0.547311
17.070034,0.042133
17.157798,0.032478
17.245562,0.028888
17.333325,0.225053
17.421089,0.071402
17.508853,0.958417
17.596616,0.372334
17.684380,0.098213
17.772144,0.652475
17.859907,0.032676
17.947671,0.028628
18.035435,0.521632
18.123198,0.018439
18.210962,0.464360
18.298726,0.935686
18.386489,0.261091
18.474253,0.501833
18.562017,0.038191
18.649780,0.211855
18.737544,0.625069
18.825308,0.028949
18.913071,0.010846
19.000835,0.432463
19.088599,0.006767
19.176362,0.004980
19.264126,0.210021
19.351890,0.007959
19.439653,0.089322
19.527417,0.871036
19.615181,0.955041
19.702944,0.182982
19.790708,0.631699
19.878472,0.037412
19.966235,0.215475
20.053999,0.547311
20.141763,0.018087
20.229526,0.015246
20.317290,0.999878
20.405054,0.997510
20.492817,0.283013
20.580581,0.570990
20.668345,0.114299
20.756108,0.094027
20.843872,0.606233
20.931636,0.069233
21.019399,0.060144
21.107163,0.458372
21.194927,0.212007
21.282690,0.070073
21.370454,0.029698
21.458218,0.093935
21.545981,0.078170
21.633745,0.953178
21.721509,0.542560
21.809272,0.118042
21.897036,0.656538
21.984800,0.040987
22.072563,0.029728
22.160327,0.539215
22.248091,0.020073
22.335854,0.022548
22.423618,0.999924
22.511382,0.424427
22.599146,0.192071
22.686909,0.451299
22.774673,0.102994
22.862437,0.477696
22.950200,0.649756
23.037964,0.057623
23.125728,0.544623
23.213491,0.154079
23.301255,0.035060
23.389019,0.030141
23.476782,0.025176
23.564546,0.078200
23.652310,0.610846
23.740073,0.967736
23.827837,0.289047
23.915601,0.634830
24.003364,0.054384
24.091128,0.029850
24.178892,0.582432
24.266655,0.019371
24.354419,0.016422
24.442183,0.981225
24.529946,0.999954
24.617710,0.314986
24.705474,0.606523
24.793237,0.116422
24.881001,0.099511
24.968765,0.693294
25.056528,0.069080
25.144292,0.261274
25.232056,0.500458
25.319819,0.041017
25.407583,0.037962
25.495347,0.032325
25.583110,0.077528
25.670874,0.079499
25.758638,0.968866
25.846401,0.762756
25.934165,0.154720
26.021929,0.532065
26.109692,0.037336
26.197456,0.031286
26.285220,0.434143
26.372983,0.230981
26.460747,0.017797
26.548511,0.934357
26.636274,0.446868
26.724038,0.082554
26.811802,0.497403
26.899565,0.010388
26.987329,0.007547
27.075093,0.567660
27.162856,0.020455
27.250620,0.009792
27.338384,0.513947
27.426147,0.007027
27.513911,0.008020
27.601675,0.006248
27.689438,0.227391
27.777202,0.437198
27.864966,0.963718
27.952729,0.296945
28.040493,0.071708
28.128257,0.639887
28.216021,0.028521
28.303784,0.429148
28.391548,0.054262
28.479312,0.017446
28.567075,0.711488
28.654839,0.999236
28.742603,0.333731
28.830366,0.481317
28.918130,0.118790
29.005894,0.228766
29.093657,0.574183
29.181421,0.073098
29.269185,0.060052
29.356948,0.519951
29.444712,0.045585
29.532476,0.038237
29.620239,0.171693
