start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
26.563628,29.744762,70.5069,37,C#2,0.5972
29.837642,33.041995,79.1413,39,D#2,0.6522
33.134875,36.339229,70.5069,37,C#2,0.5932
36.432109,39.613243,88.8332,41,F2,0.7056
39.729342,42.910476,70.5069,37,C#2,0.6017
43.026576,46.184490,79.1413,39,D#2,0.6495
46.300590,49.481723,70.5069,37,C#2,0.5961
49.597823,52.778957,79.1413,39,D#2,0.6546
52.895057,56.076190,88.8332,41,F2,0.7128
56.169070,59.350204,70.5069,37,C#2,0.5909
59.466304,62.670658,79.1413,39,D#2,0.6528
62.763537,65.921451,70.5069,37,C#2,0.5983
66.060771,69.241905,79.1413,39,D#2,0.6587
69.334785,72.515918,88.8332,41,F2,0.7099
72.632018,75.836372,70.5069,37,C#2,0.5678
75.929252,78.204807,79.1413,39,D#2,0.5848
78.274467,78.576327,79.1413,39,D#2,0.4990
78.715646,78.831746,79.5998,39,D#2,0.3355
78.924626,79.087166,79.1413,39,D#2,0.4939
79.226485,81.037642,70.5069,37,C#2,0.4729
82.523719,82.848798,79.1413,39,D#2,0.5131
83.127438,83.313197,79.1413,39,D#2,0.4547
83.406077,83.591837,79.1413,39,D#2,0.3808
85.844172,86.563991,88.8332,41,F2,0.3988
87.051610,87.399909,88.8332,41,F2,0.3408
87.446349,87.817868,44.4166,29,F1,0.3754
88.421587,88.978866,44.1608,29,F1,0.3643
89.303946,89.420045,70.7111,37,C#2,0.3599
93.715737,93.831837,39.3428,27,D#1,0.3233
93.924717,94.087256,39.5707,27,D#1,0.3233
95.155374,95.317914,39.3428,27,D#1,0.3429
100.263764,100.356644,39.3428,27,D#1,0.3355
102.283900,102.469660,44.2887,29,F1,0.4016
103.166259,103.282358,44.1608,29,F1,0.3839
103.421678,103.677098,44.1608,29,F1,0.3735
104.443356,104.698776,44.1608,29,F1,0.3415
104.814875,105.070295,43.9064,29,F1,0.3233
105.186395,105.325714,44.1608,29,F1,0.3233
117.028571,117.191111,39.3428,27,D#1,0.3405
118.491429,118.584308,38.8909,27,D#1,0.3233
119.234467,119.513107,44.1608,29,F1,0.3796
119.582766,119.791746,44.4166,29,F1,0.3679
120.047166,120.163265,44.4166,29,F1,0.3233
120.256145,120.349025,44.4166,29,F1,0.3355
120.465125,121.022404,44.1608,29,F1,0.3556
121.672562,121.904762,44.1608,29,F1,0.3957
122.090522,122.392381,70.5069,37,C#2,0.4163
125.294875,128.499229,79.1413,39,D#2,0.6559
128.592109,131.006984,70.5069,37,C#2,0.5790
131.076644,131.773243,70.5069,37,C#2,0.5780
131.889342,135.093696,79.1413,39,D#2,0.6573
135.163356,138.367710,70.5069,37,C#2,0.5893
138.460590,141.664943,79.1413,39,D#2,0.6534
141.757823,144.938957,70.5069,37,C#2,0.5888
145.055057,148.259410,79.1413,39,D#2,0.6602
171.386485,172.988662,88.8332,41,F2,0.5565
173.592381,173.778141,44.1608,29,F1,0.3443
174.381859,174.521179,44.1608,29,F1,0.3734
178.097052,178.282812,79.1413,39,D#2,0.5115
178.352472,178.816871,79.1413,39,D#2,0.4844
178.909751,179.165170,79.1413,39,D#2,0.3820
179.304490,179.397370,79.1427,39,D#2,0.3233
184.575420,184.900499,79.1413,39,D#2,0.4523
184.970159,185.318458,79.1413,39,D#2,0.4698
185.527438,185.689977,78.9134,39,D#2,0.3665
185.759637,186.107937,79.3706,39,D#2,0.4247
187.895873,188.174512,44.4166,29,F1,0.3788
188.360272,188.615692,44.1608,29,F1,0.3526
188.731791,188.987211,44.2887,29,F1,0.3484
189.358730,189.637370,44.1608,29,F1,0.3649
190.148209,190.241088,43.9064,29,F1,0.3796
190.380408,190.496508,43.9064,29,F1,0.3233
195.303039,195.419138,39.3428,27,D#1,0.3429
204.800000,205.055420,44.4166,29,F1,0.4011
205.403719,205.775238,44.1608,29,F1,0.4065
206.239637,206.587937,43.9064,29,F1,0.3634
207.029116,207.470295,43.9064,29,F1,0.3559
211.951746,212.067846,39.3428,27,D#1,0.3233
219.382132,219.498231,39.1162,27,D#1,0.3429
220.752109,221.077188,44.1608,29,F1,0.3608
221.448707,221.797007,44.1608,29,F1,0.3706
222.261406,222.632925,43.9064,29,F1,0.3761
223.050884,223.422404,43.9064,29,F1,0.3551
228.252154,228.345034,39.3428,27,D#1,0.3355
233.917823,236.518458,79.1413,39,D#2,0.5419
236.866757,237.098957,79.1413,39,D#2,0.3233
240.535510,240.837370,44.1608,29,F1,0.3948
241.371429,241.673288,44.1608,29,F1,0.3692
242.160907,242.532426,43.9064,29,F1,0.3771
243.043265,243.298685,43.9064,29,F1,0.3633
254.769342,254.862222,39.3428,27,D#1,0.3233
256.998458,257.300317,44.1608,29,F1,0.3974
257.834376,258.113016,44.1608,29,F1,0.3820
258.461315,258.879274,43.9064,29,F1,0.3678
259.552653,259.691973,43.9064,29,F1,0.3837
