index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
0,0.127710,1.000000,0.095031,2103.250,3578.967,3756.003,0.027445,,0.0000,-193.142578,165.809280,14.954695,11.736108,-9.815672,15.645717,-7.071472,6.427338,-4.210317,8.805165,-6.978001,5.612015,-11.011259,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
1,1.637007,1.000000,0.072898,2046.294,3353.487,3490.918,0.029516,,0.0000,-211.022949,168.503479,-7.584422,7.244258,-0.749461,14.996641,-3.247214,9.678983,3.783789,13.542508,-5.487834,6.516293,-5.169584,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
2,5.688889,1.000000,0.138159,1617.957,2544.136,3301.914,0.008565,65.406,0.0100,-220.465225,166.650253,-0.835070,4.663139,4.737157,16.188602,-0.393811,7.549589,4.510437,13.068594,-0.606102,10.739669,-0.002437,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
3,7.918005,1.000000,0.092222,1935.157,3186.172,3528.319,0.020811,65.406,0.0100,-210.604752,164.576920,-0.457413,10.620913,5.385224,15.779061,-0.071525,10.350977,5.880888,12.569083,-5.656225,6.479624,-1.429971,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
4,8.951293,1.000000,0.088539,1860.621,2848.571,3405.789,0.024661,,0.0000,-211.630585,172.223404,-0.081177,5.746913,3.720169,17.244421,-3.114987,4.293281,-0.890068,12.558322,-1.380471,9.004486,-4.620491,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
5,10.657959,0.998458,0.137299,1672.906,2501.317,3373.125,0.013762,65.406,0.0100,-200.657578,171.238983,11.945337,10.397292,-0.588335,14.858280,-5.154238,7.258360,3.849735,12.564816,-3.492138,8.434194,-3.542145,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
6,11.656417,0.603719,0.139145,1665.737,2592.110,3215.012,0.012760,,0.0000,-205.064880,171.116531,-5.497221,0.255587,4.682443,17.324528,-2.805611,3.111635,3.355923,16.718609,1.630416,11.893095,2.966782,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
7,12.260136,0.684989,0.143417,1732.906,2737.588,3223.881,0.015592,,0.0000,-187.252304,172.230637,-7.643086,1.181258,4.181406,15.119697,-6.614701,5.426559,6.780359,12.918222,-7.810016,4.774608,0.781296,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
8,12.945125,0.510839,0.135602,1621.623,2330.371,3080.072,0.017437,1223.128,0.0100,-212.385895,173.913834,-12.399346,-14.534800,-6.764227,14.310200,8.794652,17.644491,7.480466,10.870999,0.495720,15.436135,2.970121,unpitched,dark,soft,long,1,0,0,1,1,1,2,2,2
9,13.455964,1.000000,0.114871,1871.295,2631.506,3477.335,0.026232,,0.0000,-180.453705,174.661957,11.489351,4.017284,-6.942194,20.639502,-1.876382,6.728005,-3.512935,8.008273,-4.407060,10.002032,-7.293447,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
10,14.640181,1.000000,0.093298,1877.467,2864.164,3340.543,0.025621,,0.0000,-201.680893,172.676270,-5.681619,6.340840,9.766510,21.372545,-2.419583,3.683460,0.676570,13.253676,-3.921863,5.351062,-5.010359,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
11,16.602268,1.000000,0.114084,1978.282,2978.760,3492.386,0.029808,,0.0000,-170.635239,173.422104,4.832553,4.682720,-6.750810,16.428486,-8.718596,5.041511,-5.850621,7.714931,-8.474585,3.902577,-9.689104,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
12,19.005533,1.000000,0.098315,1877.624,2936.436,3303.874,0.028337,,0.0000,-192.105835,173.494720,-8.341860,1.484626,-1.075564,12.774689,-1.588704,9.281342,2.945145,14.454902,-3.484208,3.903929,-4.906814,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
13,20.584490,0.812698,0.130268,1596.892,2430.826,3251.421,0.011801,532.397,0.0100,-212.206848,173.515839,6.965567,8.101277,3.905107,17.970112,-2.054605,5.442537,1.815387,11.064065,-1.076947,12.303349,-0.034975,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
14,21.397188,0.568889,0.140325,1712.441,2637.387,3186.149,0.015264,570.609,0.0100,-187.834885,173.536057,-9.912073,-0.675345,4.020652,16.673098,-0.782914,5.145857,0.181567,7.262728,-7.826840,7.789701,2.662168,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
15,21.966077,0.893968,0.132622,1562.292,2409.202,3285.756,0.008751,65.406,0.0100,-224.351685,169.164856,8.976968,11.758112,5.999316,15.508987,-2.215724,5.531351,1.730539,11.814174,-1.914856,10.436592,-2.616223,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
16,22.860045,0.325079,0.132746,1581.345,2635.219,2902.778,0.016349,65.406,0.0062,-223.011749,173.509430,-20.901436,1.420706,25.078438,21.749130,-5.240495,2.094035,4.253026,17.095222,0.714985,6.259526,3.152136,unpitched,dark,soft,medium,1,0,0,0,0,2,2,2,2
17,23.185125,0.580499,0.109437,1968.207,2996.071,3456.089,0.027688,,0.0000,-184.631699,169.075150,-0.762523,5.136385,1.004944,17.571747,-3.994481,6.163866,-1.854888,10.319682,-3.234642,4.662429,-4.707815,unpitched,dark,soft,long,1,0,0,0,0,2,2,2,2
