time,division,beat,phase
0.150930,4,0,0
0.150930,8,0,0
0.150930,16,0,0
0.150930,32,0,0
0.200272,32,0,1
0.249615,16,0,1
0.249615,32,0,2
0.298957,32,0,3
0.348299,8,0,1
0.348299,16,0,2
0.348299,32,0,4
0.397642,32,0,5
0.446984,16,0,3
0.446984,32,0,6
0.496327,32,0,7
0.545669,4,1,0
0.545669,8,1,0
0.545669,16,1,0
0.545669,32,1,0
0.595011,32,1,1
0.644354,16,1,1
0.644354,32,1,2
0.693696,32,1,3
0.743039,8,1,1
0.743039,16,1,2
0.743039,32,1,4
0.792381,32,1,5
0.841723,16,1,3
0.841723,32,1,6
0.891066,32,1,7
0.940408,4,2,0
0.940408,8,2,0
0.940408,16,2,0
0.940408,32,2,0
0.988299,32,2,1
1.036190,16,2,1
1.036190,32,2,2
1.084082,32,2,3
1.131973,8,2,1
1.131973,16,2,2
1.131973,32,2,4
1.179864,32,2,5
1.227755,16,2,3
1.227755,32,2,6
1.275646,32,2,7
1.323537,4,3,0
1.323537,8,3,0
1.323537,16,3,0
1.323537,32,3,0
1.372880,32,3,1
1.422222,16,3,1
1.422222,32,3,2
1.471565,32,3,3
1.520907,8,3,1
1.520907,16,3,2
1.520907,32,3,4
1.570249,32,3,5
1.619592,16,3,3
1.619592,32,3,6
1.668934,32,3,7
1.718277,4,4,0
1.718277,8,4,0
1.718277,16,4,0
1.718277,32,4,0
1.767619,32,4,1
1.816961,16,4,1
1.816961,32,4,2
1.866304,32,4,3
1.915646,8,4,1
1.915646,16,4,2
1.915646,32,4,4
1.964989,32,4,5
2.014331,16,4,3
2.014331,32,4,6
2.063673,32,4,7
2.113016,4,5,0
2.113016,8,5,0
2.113016,16,5,0
2.113016,32,5,0
2.163810,32,5,1
2.214603,16,5,1
2.214603,32,5,2
2.265397,32,5,3
2.316190,8,5,1
2.316190,16,5,2
2.316190,32,5,4
2.366984,32,5,5
2.417778,16,5,3
2.417778,32,5,6
2.468571,32,5,7
2.519365,4,6,0
2.519365,8,6,0
2.519365,16,6,0
2.519365,32,6,0
2.568707,32,6,1
2.618050,16,6,1
2.618050,32,6,2
2.667392,32,6,3
2.716735,8,6,1
2.716735,16,6,2
2.716735,32,6,4
2.766077,32,6,5
2.815420,16,6,3
2.815420,32,6,6
2.864762,32,6,7
2.914104,4,7,0
2.914104,8,7,0
2.914104,16,7,0
2.914104,32,7,0
2.966349,32,7,1
