start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
26.679728,26.795828,1070.9631,84,C6,0.5265
27.353107,27.492426,887.6614,81,A5,0.5957
27.585306,27.747846,900.5690,81,A5,0.5578
28.165805,28.258685,555.9710,73,C#5,0.4164
28.537324,28.676644,357.3911,65,F4,0.7148
29.442902,29.605442,900.5690,81,A5,0.4538
29.814422,29.953741,313.8357,63,D#4,0.6063
30.000181,30.162721,302.2698,63,D#4,0.7216
31.416599,31.672018,318.3992,63,D#4,0.7552
32.136417,32.345397,357.3911,65,F4,0.5651
33.111655,33.367075,190.4180,54,F#3,0.6296
33.576054,33.715374,142.6524,50,D3,0.5003
33.831474,34.179773,179.7307,54,F#3,0.5808
34.179773,34.319093,225.1423,57,A3,0.6493
34.737052,34.899592,189.3213,54,F#3,0.6133
35.155011,35.271111,142.6524,50,D3,0.5812
36.083810,36.199909,179.7307,54,F#3,0.5043
36.432109,36.710748,267.7408,60,C4,0.7785
36.733968,37.012608,178.6955,53,F3,0.6486
37.128707,37.593107,179.7307,54,F#3,0.6518
38.011066,38.266485,535.4815,72,C5,0.4798
38.429025,39.032744,178.6955,53,F3,0.5881
39.334603,39.473923,178.6955,53,F3,0.4935
39.682902,39.961542,190.4180,54,F#3,0.5800
40.402721,40.495601,727.2763,78,F#5,0.4650
40.611701,40.890340,905.7860,82,A#5,0.4500
41.749478,41.842358,142.6524,50,D3,0.4004
42.028118,42.283537,179.7307,54,F#3,0.6940
42.980136,43.165896,640.4874,76,E5,0.6257
43.537415,43.653515,706.5721,77,F5,0.3396
43.746395,43.932154,178.6955,53,F3,0.6607
44.025034,44.187574,178.6955,53,F3,0.4547
45.023492,45.162812,708.6187,77,F5,0.6807
45.325351,45.603991,357.3911,65,F4,0.5077
46.300590,46.532789,189.8697,54,F#3,0.5991
46.532789,46.788209,238.5299,58,A#3,0.8238
47.066848,47.252608,179.7307,54,F#3,0.5744
47.902766,48.274286,538.5836,72,C5,0.5867
48.576145,48.738685,718.9228,78,F#5,0.6838
48.947664,49.156644,900.5690,81,A5,0.6552
49.737143,49.922902,965.2060,83,B5,0.5977
50.015782,50.155102,698.4565,77,F5,0.3901
50.387302,50.689161,890.2251,81,A5,0.6565
51.200000,51.339320,318.3992,63,D#4,0.5137
51.594739,51.734059,704.5374,77,F5,0.6311
52.848617,53.173696,482.6030,71,B4,0.5749
53.266576,53.405896,356.3618,65,F4,0.6811
53.568435,53.823855,179.7307,54,F#3,0.6229
53.916735,54.148934,452.8930,70,A#4,0.6333
54.706213,55.008073,178.6955,53,F3,0.5022
55.402812,55.611791,450.2845,69,A4,0.6306
56.540590,56.656689,119.2650,46,A#2,0.6484
56.888889,57.121088,179.7307,54,F#3,0.5944
58.003447,58.096327,535.4815,72,C5,0.3612
59.837823,59.977143,708.6187,77,F5,0.6087
60.139683,60.302222,718.9228,78,F#5,0.6792
61.277460,61.416780,302.2698,63,D#4,0.6681
61.788299,61.881179,89.8653,42,F#2,0.4932
63.553016,63.692336,357.3911,65,F4,0.3829
64.830113,64.946213,142.6524,50,D3,0.4055
65.062313,65.340952,357.3911,65,F4,0.8263
65.364172,65.526712,538.5836,72,C5,0.4989
65.619592,65.921451,714.7821,77,F5,0.5915
66.200091,66.362630,535.4815,72,C5,0.5468
66.757370,66.850249,358.4262,65,F4,0.5205
66.873469,67.012789,239.9117,58,A#3,0.5288
67.662948,67.802268,222.5563,57,A3,0.5656
67.964807,68.173787,179.7307,54,F#3,0.5503
68.405986,68.545306,721.0051,78,F#5,0.5245
69.334785,69.450884,266.1987,60,C4,0.5518
69.706304,69.845624,178.6955,53,F3,0.6521
70.936961,71.053061,266.1987,60,C4,0.6467
71.145941,71.262041,267.7408,60,C4,0.7445
71.285261,71.563900,178.6955,53,F3,0.6011
72.748118,72.840998,538.5836,72,C5,0.4444
