start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
14.721451,14.814331,140.2017,49,C#3,0.4126
15.441270,15.534150,177.6663,53,F3,0.7045
15.696689,15.928889,180.7719,54,F#3,0.6580
16.091429,16.230748,450.2845,69,A4,0.8629
16.416508,16.579048,164.8138,52,E3,0.5071
24.868571,25.007891,221.2744,57,A3,0.6996
36.269569,36.385669,905.7860,82,A#5,0.5247
42.794376,42.910476,357.3911,65,F4,0.4787
44.117914,44.373333,714.7821,77,F5,0.5449
94.133696,94.226576,442.5489,69,A4,0.5041
95.434014,95.526893,714.7821,77,F5,0.3647
148.329070,148.932789,283.6615,61,C#4,0.8424
149.002449,149.118549,141.8307,49,C#3,0.6377
149.327528,149.629388,139.3942,49,C#3,0.5520
151.626304,153.832200,159.1996,51,D#3,0.8775
163.816780,164.048980,181.8191,54,F#3,0.6235
165.720816,166.278095,273.9989,61,C#4,0.4997
166.278095,166.603175,280.4033,61,C#4,0.5696
167.462313,167.555193,269.2918,60,C4,0.4605
168.135692,168.414331,238.5299,58,A#3,0.4453
168.576871,168.669751,118.5780,46,A#2,0.5692
169.227029,169.343129,231.7394,58,A#3,0.4085
170.039728,170.248707,178.6955,53,F3,0.6829
170.364807,170.480907,361.5437,66,F#4,0.5789
171.316825,171.409705,267.7408,60,C4,0.5860
171.525805,171.734785,179.7307,54,F#3,0.5390
172.431383,172.593923,113.2232,46,A#2,0.4205
174.823039,174.985578,269.2918,60,C4,0.4416
176.285896,176.401995,270.8518,61,C#4,0.4007
185.225578,185.318458,226.4465,58,A#3,0.3881
186.177596,186.293696,221.2744,57,A3,0.5727
191.518186,191.727166,286.9575,62,D4,0.7517
191.959365,192.539864,283.6615,61,C#4,0.7067
198.669932,199.645170,280.4033,61,C#4,0.7485
204.614240,205.055420,359.4614,66,F#4,0.6454
207.957914,208.143673,287.7886,62,D4,0.7079
234.126803,234.289342,357.3911,65,F4,0.7710
234.428662,234.591202,474.3122,70,A#4,0.4131
234.800181,234.962721,474.3122,70,A#4,0.4408
240.465850,240.837370,535.4815,72,C5,0.7863
241.162449,241.255329,119.2650,46,A#2,0.4138
241.998367,242.277007,538.5836,72,C5,0.5559
242.462766,242.927166,357.3911,65,F4,0.7476
243.716644,244.111383,541.7035,73,C#5,0.7605
244.366803,244.575782,179.7307,54,F#3,0.6622
245.225941,245.458141,538.5836,72,C5,0.7133
245.458141,245.643900,552.7688,73,C#5,0.5470
246.108299,246.247619,358.4262,65,F4,0.6920
247.060317,247.246077,640.4874,76,E5,0.7140
247.896236,248.639274,358.4262,65,F4,0.5727
249.219773,249.475193,355.3326,65,F4,0.5058
250.055692,250.264671,421.3472,68,G#4,0.5536
250.357551,250.589751,560.8067,73,C#5,0.6943
250.659410,250.798730,567.3229,73,C#5,0.5326
251.332789,251.425669,357.3911,65,F4,0.3925
251.657868,251.773968,355.3326,65,F4,0.4408
