start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
4.272472,4.388571,68.4997,37,C#2,0.5896
46.602449,46.718549,86.8042,41,F2,0.5523
46.834649,46.997188,86.8042,41,F2,0.6777
47.090068,47.252608,86.8042,41,F2,0.7113
47.345488,47.508027,65.4064,36,C2,0.6289
47.624127,47.763447,65.4064,36,C2,0.5960
47.856327,48.018866,65.4064,36,C2,0.6479
48.111746,48.274286,66.1664,36,C2,0.6969
48.367166,48.529705,65.7853,36,C2,0.6396
48.622585,48.785125,65.4064,36,C2,0.6315
49.133424,49.295964,65.0297,36,C2,0.4995
49.435283,49.551383,58.2705,34,A#1,0.4435
49.667483,49.806803,59.1183,34,A#1,0.5594
49.922902,50.062222,58.7778,34,A#1,0.5759
50.201542,50.317642,58.2705,34,A#1,0.6461
50.433741,50.573061,58.4392,34,A#1,0.5949
50.665941,50.828481,57.9349,34,A#1,0.6289
50.967800,51.083900,57.9349,34,A#1,0.4994
51.200000,51.339320,58.9475,34,A#1,0.4905
51.455420,51.594739,58.7778,34,A#1,0.6020
51.710839,51.873379,58.6080,34,A#1,0.6475
51.966259,52.105578,58.2705,34,A#1,0.6633
52.221678,52.360998,58.4392,34,A#1,0.5076
52.755737,52.895057,58.6080,34,A#1,0.6181
53.011156,53.150476,58.2705,34,A#1,0.5946
53.243356,53.405896,57.9349,34,A#1,0.6117
53.521995,53.661315,58.1027,34,A#1,0.6058
53.777415,53.916735,58.1027,34,A#1,0.5036
54.032834,54.195374,58.6080,34,A#1,0.6007
54.311474,54.427574,57.9349,34,A#1,0.4965
54.543673,54.682993,57.9349,34,A#1,0.5544
54.775873,54.938413,57.9349,34,A#1,0.4953
55.333152,55.449252,57.9349,34,A#1,0.4876
55.542132,55.704671,58.2705,34,A#1,0.4904
55.820771,55.983311,57.9349,34,A#1,0.5468
56.122630,56.238730,57.2694,34,A#1,0.5658
56.354830,56.494150,58.4392,34,A#1,0.5648
56.587029,56.749569,57.6012,34,A#1,0.4942
56.842449,57.028209,58.2705,34,A#1,0.5593
57.864127,58.026667,72.1549,38,D2,0.6869
58.096327,58.282086,73.6288,38,D2,0.6219
58.374966,58.537506,73.4162,38,D2,0.5200
58.630385,58.792925,73.4162,38,D2,0.7218
58.885805,59.048345,73.4162,38,D2,0.7108
59.118005,59.303764,72.7831,38,D2,0.6826
59.396644,59.512744,74.2692,38,D2,0.5515
60.418322,60.580862,86.8042,41,F2,0.6963
60.673741,60.836281,86.8042,41,F2,0.8313
60.929161,61.091701,86.8042,41,F2,0.7661
61.184580,61.347120,87.3071,41,F2,0.6967
61.440000,61.625760,86.8042,41,F2,0.7060
61.718639,61.857959,68.8965,37,C#2,0.6803
61.950839,62.113379,69.2957,37,C#2,0.7663
62.206259,62.392018,69.4964,37,C#2,0.6022
62.461678,62.624218,69.2957,37,C#2,0.6814
62.717098,62.902857,69.2957,37,C#2,0.7210
62.995737,63.158277,69.6971,37,C#2,0.6359
63.227937,63.413696,69.6971,37,C#2,0.6136
63.506576,63.599456,69.4964,37,C#2,0.6344
63.785215,63.924535,57.9349,34,A#1,0.5517
64.040635,64.179955,57.9349,34,A#1,0.6311
64.272834,64.435374,58.2705,34,A#1,0.5884
64.551474,64.690794,57.7680,34,A#1,0.5512
64.806893,64.969433,58.2705,34,A#1,0.5281
65.085533,65.201633,58.2705,34,A#1,0.5948
65.294512,65.457052,58.2705,34,A#1,0.5416
65.549932,65.735692,58.1027,34,A#1,0.5399
66.060771,66.223311,72.9933,38,D2,0.6776
66.316190,66.478730,72.5729,38,D2,0.5839
66.571610,66.757370,72.9933,38,D2,0.5466
66.827029,67.012789,72.9933,38,D2,0.6909
67.082449,67.268209,72.9933,38,D2,0.6704
67.337868,67.523628,72.7831,38,D2,0.7065
67.593288,67.755828,72.9933,38,D2,0.5331
68.127347,68.266667,87.8128,41,F2,0.6492
68.359546,68.545306,87.8128,41,F2,0.5778
68.638186,68.777506,87.8128,41,F2,0.5329
68.893605,69.056145,87.3071,41,F2,0.7217
69.149025,69.311565,87.3071,41,F2,0.7188
69.381224,69.543764,86.8042,41,F2,0.5927
69.636644,69.822404,86.5542,41,F2,0.6793
70.170703,70.310023,69.6971,37,C#2,0.6782
