time,peak
0.000726,0.010466
0.002177,0.010650
0.003628,0.010650
0.005079,0.010558
0.006531,0.010558
0.007982,0.010558
0.009433,0.010558
0.010884,0.010466
0.012336,0.010650
0.013787,0.010558
0.015238,0.010558
0.016689,0.010558
0.018141,0.010558
0.019592,0.010558
0.021043,0.010558
0.022494,0.010558
0.023946,0.010650
0.025397,0.010558
0.026848,0.010466
0.028299,0.010466
0.029751,0.010466
0.031202,0.010466
0.032653,0.010466
0.034104,0.010466
0.035556,0.010466
0.037007,0.010466
0.038458,0.010466
0.039909,0.010466
0.041361,0.010466
0.042812,0.010466
0.044263,0.010558
0.045714,0.010466
0.047166,0.010650
0.048617,0.010466
0.050068,0.010466
0.051519,0.010466
0.052971,0.010466
0.054422,0.010466
0.055873,0.010466
0.057324,0.010466
0.058776,0.010466
0.060227,0.010466
0.061678,0.010466
0.063129,0.010466
0.064580,0.010466
0.066032,0.010466
0.067483,0.010558
0.068934,0.010558
0.070385,0.010650
0.071837,0.010558
0.073288,0.010466
0.074739,0.010466
0.076190,0.010466
0.077642,0.010466
0.079093,0.010466
0.080544,0.010466
0.081995,0.010466
0.083447,0.010466
0.084898,0.010466
0.086349,0.010466
0.087800,0.010466
0.089252,0.010466
0.090703,0.010466
0.092154,0.010650
0.093605,0.010650
0.095057,0.010650
0.096508,0.010466
0.097959,0.010558
0.099410,0.010558
0.100862,0.010466
0.102313,0.010466
0.103764,0.010466
0.105215,0.010466
0.106667,0.010466
0.108118,0.010558
0.109569,0.010558
0.111020,0.010558
0.112472,0.010650
0.113923,0.010650
0.115374,0.010558
0.116825,0.010650
0.118277,0.010650
0.119728,0.010466
0.121179,0.010466
0.122630,0.010558
0.124082,0.010466
0.125533,0.010466
0.126984,0.010466
0.128435,0.010558
0.129887,0.010466
0.131338,0.010650
0.132789,0.010558
0.134240,0.010650
0.135692,0.010650
0.137143,0.010558
0.138594,0.010650
0.140045,0.010650
0.141497,0.010650
0.142948,0.010466
0.144399,0.010650
0.145850,0.010466
0.147302,0.010558
0.148753,0.010558
0.150204,0.010558
0.151655,0.010466
0.153107,0.010650
0.154558,0.010742
0.156009,0.010466
0.157460,0.010650
0.158912,0.010650
0.160363,0.010650
0.161814,0.010650
0.163265,0.010650
0.164717,0.010650
0.166168,0.010558
0.167619,0.010650
0.169070,0.010558
0.170522,0.010650
0.171973,0.010650
0.173424,0.010650
0.174875,0.010558
0.176327,0.010650
0.177778,0.010650
0.179229,0.010558
0.180680,0.010650
0.182132,0.010650
0.183583,0.010650
0.185034,0.010650
0.186485,0.010742
0.187937,0.010650
0.189388,0.010650
0.190839,0.010558
0.192290,0.010650
0.193741,0.010558
0.195193,0.010558
0.196644,0.010650
0.198095,0.010466
0.199546,0.010650
0.200998,0.010650
0.202449,0.010558
0.203900,0.010650
0.205351,0.010650
0.206803,0.010650
0.208254,0.010650
0.209705,0.010650
0.211156,0.010466
0.212608,0.010650
0.214059,0.010558
0.215510,0.010650
0.216961,0.010650
0.218413,0.010466
0.219864,0.010650
0.221315,0.010558
0.222766,0.010650
0.224218,0.010650
0.225669,0.010650
0.227120,0.010650
0.228571,0.010650
0.230023,0.010650
0.231474,0.010742
0.232925,0.010650
0.234376,0.010650
0.235828,0.010650
0.237279,0.010650
0.238730,0.010650
0.240181,0.010558
0.241633,0.010558
0.243084,0.010558
0.244535,0.010650
0.245986,0.010650
0.247438,0.010650
0.248889,0.010650
0.250340,0.010742
0.251791,0.010558
0.253243,0.010650
0.254694,0.010650
0.256145,0.010742
0.257596,0.010650
0.259048,0.010650
0.260499,0.010558
0.261950,0.010650
0.263401,0.010650
0.264853,0.010558
0.266304,0.010650
0.267755,0.010650
0.269206,0.010650
0.270658,0.010558
0.272109,0.010650
0.273560,0.010650
0.275011,0.010558
0.276463,0.010650
0.277914,0.010650
0.279365,0.010650
0.280816,0.010650
0.282268,0.010650
0.283719,0.010650
0.285170,0.010650
0.286621,0.010558
0.288073,0.010650
0.289524,0.010558
0.290975,0.010650
0.292426,0.010466
0.293878,0.010558
0.295329,0.010558
0.296780,0.010650
0.298231,0.010650
0.299683,0.010650
0.301134,0.010650
0.302585,0.010834
0.304036,0.010558
0.305488,0.010650
0.306939,0.010650
0.308390,0.010650
0.309841,0.010650
0.311293,0.010466
0.312744,0.010650
0.314195,0.010650
0.315646,0.010650
0.317098,0.010650
0.318549,0.010650
0.320000,0.010650
0.321451,0.010650
0.322902,0.010650
0.324354,0.010650
0.325805,0.010650
0.327256,0.010650
0.328707,0.010650
0.330159,0.010650
0.331610,0.010650
0.333061,0.010650
0.334512,0.010650
0.335964,0.010558
0.337415,0.010650
0.338866,0.010650
0.340317,0.010558
0.341769,0.010650
0.343220,0.010742
0.344671,0.010650
0.346122,0.010650
0.347574,0.010742
0.349025,0.010650
0.350476,0.010650
0.351927,0.010650
0.353379,0.010650
0.354830,0.010650
0.356281,0.010650
0.357732,0.010558
0.359184,0.010650
0.360635,0.010558
0.362086,0.010650
0.363537,0.010650
0.364989,0.010650
0.366440,0.010742
0.367891,0.010650
0.369342,0.010650
0.370794,0.010650
0.372245,0.010834
0.373696,0.010650
0.375147,0.010650
0.376599,0.010558
0.378050,0.010650
0.379501,0.010650
0.380952,0.010650
0.382404,0.010650
0.383855,0.010650
0.385306,0.010650
