time,peak
0.000726,0.006060
0.002177,0.006008
0.003628,0.006008
0.005079,0.006008
0.006531,0.005956
0.007982,0.006008
0.009433,0.006008
0.010884,0.005956
0.012336,0.006008
0.013787,0.006008
0.015238,0.006008
0.016689,0.006008
0.018141,0.005956
0.019592,0.005956
0.021043,0.005956
0.022494,0.005956
0.023946,0.005956
0.025397,0.005956
0.026848,0.005956
0.028299,0.005956
0.029751,0.005956
0.031202,0.005956
0.032653,0.005956
0.034104,0.005956
0.035556,0.005956
0.037007,0.005956
0.038458,0.005956
0.039909,0.005956
0.041361,0.005956
0.042812,0.005956
0.044263,0.005956
0.045714,0.005956
0.047166,0.005956
0.048617,0.005956
0.050068,0.005956
0.051519,0.005956
0.052971,0.005956
0.054422,0.005956
0.055873,0.005956
0.057324,0.005956
0.058776,0.005956
0.060227,0.005956
0.061678,0.005956
0.063129,0.005956
0.064580,0.005956
0.066032,0.005956
0.067483,0.005956
0.068934,0.005904
0.070385,0.005956
0.071837,0.005956
0.073288,0.005851
0.074739,0.005904
0.076190,0.005904
0.077642,0.005851
0.079093,0.005904
0.080544,0.005904
0.081995,0.005956
0.083447,0.005904
0.084898,0.005904
0.086349,0.005956
0.087800,0.005904
0.089252,0.005851
0.090703,0.005851
0.092154,0.005904
0.093605,0.005956
0.095057,0.005851
0.096508,0.005851
0.097959,0.005851
0.099410,0.005851
0.100862,0.005851
0.102313,0.005904
0.103764,0.005851
0.105215,0.005904
0.106667,0.005904
0.108118,0.005904
0.109569,0.005956
0.111020,0.005956
0.112472,0.005904
0.113923,0.005904
0.115374,0.005851
0.116825,0.006008
0.118277,0.005851
0.119728,0.005851
0.121179,0.005851
0.122630,0.005851
0.124082,0.005851
0.125533,0.005904
0.126984,0.005851
0.128435,0.005904
0.129887,0.005956
0.131338,0.005956
0.132789,0.005956
0.134240,0.005956
0.135692,0.005956
0.137143,0.005956
0.138594,0.005904
0.140045,0.005956
0.141497,0.005851
0.142948,0.005851
0.144399,0.005956
0.145850,0.005904
0.147302,0.005956
0.148753,0.005956
0.150204,0.005956
0.151655,0.006008
0.153107,0.006008
0.154558,0.006060
0.156009,0.006060
0.157460,0.006008
0.158912,0.006008
0.160363,0.006060
0.161814,0.005956
0.163265,0.006060
0.164717,0.006008
0.166168,0.005956
0.167619,0.006008
0.169070,0.006008
0.170522,0.005956
0.171973,0.005956
0.173424,0.006008
0.174875,0.006008
0.176327,0.006060
0.177778,0.006060
0.179229,0.006060
0.180680,0.006060
0.182132,0.006008
0.183583,0.006060
0.185034,0.006060
0.186485,0.006113
0.187937,0.005956
0.189388,0.006008
0.190839,0.006060
0.192290,0.006008
0.193741,0.006008
0.195193,0.006060
0.196644,0.006060
0.198095,0.006008
0.199546,0.006008
0.200998,0.006060
0.202449,0.006060
0.203900,0.006060
0.205351,0.006060
0.206803,0.006060
0.208254,0.006060
0.209705,0.006060
0.211156,0.006008
0.212608,0.006008
0.214059,0.006060
0.215510,0.006008
0.216961,0.006060
0.218413,0.006060
0.219864,0.006060
0.221315,0.006008
0.222766,0.006008
0.224218,0.006060
0.225669,0.006060
0.227120,0.006008
0.228571,0.006060
0.230023,0.006060
0.231474,0.006060
0.232925,0.006060
0.234376,0.006060
0.235828,0.006060
0.237279,0.006060
0.238730,0.006060
0.240181,0.006060
0.241633,0.006060
0.243084,0.006008
0.244535,0.006060
0.245986,0.006008
0.247438,0.006060
0.248889,0.006060
0.250340,0.005956
0.251791,0.006060
0.253243,0.005956
0.254694,0.006060
0.256145,0.006008
0.257596,0.006060
0.259048,0.006008
0.260499,0.006060
0.261950,0.006060
0.263401,0.006060
0.264853,0.006008
0.266304,0.006008
0.267755,0.006008
0.269206,0.006008
0.270658,0.005956
0.272109,0.006060
0.273560,0.005956
0.275011,0.006060
0.276463,0.006008
0.277914,0.006060
0.279365,0.006060
0.280816,0.005956
0.282268,0.006060
0.283719,0.006060
0.285170,0.006008
0.286621,0.006008
0.288073,0.006008
0.289524,0.006008
0.290975,0.006008
0.292426,0.005956
0.293878,0.005956
0.295329,0.006008
0.296780,0.006008
0.298231,0.006008
0.299683,0.006008
0.301134,0.006060
0.302585,0.006008
0.304036,0.005956
0.305488,0.006008
0.306939,0.006008
0.308390,0.006008
0.309841,0.006008
0.311293,0.005956
0.312744,0.006060
0.314195,0.005956
0.315646,0.006008
0.317098,0.006008
0.318549,0.006008
0.320000,0.006008
0.321451,0.006008
0.322902,0.006008
0.324354,0.006008
0.325805,0.006113
0.327256,0.005956
0.328707,0.006008
0.330159,0.006008
0.331610,0.006060
0.333061,0.006060
0.334512,0.006008
0.335964,0.006008
0.337415,0.005956
0.338866,0.006008
0.340317,0.006008
0.341769,0.006060
0.343220,0.006008
0.344671,0.006008
0.346122,0.006060
0.347574,0.006060
0.349025,0.006060
0.350476,0.006008
0.351927,0.006008
0.353379,0.006060
0.354830,0.005956
0.356281,0.006060
0.357732,0.006008
0.359184,0.006060
0.360635,0.006060
0.362086,0.006060
0.363537,0.006060
0.364989,0.006060
0.366440,0.006060
0.367891,0.006060
0.369342,0.006060
0.370794,0.006060
0.372245,0.006060
0.373696,0.005956
0.375147,0.005956
0.376599,0.005956
0.378050,0.005956
0.379501,0.005956
0.380952,0.006060
0.382404,0.006060
0.383855,0.006060
0.385306,0.005956
0.386757,0.006060
0.388209,0.006008
0.389660,0.006008
0.391111,0.006008
0.392562,0.006008
0.394014,0.006008
0.395465,0.006008
0.396916,0.005956
0.398367,0.006060
0.399819,0.006060
0.401270,0.006060
0.402721,0.006060
0.404172,0.006113
0.405624,0.006060
0.407075,0.006060
0.408526,0.005956
0.409977,0.006060
0.411429,0.006008
0.412880,0.006008
0.414331,0.006008
0.415782,0.006008
0.417234,0.006008
0.418685,0.006060
0.420136,0.005956
0.421587,0.006008
0.423039,0.006008
0.424490,0.006008
0.425941,0.006008
0.427392,0.006008
0.428844,0.005956
0.430295,0.006008
0.431746,0.006008
0.433197,0.006060
0.434649,0.006008
0.436100,0.006008
0.437551,0.006060
0.439002,0.006008
0.440454,0.006008
0.441905,0.006060
0.443356,0.005956
0.444807,0.006008
0.446259,0.006008
0.447710,0.005956
0.449161,0.006060
0.450612,0.006060
0.452063,0.006008
0.453515,0.006008
0.454966,0.006008
0.456417,0.006008
0.457868,0.006060
0.459320,0.006008
0.460771,0.006060
0.462222,0.006008
0.463673,0.006008
0.465125,0.006008
0.466576,0.005956
0.468027,0.005956
0.469478,0.006060
0.470930,0.006008
0.472381,0.006008
0.473832,0.006008
0.475283,0.006008
0.476735,0.006008
0.478186,0.005956
0.479637,0.005956
0.481088,0.006008
0.482540,0.005956
0.483991,0.005956
0.485442,0.005956
0.486893,0.005956
0.488345,0.006008
0.489796,0.005956
0.491247,0.005956
0.492698,0.006008
