index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,timbre_cluster,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
0,0.139320,1.000000,0.017822,2963.370,7064.376,3716.504,0.031856,341.252,0.6720,-433.266937,100.033089,-17.667885,25.958494,-64.374916,-1.201410,4.734756,9.665357,-5.414457,-17.200220,-21.640715,0.105686,-16.306219,low,mid,soft,long,3,1,0,1,2,1,1,3,3
1,3.424943,0.050000,0.007611,2820.141,6554.707,3320.362,0.024414,347.217,0.1589,-437.584076,140.660309,-33.211338,42.383076,-50.874378,5.587395,7.811926,-1.501362,-4.471038,-13.314087,-29.646549,1.096116,-9.796607,unpitched,mid,soft,short,3,0,0,0,2,1,1,3,3
2,3.459773,0.719819,0.017854,3309.496,7532.520,3719.364,0.049572,410.535,0.5465,-383.138397,102.459740,-40.817051,20.897226,-66.813309,10.866513,-8.351110,4.619840,-14.227145,-13.967003,-21.197607,6.565982,-10.079430,high,mid,soft,long,3,1,1,1,2,1,1,3,3
3,4.179592,0.267029,0.040723,2440.474,5867.330,3384.675,0.028214,68.105,0.0147,-323.196442,126.807617,-13.056058,72.864441,-10.745606,27.059341,16.458935,28.010670,1.289197,1.934636,-5.392912,5.441608,1.728778,unpitched,dark,soft,medium,3,1,0,1,2,1,1,3,3
4,4.446621,0.243810,0.022327,2703.779,6773.171,3662.070,0.037997,369.994,0.0208,-349.377899,130.656219,-3.653066,47.607983,-37.294025,30.855310,16.561024,21.067045,2.405033,-0.789780,-17.849134,10.403616,-6.869448,unpitched,mid,soft,medium,3,1,0,1,2,1,1,3,3
5,4.690431,0.267029,0.031604,2220.000,5893.817,3284.729,0.030131,70.101,0.0741,-331.559357,151.712601,1.295300,52.726471,-37.593266,20.283159,7.299154,5.902179,-3.838769,-9.851816,-23.708979,8.398754,-11.494010,unpitched,dark,soft,medium,3,1,0,1,2,1,1,3,3
6,4.957460,0.255420,0.041207,2346.702,5813.965,3316.580,0.028384,86.304,0.0128,-323.150848,136.176086,-8.580027,75.020775,-12.156107,21.233292,19.316233,21.003162,6.709339,2.639419,-7.635079,5.191164,-1.606218,unpitched,dark,soft,medium,3,0,0,0,2,1,1,3,3
7,5.212880,0.232200,0.040803,2019.979,4991.396,2976.925,0.021460,,0.0000,-350.060303,140.235016,-18.418140,83.230782,5.786929,18.799213,28.157202,17.156221,5.406415,3.943274,-0.579087,4.377885,5.015228,unpitched,dark,soft,short,3,0,0,0,0,1,1,1,0
8,5.445079,0.050000,0.020481,2140.200,4612.412,3680.076,0.015527,,0.0000,-356.882904,156.062866,0.917871,44.330215,11.601472,7.366621,10.612059,4.655736,-3.814603,-7.711511,-10.028643,-0.738367,-4.423696,unpitched,dark,soft,short,0,0,0,0,0,1,1,3,3
9,5.479909,0.243810,0.028812,2505.817,6183.944,3575.596,0.040194,70.101,0.0111,-323.532257,144.112152,3.301574,52.684521,-30.965343,22.652010,7.669686,12.227514,-3.828959,-4.848949,-22.514706,10.492769,-16.582689,unpitched,dark,soft,medium,3,1,0,1,2,1,1,3,3
10,5.723719,0.267029,0.024399,2934.148,7319.495,3826.155,0.041361,410.535,0.1158,-342.339264,127.205498,-3.294025,48.288868,-31.324541,29.641174,0.718070,16.450212,-4.728982,-12.021786,-18.182989,9.648648,-9.997648,unpitched,mid,soft,medium,3,1,0,1,2,1,1,3,3
