time,division,beat,phase
0.174150,4,0,0
0.174150,8,0,0
0.174150,16,0,0
0.174150,32,0,0
0.238005,32,0,1
0.301859,16,0,1
0.301859,32,0,2
0.365714,32,0,3
0.429569,8,0,1
0.429569,16,0,2
0.429569,32,0,4
0.493424,32,0,5
0.557279,16,0,3
0.557279,32,0,6
0.621134,32,0,7
0.684989,4,1,0
0.684989,8,1,0
0.684989,16,1,0
0.684989,32,1,0
0.745941,32,1,1
0.806893,16,1,1
0.806893,32,1,2
0.867846,32,1,3
0.928798,8,1,1
0.928798,16,1,2
0.928798,32,1,4
0.989751,32,1,5
1.050703,16,1,3
1.050703,32,1,6
1.111655,32,1,7
1.172608,4,2,0
1.172608,8,2,0
1.172608,16,2,0
1.172608,32,2,0
1.235011,32,2,1
1.297415,16,2,1
1.297415,32,2,2
1.359819,32,2,3
1.422222,8,2,1
1.422222,16,2,2
1.422222,32,2,4
1.484626,32,2,5
1.547029,16,2,3
1.547029,32,2,6
1.609433,32,2,7
1.671837,4,3,0
1.671837,8,3,0
1.671837,16,3,0
1.671837,32,3,0
1.734240,32,3,1
1.796644,16,3,1
1.796644,32,3,2
1.859048,32,3,3
1.921451,8,3,1
1.921451,16,3,2
1.921451,32,3,4
1.983855,32,3,5
2.046259,16,3,3
2.046259,32,3,6
2.108662,32,3,7
2.171066,4,4,0
2.171066,8,4,0
2.171066,16,4,0
2.171066,32,4,0
2.234921,32,4,1
2.298776,16,4,1
2.298776,32,4,2
2.362630,32,4,3
2.426485,8,4,1
2.426485,16,4,2
2.426485,32,4,4
2.490340,32,4,5
2.554195,16,4,3
2.554195,32,4,6
2.618050,32,4,7
2.681905,4,5,0
2.681905,8,5,0
2.681905,16,5,0
2.681905,32,5,0
2.745760,32,5,1
2.809615,16,5,1
2.809615,32,5,2
2.873469,32,5,3
2.937324,8,5,1
2.937324,16,5,2
2.937324,32,5,4
3.001179,32,5,5
3.065034,16,5,3
3.065034,32,5,6
3.128889,32,5,7
3.192744,4,6,0
3.192744,8,6,0
3.192744,16,6,0
3.192744,32,6,0
3.255147,32,6,1
3.317551,16,6,1
3.317551,32,6,2
3.379955,32,6,3
3.442358,8,6,1
3.442358,16,6,2
3.442358,32,6,4
3.504762,32,6,5
3.567166,16,6,3
3.567166,32,6,6
3.629569,32,6,7
3.691973,4,7,0
3.691973,8,7,0
3.691973,16,7,0
3.691973,32,7,0
3.757279,32,7,1
3.822585,16,7,1
3.822585,32,7,2
3.887891,32,7,3
3.953197,8,7,1
3.953197,16,7,2
3.953197,32,7,4
4.018503,32,7,5
4.083810,16,7,3
4.083810,32,7,6
4.149116,32,7,7
4.214422,4,8,0
4.214422,8,8,0
4.214422,16,8,0
4.214422,32,8,0
4.278277,32,8,1
4.342132,16,8,1
4.342132,32,8,2
4.405986,32,8,3
4.469841,8,8,1
4.469841,16,8,2
4.469841,32,8,4
4.533696,32,8,5
4.597551,16,8,3
4.597551,32,8,6
4.661406,32,8,7
4.725261,4,9,0
4.725261,8,9,0
4.725261,16,9,0
4.725261,32,9,0
4.789116,32,9,1
4.852971,16,9,1
4.852971,32,9,2
4.916825,32,9,3
4.980680,8,9,1
4.980680,16,9,2
4.980680,32,9,4
5.044535,32,9,5
5.108390,16,9,3
5.108390,32,9,6
5.172245,32,9,7
5.236100,4,10,0
5.236100,8,10,0
5.236100,16,10,0
5.236100,32,10,0
5.301406,32,10,1
5.366712,16,10,1
5.366712,32,10,2
5.432018,32,10,3
5.497324,8,10,1
5.497324,16,10,2
5.497324,32,10,4
5.562630,32,10,5
5.627937,16,10,3
5.627937,32,10,6
5.693243,32,10,7
5.758549,4,11,0
5.758549,8,11,0
5.758549,16,11,0
5.758549,32,11,0
5.822404,32,11,1
5.886259,16,11,1
5.886259,32,11,2
5.950113,32,11,3
6.013968,8,11,1
6.013968,16,11,2
6.013968,32,11,4
6.077823,32,11,5
6.141678,16,11,3
6.141678,32,11,6
6.205533,32,11,7
6.269388,4,12,0
6.269388,8,12,0
6.269388,16,12,0
6.269388,32,12,0
6.333243,32,12,1
6.397098,16,12,1
6.397098,32,12,2
6.460952,32,12,3
6.524807,8,12,1
6.524807,16,12,2
6.524807,32,12,4
6.588662,32,12,5
6.652517,16,12,3
6.652517,32,12,6
6.716372,32,12,7
6.780227,4,13,0
6.780227,8,13,0
6.780227,16,13,0
6.780227,32,13,0
6.844082,32,13,1
6.907937,16,13,1
6.907937,32,13,2
6.971791,32,13,3
7.035646,8,13,1
7.035646,16,13,2
7.035646,32,13,4
7.099501,32,13,5
7.163356,16,13,3
7.163356,32,13,6
7.227211,32,13,7
7.291066,4,14,0
7.291066,8,14,0
7.291066,16,14,0
7.291066,32,14,0
7.354921,32,14,1
7.418776,16,14,1
7.418776,32,14,2
7.482630,32,14,3
7.546485,8,14,1
7.546485,16,14,2
7.546485,32,14,4
7.610340,32,14,5
7.674195,16,14,3
7.674195,32,14,6
7.738050,32,14,7
7.801905,4,15,0
7.801905,8,15,0
7.801905,16,15,0
7.801905,32,15,0
7.867211,32,15,1
7.932517,16,15,1
7.932517,32,15,2
7.997823,32,15,3
8.063129,8,15,1
8.063129,16,15,2
8.063129,32,15,4
8.128435,32,15,5
8.193741,16,15,3
8.193741,32,15,6
8.259048,32,15,7
8.324354,4,16,0
8.324354,8,16,0
8.324354,16,16,0
8.324354,32,16,0
8.386757,32,16,1
8.449161,16,16,1
8.449161,32,16,2
8.511565,32,16,3
8.573968,8,16,1
8.573968,16,16,2
8.573968,32,16,4
8.636372,32,16,5
8.698776,16,16,3
8.698776,32,16,6
8.761179,32,16,7
8.823583,4,17,0
8.823583,8,17,0
8.823583,16,17,0
8.823583,32,17,0
8.888889,32,17,1
8.954195,16,17,1
8.954195,32,17,2
9.019501,32,17,3
9.084807,8,17,1
9.084807,16,17,2
9.084807,32,17,4
9.150113,32,17,5
9.215420,16,17,3
9.215420,32,17,6
9.280726,32,17,7
9.346032,4,18,0
9.346032,8,18,0
9.346032,16,18,0
9.346032,32,18,0
9.409887,32,18,1
9.473741,16,18,1
9.473741,32,18,2
9.537596,32,18,3
9.601451,8,18,1
9.601451,16,18,2
9.601451,32,18,4
9.665306,32,18,5
9.729161,16,18,3
9.729161,32,18,6
9.793016,32,18,7
9.856871,4,19,0
9.856871,8,19,0
9.856871,16,19,0
9.856871,32,19,0
9.920726,32,19,1
9.984580,16,19,1
9.984580,32,19,2
10.048435,32,19,3
10.112290,8,19,1
10.112290,16,19,2
10.112290,32,19,4
10.176145,32,19,5
10.240000,16,19,3
10.240000,32,19,6
10.303855,32,19,7
10.367710,4,20,0
10.367710,8,20,0
10.367710,16,20,0
10.367710,32,20,0
10.431565,32,20,1
10.495420,16,20,1
10.495420,32,20,2
10.559274,32,20,3
10.623129,8,20,1
10.623129,16,20,2
10.623129,32,20,4
10.686984,32,20,5
10.750839,16,20,3
10.750839,32,20,6
10.814694,32,20,7
10.878549,4,21,0
10.878549,8,21,0
10.878549,16,21,0
10.878549,32,21,0
10.942404,32,21,1
11.006259,16,21,1
11.006259,32,21,2
11.070113,32,21,3
11.133968,8,21,1
11.133968,16,21,2
11.133968,32,21,4
11.197823,32,21,5
11.261678,16,21,3
11.261678,32,21,6
11.325533,32,21,7
11.389388,4,22,0
11.389388,8,22,0
11.389388,16,22,0
11.389388,32,22,0
11.453243,32,22,1
11.517098,16,22,1
11.517098,32,22,2
11.580952,32,22,3
11.644807,8,22,1
11.644807,16,22,2
11.644807,32,22,4
11.708662,32,22,5
11.772517,16,22,3
11.772517,32,22,6
11.836372,32,22,7
11.900227,4,23,0
11.900227,8,23,0
11.900227,16,23,0
11.900227,32,23,0
11.965533,32,23,1
12.030839,16,23,1
12.030839,32,23,2
12.096145,32,23,3
12.161451,8,23,1
12.161451,16,23,2
12.161451,32,23,4
12.226757,32,23,5
12.292063,16,23,3
12.292063,32,23,6
12.357370,32,23,7
12.422676,4,24,0
12.422676,8,24,0
12.422676,16,24,0
12.422676,32,24,0
12.486531,32,24,1
12.550385,16,24,1
12.550385,32,24,2
12.614240,32,24,3
12.678095,8,24,1
12.678095,16,24,2
12.678095,32,24,4
12.741950,32,24,5
12.805805,16,24,3
12.805805,32,24,6
12.869660,32,24,7
12.933515,4,25,0
12.933515,8,25,0
12.933515,16,25,0
12.933515,32,25,0
12.997370,32,25,1
13.061224,16,25,1
13.061224,32,25,2
13.125079,32,25,3
13.188934,8,25,1
13.188934,16,25,2
13.188934,32,25,4
13.252789,32,25,5
13.316644,16,25,3
13.316644,32,25,6
13.380499,32,25,7
13.444354,4,26,0
13.444354,8,26,0
13.444354,16,26,0
13.444354,32,26,0
13.508209,32,26,1
13.572063,16,26,1
13.572063,32,26,2
13.635918,32,26,3
13.699773,8,26,1
13.699773,16,26,2
13.699773,32,26,4
13.763628,32,26,5
13.827483,16,26,3
13.827483,32,26,6
13.891338,32,26,7
13.955193,4,27,0
13.955193,8,27,0
13.955193,16,27,0
13.955193,32,27,0
14.019048,32,27,1
14.082902,16,27,1
14.082902,32,27,2
14.146757,32,27,3
14.210612,8,27,1
14.210612,16,27,2
14.210612,32,27,4
14.274467,32,27,5
14.338322,16,27,3
14.338322,32,27,6
14.402177,32,27,7
14.466032,4,28,0
14.466032,8,28,0
14.466032,16,28,0
14.466032,32,28,0
14.529887,32,28,1
14.593741,16,28,1
14.593741,32,28,2
14.657596,32,28,3
14.721451,8,28,1
14.721451,16,28,2
14.721451,32,28,4
14.785306,32,28,5
14.849161,16,28,3
14.849161,32,28,6
14.913016,32,28,7
14.976871,4,29,0
14.976871,8,29,0
14.976871,16,29,0
14.976871,32,29,0
15.042177,32,29,1
15.107483,16,29,1
15.107483,32,29,2
15.172789,32,29,3
15.238095,8,29,1
15.238095,16,29,2
15.238095,32,29,4
15.303401,32,29,5
15.368707,16,29,3
15.368707,32,29,6
15.434014,32,29,7
15.499320,4,30,0
15.499320,8,30,0
15.499320,16,30,0
15.499320,32,30,0
15.563175,32,30,1
15.627029,16,30,1
15.627029,32,30,2
15.690884,32,30,3
15.754739,8,30,1
15.754739,16,30,2
15.754739,32,30,4
15.818594,32,30,5
15.882449,16,30,3
15.882449,32,30,6
15.946304,32,30,7
16.010159,4,31,0
16.010159,8,31,0
16.010159,16,31,0
16.010159,32,31,0
16.074014,32,31,1
16.137868,16,31,1
16.137868,32,31,2
16.201723,32,31,3
16.265578,8,31,1
16.265578,16,31,2
16.265578,32,31,4
16.329433,32,31,5
16.393288,16,31,3
16.393288,32,31,6
16.457143,32,31,7
16.520998,4,32,0
16.520998,8,32,0
16.520998,16,32,0
16.520998,32,32,0
16.584853,32,32,1
16.648707,16,32,1
16.648707,32,32,2
16.712562,32,32,3
16.776417,8,32,1
16.776417,16,32,2
16.776417,32,32,4
16.840272,32,32,5
16.904127,16,32,3
16.904127,32,32,6
16.967982,32,32,7
17.031837,4,33,0
17.031837,8,33,0
17.031837,16,33,0
17.031837,32,33,0
17.095692,32,33,1
17.159546,16,33,1
17.159546,32,33,2
17.223401,32,33,3
17.287256,8,33,1
17.287256,16,33,2
17.287256,32,33,4
17.351111,32,33,5
17.414966,16,33,3
17.414966,32,33,6
17.478821,32,33,7
17.542676,4,34,0
17.542676,8,34,0
17.542676,16,34,0
17.542676,32,34,0
17.606531,32,34,1
17.670385,16,34,1
17.670385,32,34,2
17.734240,32,34,3
17.798095,8,34,1
17.798095,16,34,2
17.798095,32,34,4
17.861950,32,34,5
17.925805,16,34,3
17.925805,32,34,6
17.989660,32,34,7
18.053515,4,35,0
18.053515,8,35,0
18.053515,16,35,0
18.053515,32,35,0
18.118821,32,35,1
18.184127,16,35,1
18.184127,32,35,2
18.249433,32,35,3
18.314739,8,35,1
18.314739,16,35,2
18.314739,32,35,4
18.380045,32,35,5
18.445351,16,35,3
18.445351,32,35,6
18.510658,32,35,7
18.575964,4,36,0
18.575964,8,36,0
18.575964,16,36,0
18.575964,32,36,0
18.639819,32,36,1
18.703673,16,36,1
18.703673,32,36,2
18.767528,32,36,3
18.831383,8,36,1
18.831383,16,36,2
18.831383,32,36,4
18.895238,32,36,5
18.959093,16,36,3
18.959093,32,36,6
19.022948,32,36,7
19.086803,4,37,0
19.086803,8,37,0
19.086803,16,37,0
19.086803,32,37,0
19.152109,32,37,1
19.217415,16,37,1
19.217415,32,37,2
19.282721,32,37,3
19.348027,8,37,1
19.348027,16,37,2
19.348027,32,37,4
19.413333,32,37,5
19.478639,16,37,3
19.478639,32,37,6
19.543946,32,37,7
19.609252,4,38,0
19.609252,8,38,0
19.609252,16,38,0
19.609252,32,38,0
19.671655,32,38,1
19.734059,16,38,1
19.734059,32,38,2
19.796463,32,38,3
19.858866,8,38,1
19.858866,16,38,2
19.858866,32,38,4
19.921270,32,38,5
19.983673,16,38,3
19.983673,32,38,6
20.046077,32,38,7
20.108481,4,39,0
20.108481,8,39,0
20.108481,16,39,0
20.108481,32,39,0
20.172336,32,39,1
20.236190,16,39,1
20.236190,32,39,2
20.300045,32,39,3
20.363900,8,39,1
20.363900,16,39,2
20.363900,32,39,4
20.427755,32,39,5
20.491610,16,39,3
20.491610,32,39,6
20.555465,32,39,7
20.619320,4,40,0
20.619320,8,40,0
20.619320,16,40,0
20.619320,32,40,0
20.683175,32,40,1
20.747029,16,40,1
20.747029,32,40,2
20.810884,32,40,3
20.874739,8,40,1
20.874739,16,40,2
20.874739,32,40,4
20.938594,32,40,5
21.002449,16,40,3
21.002449,32,40,6
21.066304,32,40,7
21.130159,4,41,0
21.130159,8,41,0
21.130159,16,41,0
21.130159,32,41,0
21.195465,32,41,1
21.260771,16,41,1
21.260771,32,41,2
21.326077,32,41,3
21.391383,8,41,1
21.391383,16,41,2
21.391383,32,41,4
21.456689,32,41,5
21.521995,16,41,3
21.521995,32,41,6
21.587302,32,41,7
21.652608,4,42,0
21.652608,8,42,0
21.652608,16,42,0
21.652608,32,42,0
21.716463,32,42,1
21.780317,16,42,1
21.780317,32,42,2
21.844172,32,42,3
21.908027,8,42,1
21.908027,16,42,2
21.908027,32,42,4
21.971882,32,42,5
22.035737,16,42,3
22.035737,32,42,6
22.099592,32,42,7
22.163447,4,43,0
22.163447,8,43,0
22.163447,16,43,0
22.163447,32,43,0
22.227302,32,43,1
22.291156,16,43,1
22.291156,32,43,2
22.355011,32,43,3
22.418866,8,43,1
22.418866,16,43,2
22.418866,32,43,4
22.482721,32,43,5
22.546576,16,43,3
22.546576,32,43,6
22.610431,32,43,7
22.674286,4,44,0
22.674286,8,44,0
22.674286,16,44,0
22.674286,32,44,0
22.738141,32,44,1
22.801995,16,44,1
22.801995,32,44,2
22.865850,32,44,3
22.929705,8,44,1
22.929705,16,44,2
22.929705,32,44,4
22.993560,32,44,5
23.057415,16,44,3
23.057415,32,44,6
23.121270,32,44,7
23.185125,4,45,0
23.185125,8,45,0
23.185125,16,45,0
23.185125,32,45,0
23.250431,32,45,1
23.315737,16,45,1
23.315737,32,45,2
23.381043,32,45,3
23.446349,8,45,1
23.446349,16,45,2
23.446349,32,45,4
23.511655,32,45,5
23.576961,16,45,3
23.576961,32,45,6
23.642268,32,45,7
23.707574,4,46,0
23.707574,8,46,0
23.707574,16,46,0
23.707574,32,46,0
23.769977,32,46,1
23.832381,16,46,1
23.832381,32,46,2
23.894785,32,46,3
23.957188,8,46,1
23.957188,16,46,2
23.957188,32,46,4
24.019592,32,46,5
24.081995,16,46,3
24.081995,32,46,6
24.144399,32,46,7
24.206803,4,47,0
24.206803,8,47,0
24.206803,16,47,0
24.206803,32,47,0
24.272109,32,47,1
24.337415,16,47,1
24.337415,32,47,2
24.402721,32,47,3
24.468027,8,47,1
24.468027,16,47,2
24.468027,32,47,4
24.533333,32,47,5
24.598639,16,47,3
24.598639,32,47,6
24.663946,32,47,7
24.729252,4,48,0
24.729252,8,48,0
24.729252,16,48,0
24.729252,32,48,0
24.793107,32,48,1
24.856961,16,48,1
24.856961,32,48,2
24.920816,32,48,3
24.984671,8,48,1
24.984671,16,48,2
24.984671,32,48,4
25.048526,32,48,5
25.112381,16,48,3
25.112381,32,48,6
25.176236,32,48,7
25.240091,4,49,0
25.240091,8,49,0
25.240091,16,49,0
25.240091,32,49,0
25.302494,32,49,1
25.364898,16,49,1
25.364898,32,49,2
25.427302,32,49,3
25.489705,8,49,1
25.489705,16,49,2
25.489705,32,49,4
25.552109,32,49,5
25.614512,16,49,3
25.614512,32,49,6
25.676916,32,49,7
25.739320,4,50,0
25.739320,8,50,0
25.739320,16,50,0
25.739320,32,50,0
25.804626,32,50,1
25.869932,16,50,1
25.869932,32,50,2
25.935238,32,50,3
26.000544,8,50,1
26.000544,16,50,2
26.000544,32,50,4
26.065850,32,50,5
26.131156,16,50,3
26.131156,32,50,6
26.196463,32,50,7
26.261769,4,51,0
26.261769,8,51,0
26.261769,16,51,0
26.261769,32,51,0
26.327075,32,51,1
26.392381,16,51,1
26.392381,32,51,2
26.457687,32,51,3
26.522993,8,51,1
26.522993,16,51,2
26.522993,32,51,4
26.588299,32,51,5
26.653605,16,51,3
26.653605,32,51,6
26.718912,32,51,7
26.784218,4,52,0
26.784218,8,52,0
26.784218,16,52,0
26.784218,32,52,0
26.846621,32,52,1
26.909025,16,52,1
26.909025,32,52,2
26.971429,32,52,3
27.033832,8,52,1
27.033832,16,52,2
27.033832,32,52,4
27.096236,32,52,5
27.158639,16,52,3
27.158639,32,52,6
27.221043,32,52,7
27.283447,4,53,0
27.283447,8,53,0
27.283447,16,53,0
27.283447,32,53,0
27.348753,32,53,1
27.414059,16,53,1
27.414059,32,53,2
27.479365,32,53,3
27.544671,8,53,1
27.544671,16,53,2
27.544671,32,53,4
27.609977,32,53,5
27.675283,16,53,3
27.675283,32,53,6
27.740590,32,53,7
27.805896,4,54,0
27.805896,8,54,0
27.805896,16,54,0
27.805896,32,54,0
27.869751,32,54,1
27.933605,16,54,1
27.933605,32,54,2
27.997460,32,54,3
28.061315,8,54,1
28.061315,16,54,2
28.061315,32,54,4
28.125170,32,54,5
28.189025,16,54,3
28.189025,32,54,6
28.252880,32,54,7
28.316735,4,55,0
28.316735,8,55,0
28.316735,16,55,0
28.316735,32,55,0
28.380590,32,55,1
28.444444,16,55,1
28.444444,32,55,2
28.508299,32,55,3
28.572154,8,55,1
28.572154,16,55,2
28.572154,32,55,4
28.636009,32,55,5
28.699864,16,55,3
28.699864,32,55,6
28.763719,32,55,7
28.827574,4,56,0
28.827574,8,56,0
28.827574,16,56,0
28.827574,32,56,0
28.891429,32,56,1
28.955283,16,56,1
28.955283,32,56,2
29.019138,32,56,3
29.082993,8,56,1
29.082993,16,56,2
29.082993,32,56,4
29.146848,32,56,5
29.210703,16,56,3
29.210703,32,56,6
29.274558,32,56,7
29.338413,4,57,0
29.338413,8,57,0
29.338413,16,57,0
29.338413,32,57,0
29.402268,32,57,1
29.466122,16,57,1
29.466122,32,57,2
29.529977,32,57,3
29.593832,8,57,1
29.593832,16,57,2
29.593832,32,57,4
29.657687,32,57,5
29.721542,16,57,3
29.721542,32,57,6
29.785397,32,57,7
29.849252,4,58,0
29.849252,8,58,0
29.849252,16,58,0
29.849252,32,58,0
29.913107,32,58,1
29.976961,16,58,1
29.976961,32,58,2
30.040816,32,58,3
30.104671,8,58,1
30.104671,16,58,2
30.104671,32,58,4
30.168526,32,58,5
30.232381,16,58,3
30.232381,32,58,6
30.296236,32,58,7
30.360091,4,59,0
30.360091,8,59,0
30.360091,16,59,0
30.360091,32,59,0
30.425397,32,59,1
30.490703,16,59,1
30.490703,32,59,2
30.556009,32,59,3
30.621315,8,59,1
30.621315,16,59,2
30.621315,32,59,4
30.686621,32,59,5
30.751927,16,59,3
30.751927,32,59,6
30.817234,32,59,7
30.882540,4,60,0
30.882540,8,60,0
30.882540,16,60,0
30.882540,32,60,0
30.946395,32,60,1
31.010249,16,60,1
31.010249,32,60,2
31.074104,32,60,3
31.137959,8,60,1
31.137959,16,60,2
31.137959,32,60,4
31.201814,32,60,5
31.265669,16,60,3
31.265669,32,60,6
31.329524,32,60,7
31.393379,4,61,0
31.393379,8,61,0
31.393379,16,61,0
31.393379,32,61,0
31.457234,32,61,1
31.521088,16,61,1
31.521088,32,61,2
31.584943,32,61,3
31.648798,8,61,1
31.648798,16,61,2
31.648798,32,61,4
31.712653,32,61,5
31.776508,16,61,3
31.776508,32,61,6
31.840363,32,61,7
31.904218,4,62,0
31.904218,8,62,0
31.904218,16,62,0
31.904218,32,62,0
31.968073,32,62,1
32.031927,16,62,1
32.031927,32,62,2
32.095782,32,62,3
32.159637,8,62,1
32.159637,16,62,2
32.159637,32,62,4
32.223492,32,62,5
32.287347,16,62,3
32.287347,32,62,6
32.351202,32,62,7
32.415057,4,63,0
32.415057,8,63,0
32.415057,16,63,0
32.415057,32,63,0
32.478912,32,63,1
32.542766,16,63,1
32.542766,32,63,2
32.606621,32,63,3
32.670476,8,63,1
32.670476,16,63,2
32.670476,32,63,4
32.734331,32,63,5
32.798186,16,63,3
32.798186,32,63,6
32.862041,32,63,7
32.925896,4,64,0
32.925896,8,64,0
32.925896,16,64,0
32.925896,32,64,0
32.991202,32,64,1
33.056508,16,64,1
33.056508,32,64,2
33.121814,32,64,3
33.187120,8,64,1
33.187120,16,64,2
33.187120,32,64,4
33.252426,32,64,5
33.317732,16,64,3
33.317732,32,64,6
33.383039,32,64,7
33.448345,4,65,0
33.448345,8,65,0
33.448345,16,65,0
33.448345,32,65,0
33.512200,32,65,1
33.576054,16,65,1
33.576054,32,65,2
33.639909,32,65,3
33.703764,8,65,1
33.703764,16,65,2
33.703764,32,65,4
33.767619,32,65,5
33.831474,16,65,3
33.831474,32,65,6
33.895329,32,65,7
33.959184,4,66,0
33.959184,8,66,0
33.959184,16,66,0
33.959184,32,66,0
34.023039,32,66,1
34.086893,16,66,1
34.086893,32,66,2
34.150748,32,66,3
34.214603,8,66,1
34.214603,16,66,2
34.214603,32,66,4
34.278458,32,66,5
34.342313,16,66,3
34.342313,32,66,6
34.406168,32,66,7
34.470023,4,67,0
34.470023,8,67,0
34.470023,16,67,0
34.470023,32,67,0
34.533878,32,67,1
34.597732,16,67,1
34.597732,32,67,2
34.661587,32,67,3
34.725442,8,67,1
34.725442,16,67,2
34.725442,32,67,4
34.789297,32,67,5
34.853152,16,67,3
34.853152,32,67,6
34.917007,32,67,7
34.980862,4,68,0
34.980862,8,68,0
34.980862,16,68,0
34.980862,32,68,0
35.044717,32,68,1
35.108571,16,68,1
35.108571,32,68,2
35.172426,32,68,3
35.236281,8,68,1
35.236281,16,68,2
35.236281,32,68,4
35.300136,32,68,5
35.363991,16,68,3
35.363991,32,68,6
35.427846,32,68,7
35.491701,4,69,0
35.491701,8,69,0
35.491701,16,69,0
35.491701,32,69,0
35.557007,32,69,1
35.622313,16,69,1
35.622313,32,69,2
35.687619,32,69,3
35.752925,8,69,1
35.752925,16,69,2
35.752925,32,69,4
35.818231,32,69,5
35.883537,16,69,3
35.883537,32,69,6
35.948844,32,69,7
36.014150,4,70,0
36.014150,8,70,0
36.014150,16,70,0
36.014150,32,70,0
36.078005,32,70,1
36.141859,16,70,1
36.141859,32,70,2
36.205714,32,70,3
36.269569,8,70,1
36.269569,16,70,2
36.269569,32,70,4
36.333424,32,70,5
36.397279,16,70,3
36.397279,32,70,6
36.461134,32,70,7
36.524989,4,71,0
36.524989,8,71,0
36.524989,16,71,0
36.524989,32,71,0
36.588844,32,71,1
36.652698,16,71,1
36.652698,32,71,2
36.716553,32,71,3
36.780408,8,71,1
36.780408,16,71,2
36.780408,32,71,4
36.844263,32,71,5
36.908118,16,71,3
36.908118,32,71,6
36.971973,32,71,7
37.035828,4,72,0
37.035828,8,72,0
37.035828,16,72,0
37.035828,32,72,0
37.099683,32,72,1
37.163537,16,72,1
37.163537,32,72,2
37.227392,32,72,3
37.291247,8,72,1
37.291247,16,72,2
37.291247,32,72,4
37.355102,32,72,5
37.418957,16,72,3
37.418957,32,72,6
37.482812,32,72,7
37.546667,4,73,0
37.546667,8,73,0
37.546667,16,73,0
37.546667,32,73,0
37.610522,32,73,1
37.674376,16,73,1
37.674376,32,73,2
37.738231,32,73,3
37.802086,8,73,1
37.802086,16,73,2
37.802086,32,73,4
37.865941,32,73,5
37.929796,16,73,3
37.929796,32,73,6
37.993651,32,73,7
38.057506,4,74,0
38.057506,8,74,0
38.057506,16,74,0
38.057506,32,74,0
38.121361,32,74,1
38.185215,16,74,1
38.185215,32,74,2
38.249070,32,74,3
38.312925,8,74,1
38.312925,16,74,2
38.312925,32,74,4
38.376780,32,74,5
38.440635,16,74,3
38.440635,32,74,6
38.504490,32,74,7
38.568345,4,75,0
38.568345,8,75,0
38.568345,16,75,0
38.568345,32,75,0
38.633651,32,75,1
38.698957,16,75,1
38.698957,32,75,2
38.764263,32,75,3
38.829569,8,75,1
38.829569,16,75,2
38.829569,32,75,4
38.894875,32,75,5
38.960181,16,75,3
38.960181,32,75,6
39.025488,32,75,7
39.090794,4,76,0
39.090794,8,76,0
39.090794,16,76,0
39.090794,32,76,0
39.153197,32,76,1
39.215601,16,76,1
39.215601,32,76,2
39.278005,32,76,3
39.340408,8,76,1
39.340408,16,76,2
39.340408,32,76,4
39.402812,32,76,5
39.465215,16,76,3
39.465215,32,76,6
39.527619,32,76,7
39.590023,4,77,0
39.590023,8,77,0
39.590023,16,77,0
39.590023,32,77,0
39.655329,32,77,1
39.720635,16,77,1
39.720635,32,77,2
39.785941,32,77,3
39.851247,8,77,1
39.851247,16,77,2
39.851247,32,77,4
39.916553,32,77,5
39.981859,16,77,3
39.981859,32,77,6
40.047166,32,77,7
40.112472,4,78,0
40.112472,8,78,0
40.112472,16,78,0
40.112472,32,78,0
40.176327,32,78,1
40.240181,16,78,1
40.240181,32,78,2
40.304036,32,78,3
40.367891,8,78,1
40.367891,16,78,2
40.367891,32,78,4
40.431746,32,78,5
40.495601,16,78,3
40.495601,32,78,6
40.559456,32,78,7
40.623311,4,79,0
40.623311,8,79,0
40.623311,16,79,0
40.623311,32,79,0
40.688617,32,79,1
40.753923,16,79,1
40.753923,32,79,2
40.819229,32,79,3
40.884535,8,79,1
40.884535,16,79,2
40.884535,32,79,4
40.949841,32,79,5
41.015147,16,79,3
41.015147,32,79,6
41.080454,32,79,7
41.145760,4,80,0
41.145760,8,80,0
41.145760,16,80,0
41.145760,32,80,0
41.208163,32,80,1
41.270567,16,80,1
41.270567,32,80,2
41.332971,32,80,3
41.395374,8,80,1
41.395374,16,80,2
41.395374,32,80,4
41.457778,32,80,5
41.520181,16,80,3
41.520181,32,80,6
41.582585,32,80,7
41.644989,4,81,0
41.644989,8,81,0
41.644989,16,81,0
41.644989,32,81,0
41.710295,32,81,1
41.775601,16,81,1
41.775601,32,81,2
41.840907,32,81,3
41.906213,8,81,1
41.906213,16,81,2
41.906213,32,81,4
41.971519,32,81,5
42.036825,16,81,3
42.036825,32,81,6
42.102132,32,81,7
42.167438,4,82,0
42.167438,8,82,0
42.167438,16,82,0
42.167438,32,82,0
42.231293,32,82,1
42.295147,16,82,1
42.295147,32,82,2
42.359002,32,82,3
42.422857,8,82,1
42.422857,16,82,2
42.422857,32,82,4
42.486712,32,82,5
42.550567,16,82,3
42.550567,32,82,6
42.614422,32,82,7
42.678277,4,83,0
42.678277,8,83,0
42.678277,16,83,0
42.678277,32,83,0
42.742132,32,83,1
42.805986,16,83,1
42.805986,32,83,2
42.869841,32,83,3
42.933696,8,83,1
42.933696,16,83,2
42.933696,32,83,4
42.997551,32,83,5
43.061406,16,83,3
43.061406,32,83,6
