start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
4.527891,4.643991,69.2957,37,C#2,0.5129
4.806531,4.945850,69.2957,37,C#2,0.6114
5.061950,5.154830,69.2957,37,C#2,0.5223
5.572789,5.712109,68.8965,37,C#2,0.6392
5.828209,5.921088,68.4997,37,C#2,0.6045
8.359184,8.475283,73.4162,38,D2,0.5617
8.614603,8.730703,72.1549,38,D2,0.6876
8.893243,9.032562,73.4162,38,D2,0.6463
9.125442,9.241542,72.1549,38,D2,0.5742
9.380862,9.496961,73.4162,38,D2,0.6489
9.682721,9.798821,72.9933,38,D2,0.4055
10.147120,10.286440,72.3639,38,D2,0.3612
10.402540,10.541859,72.5729,38,D2,0.6298
10.657959,10.774059,73.4162,38,D2,0.5892
10.936599,11.029478,73.6288,38,D2,0.7045
11.192018,11.284898,73.4162,38,D2,0.4491
12.213696,12.353016,72.9933,38,D2,0.5799
12.724535,12.840635,69.0961,37,C#2,0.3759
13.026395,13.142494,69.2957,37,C#2,0.6870
13.514014,13.606893,68.4997,37,C#2,0.6543
13.792653,13.931973,69.2957,37,C#2,0.6532
17.113107,17.252426,73.4162,38,D2,0.4098
17.879365,17.995465,73.4162,38,D2,0.5305
18.366984,18.529524,73.4162,38,D2,0.6474
18.622404,18.784943,73.4162,38,D2,0.6810
18.924263,19.040363,73.4162,38,D2,0.4310
19.156463,19.249342,73.4162,38,D2,0.5041
19.435102,19.551202,72.9933,38,D2,0.6489
20.433560,20.572880,73.2048,38,D2,0.5852
20.688980,20.828299,72.9933,38,D2,0.6750
20.921179,21.083719,73.4162,38,D2,0.6823
21.199819,21.339138,73.4162,38,D2,0.5676
21.432018,21.594558,73.4162,38,D2,0.4786
21.757098,21.849977,73.4162,38,D2,0.4801
21.966077,22.105397,73.6288,38,D2,0.4400
22.500136,22.616236,73.4162,38,D2,0.5523
22.732336,22.871655,73.4162,38,D2,0.6227
23.243175,23.405714,73.4162,38,D2,0.5723
23.521814,23.661134,73.4162,38,D2,0.6194
24.288073,24.427392,73.4162,38,D2,0.4741
24.520272,24.682812,73.4162,38,D2,0.5900
24.775692,24.915011,73.4162,38,D2,0.6010
25.031111,25.193651,73.4162,38,D2,0.5998
25.286531,25.449070,73.4162,38,D2,0.4268
26.076009,26.168889,65.7853,36,C2,0.4907
26.819048,26.981587,87.3071,41,F2,0.4852
27.074467,27.237007,87.3071,41,F2,0.5855
28.630204,28.769524,73.8415,38,D2,0.4829
30.185941,30.278821,73.4162,38,D2,0.3869
30.696780,30.836100,73.4162,38,D2,0.5011
30.928980,31.091519,73.4162,38,D2,0.6015
31.207619,31.346939,73.4162,38,D2,0.5964
31.463039,31.602358,72.9933,38,D2,0.5589
31.695238,31.857778,73.4162,38,D2,0.6349
31.973878,32.066757,73.4162,38,D2,0.4298
32.763356,32.879456,73.4162,38,D2,0.4633
32.972336,33.134875,73.4162,38,D2,0.7362
33.250975,33.390295,73.6288,38,D2,0.7337
33.506395,33.645714,73.4162,38,D2,0.5575
34.806712,34.899592,87.0556,41,F2,0.3856
35.038912,35.178231,87.0556,41,F2,0.6344
35.294331,35.456871,87.3071,41,F2,0.7552
35.572971,35.712290,86.8042,41,F2,0.5400
36.826848,36.989388,73.8415,38,D2,0.4968
37.337687,37.500227,73.8415,38,D2,0.4098
37.871746,37.964626,73.4162,38,D2,0.4297
38.127166,38.243265,73.4162,38,D2,0.5573
38.382585,38.475465,73.4162,38,D2,0.4696
39.125624,39.288163,73.4162,38,D2,0.6243
39.659683,39.799002,73.4162,38,D2,0.5648
39.891882,40.054422,73.4162,38,D2,0.5915
40.449161,40.588481,73.4162,38,D2,0.5069
40.681361,40.820680,73.4162,38,D2,0.5618
40.960000,41.076100,73.4162,38,D2,0.4173
41.192200,41.285079,87.8128,41,F2,0.3734
41.447619,41.610159,87.3071,41,F2,0.5795
41.703039,41.865578,87.3071,41,F2,0.7558
45.557551,45.696871,87.8128,41,F2,0.6292
45.836190,45.929070,86.8042,41,F2,0.4457
46.602449,46.718549,86.8042,41,F2,0.4925
54.079274,54.172154,116.8785,46,A#2,0.4738
56.981769,57.074649,176.6430,53,F3,0.5091
57.631927,57.724807,174.6141,53,F3,0.6014
67.361088,67.453968,73.4162,38,D2,0.4042
72.515918,72.655238,116.5409,46,A#2,0.5018
73.119637,73.282177,233.0819,58,A#3,0.3806
73.537596,73.909116,233.0819,58,A#3,0.6875
74.071655,74.280635,233.0819,58,A#3,0.6832
74.350295,74.791474,233.0819,58,A#3,0.6159
75.046893,75.464853,233.0819,58,A#3,0.5340
75.580952,75.743492,233.0819,58,A#3,0.6182
76.672290,76.997370,174.6141,53,F3,0.7125
77.090249,77.508209,165.7685,52,E3,0.6434
77.624308,77.740408,174.6141,53,F3,0.4388
77.856508,78.274467,174.6141,53,F3,0.8296
78.878186,79.040726,97.4344,43,G2,0.6547
80.503583,80.596463,174.6141,53,F3,0.5869
80.944762,81.107302,174.6141,53,F3,0.6489
81.362721,81.618141,164.8138,52,E3,0.7309
81.920000,82.384399,174.6141,53,F3,0.6491
82.732698,82.872018,97.4344,43,G2,0.6180
84.265215,84.404535,73.2048,38,D2,0.7347
85.542313,85.704853,164.8138,52,E3,0.6976
85.820952,85.960272,87.0556,41,F2,0.5810
86.053152,86.471111,87.3071,41,F2,0.6614
86.819410,86.935510,97.4344,43,G2,0.5831
87.074830,87.237370,97.4344,43,G2,0.5640
89.698685,89.814785,164.8138,52,E3,0.5866
89.884444,90.046984,87.0556,41,F2,0.4483
90.163084,90.581043,87.3071,41,F2,0.5654
91.184762,91.324082,97.4344,43,G2,0.4602
97.872109,97.964989,65.4064,36,C2,0.3894
99.172426,99.288526,65.4064,36,C2,0.4895
99.427846,99.543946,65.4064,36,C2,0.4690
100.681723,100.821043,73.2048,38,D2,0.6160
100.913923,101.030023,73.4162,38,D2,0.5628
101.726621,101.819501,73.4162,38,D2,0.4286
102.701859,102.864399,73.4162,38,D2,0.5106
103.003719,103.119819,73.4162,38,D2,0.3935
103.514558,103.607438,73.4162,38,D2,0.4479
104.513016,104.629116,73.4162,38,D2,0.4798
104.768435,104.907755,73.4162,38,D2,0.6120
105.047075,105.163175,73.4162,38,D2,0.5785
105.279274,105.418594,73.6288,38,D2,0.5716
106.068753,106.184853,73.4162,38,D2,0.3634
106.556372,106.718912,73.4162,38,D2,0.5609
106.811791,106.974331,72.9933,38,D2,0.6877
107.067211,107.252971,97.4344,43,G2,0.8774
107.322630,107.485170,97.9989,43,G2,0.4121
107.578050,107.740590,97.9989,43,G2,0.6189
107.810249,108.204989,195.9977,55,G3,0.5339
108.878367,109.017687,73.2048,38,D2,0.7347
109.110567,109.273107,73.4162,38,D2,0.6492
109.435646,109.528526,73.4162,38,D2,0.4138
109.644626,109.760726,65.4064,36,C2,0.4183
110.921723,111.084263,87.3071,41,F2,0.7073
111.153923,111.339683,87.3071,41,F2,0.7448
112.709660,112.848980,73.6288,38,D2,0.5981
113.266939,113.383039,73.8415,38,D2,0.4614
113.499138,113.638458,73.4162,38,D2,0.5848
114.033197,114.149297,73.4162,38,D2,0.4781
114.288617,114.404717,73.4162,38,D2,0.5248
115.031655,115.170975,73.4162,38,D2,0.4837
115.287075,115.426395,73.4162,38,D2,0.7016
115.821134,115.937234,73.4162,38,D2,0.6603
117.075011,117.214331,73.4162,38,D2,0.5887
117.330431,117.492971,73.8415,38,D2,0.5622
117.585850,117.748390,73.4162,38,D2,0.5076
118.352109,118.514649,65.7853,36,C2,0.5335
118.653968,118.770068,65.4064,36,C2,0.4760
118.886168,119.025488,86.8042,41,F2,0.6341
119.118367,119.280907,86.8042,41,F2,0.6092
119.373787,119.536327,87.3071,41,F2,0.6132
119.698866,119.791746,86.8042,41,F2,0.3477
120.929524,121.068844,73.6288,38,D2,0.6075
121.184943,121.324263,73.4162,38,D2,0.5577
121.417143,121.602902,73.8415,38,D2,0.6057
121.974422,122.067302,73.4162,38,D2,0.5680
122.229841,122.322721,73.4162,38,D2,0.4907
123.228299,123.367619,73.4162,38,D2,0.6878
123.506939,123.646259,73.8415,38,D2,0.5688
123.739138,123.901678,72.9933,38,D2,0.4686
