time,peak
0.000726,0.005061
0.002177,0.005681
0.003628,0.005681
0.005079,0.005371
0.006531,0.005371
0.007982,0.005268
0.009433,0.005165
0.010884,0.005165
0.012336,0.005268
0.013787,0.005268
0.015238,0.005165
0.016689,0.005061
0.018141,0.005165
0.019592,0.005216
0.021043,0.005113
0.022494,0.004958
0.023946,0.005423
0.025397,0.005010
0.026848,0.004958
0.028299,0.004907
0.029751,0.004958
0.031202,0.004958
0.032653,0.004958
0.034104,0.004855
0.035556,0.004958
0.037007,0.004958
0.038458,0.004907
0.039909,0.004907
0.041361,0.004958
0.042812,0.004958
0.044263,0.004907
0.045714,0.004907
0.047166,0.005268
0.048617,0.004958
0.050068,0.004907
0.051519,0.004855
0.052971,0.004958
0.054422,0.004958
0.055873,0.004907
0.057324,0.004855
0.058776,0.004958
0.060227,0.005010
0.061678,0.004958
0.063129,0.004958
0.064580,0.005010
0.066032,0.005061
0.067483,0.004907
0.068934,0.004907
0.070385,0.005371
0.071837,0.004958
0.073288,0.004958
0.074739,0.004855
0.076190,0.004958
0.077642,0.004958
0.079093,0.004907
0.080544,0.004958
0.081995,0.005061
0.083447,0.005061
0.084898,0.004958
0.086349,0.004958
0.087800,0.004958
0.089252,0.005061
0.090703,0.004958
0.092154,0.004855
0.093605,0.005475
0.095057,0.004958
0.096508,0.004958
0.097959,0.004907
0.099410,0.004907
0.100862,0.004958
0.102313,0.004907
0.103764,0.004958
0.105215,0.004958
0.106667,0.005113
0.108118,0.004958
0.109569,0.004958
0.111020,0.004958
0.112472,0.005113
0.113923,0.005061
0.115374,0.004855
0.116825,0.005630
0.118277,0.005113
0.119728,0.004958
0.121179,0.005010
0.122630,0.005010
0.124082,0.005061
0.125533,0.005061
0.126984,0.005061
0.128435,0.005113
0.129887,0.005165
0.131338,0.005061
0.132789,0.005061
0.134240,0.005165
0.135692,0.005165
0.137143,0.005010
0.138594,0.005061
0.140045,0.005423
0.141497,0.005268
0.142948,0.004958
0.144399,0.005113
0.145850,0.004958
0.147302,0.005320
0.148753,0.005371
0.150204,0.004855
0.151655,0.005165
0.153107,0.005216
0.154558,0.005320
0.156009,0.005216
0.157460,0.005061
0.158912,0.005423
0.160363,0.005268
0.161814,0.005061
0.163265,0.005475
0.164717,0.005165
0.166168,0.005423
0.167619,0.005165
0.169070,0.005475
0.170522,0.005320
0.171973,0.005216
0.173424,0.005371
0.174875,0.005320
0.176327,0.005475
0.177778,0.005475
0.179229,0.005216
0.180680,0.005526
