start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
0.208980,0.325079,316.5654,63,D#4,0.6343
0.325079,1.091338,341.2518,65,F4,0.8440
1.091338,1.439637,349.2282,65,F4,0.8145
1.509297,1.602177,397.7121,67,G4,0.3869
1.741497,1.834376,437.4658,69,A4,0.5336
1.927256,2.205896,431.1957,69,A4,0.6009
2.902494,3.157914,347.2168,65,F4,0.7132
3.343673,3.436553,347.2168,65,F4,0.4727
3.668753,4.388571,410.5345,68,G#4,0.7794
4.388571,4.481451,397.6988,67,G4,0.7041
4.806531,5.317370,355.3326,65,F4,0.5827
5.596009,5.735329,388.6153,67,G4,0.4098
5.758549,6.548027,410.5345,68,G#4,0.7004
6.548027,6.687347,393.1308,67,G4,0.8554
6.687347,6.896327,367.8634,66,F#4,0.5159
6.896327,7.523265,351.2513,65,F4,0.5573
7.825125,8.173424,349.2282,65,F4,0.5831
8.405624,8.521723,318.3992,63,D#4,0.6095
8.521723,9.287982,341.2518,65,F4,0.8407
9.287982,9.613061,349.2282,65,F4,0.8363
9.705941,9.798821,398.8540,67,G4,0.3881
9.798821,10.031020,436.2060,69,A4,0.4883
10.123900,10.402540,431.1957,69,A4,0.6520
11.099138,11.354558,347.2168,65,F4,0.6847
11.517098,11.633197,347.2168,65,F4,0.5791
11.865397,12.585215,410.5345,68,G#4,0.8362
12.585215,12.678095,397.6988,67,G4,0.7041
13.003175,13.514014,355.3326,65,F4,0.5786
13.769433,13.931973,391.9954,67,G4,0.4464
13.931973,14.744671,408.1700,68,G#4,0.7497
14.744671,14.883991,394.2728,67,G4,0.8339
15.487710,15.789569,351.2513,65,F4,0.4650
15.882449,16.323628,351.2513,65,F4,0.6826
16.416508,16.602268,355.3326,65,F4,0.4121
24.427392,24.520272,166.7288,52,E3,0.4298
25.797370,25.890249,194.8689,55,G3,0.5223
26.099229,26.192109,192.6306,55,G3,0.3599
26.284989,26.447528,193.7465,55,G3,0.4121
33.134875,33.459955,220.0000,57,A3,0.4108
36.826848,37.175147,218.7329,57,A3,0.4334
40.472381,40.588481,166.7288,52,E3,0.7004
41.633379,41.819138,231.7394,58,A#3,0.6025
42.399637,43.305215,220.0000,57,A3,0.4757
49.179864,49.342404,193.7465,55,G3,0.4135
49.737143,49.830023,173.6084,53,F3,0.3396
50.224762,50.410522,174.6141,53,F3,0.4616
50.549841,50.991020,173.6084,53,F3,0.3920
54.009615,54.102494,173.6084,53,F3,0.4126
56.772789,56.865669,145.9867,50,D3,0.4605
57.306848,57.399728,199.4237,55,G3,0.4763
58.398186,58.491066,149.8317,50,D3,0.3869
60.116463,60.255782,204.6761,56,G#3,0.4668
60.441542,60.604082,210.0652,56,G#3,0.6131
60.720181,60.836281,206.4564,56,G#3,0.4418
