time,peak
0.000726,0.005245
0.002177,0.003138
0.003628,0.002482
0.005079,0.002763
0.006531,0.002763
0.007982,0.002716
0.009433,0.002857
0.010884,0.002997
0.012336,0.002997
0.013787,0.002810
0.015238,0.003044
0.016689,0.003091
0.018141,0.003138
0.019592,0.003091
0.021043,0.003278
0.022494,0.003325
0.023946,0.003278
0.025397,0.003278
0.026848,0.003372
0.028299,0.003419
0.029751,0.003419
0.031202,0.003372
0.032653,0.003466
0.034104,0.003559
0.035556,0.003559
0.037007,0.003419
0.038458,0.003466
0.039909,0.003559
0.041361,0.003559
0.042812,0.003466
0.044263,0.003466
0.045714,0.003512
0.047166,0.003512
0.048617,0.003466
0.050068,0.003512
0.051519,0.003512
0.052971,0.003512
0.054422,0.003466
0.055873,0.003466
0.057324,0.003559
0.058776,0.003559
0.060227,0.003419
0.061678,0.003466
0.063129,0.003559
0.064580,0.003559
0.066032,0.003466
0.067483,0.003466
0.068934,0.003512
0.070385,0.003559
0.071837,0.003466
0.073288,0.003512
0.074739,0.003512
0.076190,0.003512
0.077642,0.003466
0.079093,0.003512
0.080544,0.003559
0.081995,0.003559
0.083447,0.003466
0.084898,0.003512
0.086349,0.003559
0.087800,0.003559
0.089252,0.003466
0.090703,0.003559
0.092154,0.003559
0.093605,0.003559
0.095057,0.003512
0.096508,0.003512
0.097959,0.003559
0.099410,0.003606
0.100862,0.003419
0.102313,0.003559
0.103764,0.003559
0.105215,0.003606
0.106667,0.003466
0.108118,0.003559
0.109569,0.003512
0.111020,0.003512
0.112472,0.003419
0.113923,0.003466
0.115374,0.003606
0.116825,0.003466
0.118277,0.003419
0.119728,0.003419
0.121179,0.003419
0.122630,0.003466
0.124082,0.003372
0.125533,0.003278
0.126984,0.003419
0.128435,0.003700
0.129887,0.003185
0.131338,0.003793
0.132789,0.003793
0.134240,0.003981
0.135692,0.003887
0.137143,0.003372
0.138594,0.003700
0.140045,0.003559
0.141497,0.003278
0.142948,0.003606
0.144399,0.003653
0.145850,0.003700
0.147302,0.004590
0.148753,0.004355
0.150204,0.004777
0.151655,0.012551
0.153107,0.012738
0.154558,0.052498
0.156009,0.029832
0.157460,0.042055
0.158912,0.058633
0.160363,0.032501
0.161814,0.050859
0.163265,0.036107
0.164717,0.049548
0.166168,0.040697
0.167619,0.042195
0.169070,0.058306
0.170522,0.045942
0.171973,0.053201
0.173424,0.050016
0.174875,0.045848
0.176327,0.053341
0.177778,0.031611
0.179229,0.039667
0.180680,0.039713
0.182132,0.035733
0.183583,0.042008
0.185034,0.031752
0.186485,0.033953
0.187937,0.031050
0.189388,0.027162
0.190839,0.038730
0.192290,0.032876
0.193741,0.046925
0.195193,0.037700
0.196644,0.028146
0.198095,0.049454
0.199546,0.050813
0.200998,0.055730
0.202449,0.046317
0.203900,0.045005
0.205351,0.046317
0.206803,0.048611
0.208254,0.055870
0.209705,0.069826
0.211156,0.069452
0.212608,0.052873
0.214059,0.091416
0.215510,0.067251
0.216961,0.094881
0.218413,0.074931
0.219864,0.101297
0.221315,0.090151
0.222766,0.104856
0.224218,0.088044
0.225669,0.110804
0.227120,0.107573
0.228571,0.104341
0.230023,0.108790
0.231474,0.093008
0.232925,0.114223
0.234376,0.087669
0.235828,0.107385
0.237279,0.072870
0.238730,0.107058
0.240181,0.105372
0.241633,0.063598
0.243084,0.098815
0.244535,0.070857
0.245986,0.106074
0.247438,0.068936
0.248889,0.084297
0.250340,0.054512
0.251791,0.067859
0.253243,0.045848
0.254694,0.057790
0.256145,0.044631
0.257596,0.046879
0.259048,0.043647
0.260499,0.067485
0.261950,0.031424
0.263401,0.084906
0.264853,0.042102
0.266304,0.098160
0.267755,0.071184
0.269206,0.065143
0.270658,0.095303
0.272109,0.052030
0.273560,0.083454
0.275011,0.047909
0.276463,0.079193
0.277914,0.063036
0.279365,0.090854
0.280816,0.080176
0.282268,0.096380
0.283719,0.092259
0.285170,0.097270
0.286621,0.099330
0.288073,0.073292
0.289524,0.107292
0.290975,0.088278
0.292426,0.103639
0.293878,0.085890
0.295329,0.107385
0.296780,0.075259
0.298231,0.088699
0.299683,0.061350
0.301134,0.068328
0.302585,0.060132
0.304036,0.050906
0.305488,0.048658
0.306939,0.061022
0.308390,0.054653
0.309841,0.061116
