time,peak
0.000726,0.010256
0.002177,0.010256
0.003628,0.010256
0.005079,0.005128
0.006531,0.010256
0.007982,0.010256
0.009433,0.005128
0.010884,0.010256
0.012336,0.005128
0.013787,0.015385
0.015238,0.010256
0.016689,0.020513
0.018141,0.030769
0.019592,0.005128
0.021043,0.005128
0.022494,0.010256
0.023946,0.005128
0.025397,0.010256
0.026848,0.010256
0.028299,0.010256
0.029751,0.010256
0.031202,0.010256
0.032653,0.005128
0.034104,0.010256
0.035556,0.005128
0.037007,0.015385
0.038458,0.010256
0.039909,0.015385
0.041361,0.030769
0.042812,0.005128
0.044263,0.005128
0.045714,0.010256
0.047166,0.010256
0.048617,0.010256
0.050068,0.010256
0.051519,0.005128
0.052971,0.005128
0.054422,0.010256
0.055873,0.010256
0.057324,0.010256
0.058776,0.005128
0.060227,0.015385
0.061678,0.015385
0.063129,0.020513
0.064580,0.025641
0.066032,0.005128
0.067483,0.010256
0.068934,0.010256
0.070385,0.010256
0.071837,0.010256
0.073288,0.010256
0.074739,0.015385
0.076190,0.015385
0.077642,0.015385
0.079093,0.010256
0.080544,0.010256
0.081995,0.010256
0.083447,0.015385
0.084898,0.015385
0.086349,0.030769
0.087800,0.041026
0.089252,0.010256
0.090703,0.010256
0.092154,0.015385
0.093605,0.010256
0.095057,0.010256
0.096508,0.010256
0.097959,0.010256
0.099410,0.010256
0.100862,0.020513
0.102313,0.020513
0.103764,0.015385
0.105215,0.010256
0.106667,0.010256
0.108118,0.015385
0.109569,0.035897
0.111020,0.076923
0.112472,0.015385
0.113923,0.010256
0.115374,0.020513
0.116825,0.010256
0.118277,0.010256
0.119728,0.010256
0.121179,0.015385
0.122630,0.015385
0.124082,0.015385
0.125533,0.020513
0.126984,0.025641
0.128435,0.025641
0.129887,0.041026
0.131338,0.030769
0.132789,0.056410
0.134240,0.107692
0.135692,0.020513
0.137143,0.041026
0.138594,0.020513
0.140045,0.020513
0.141497,0.030769
0.142948,0.010256
0.144399,0.020513
0.145850,0.020513
0.147302,0.015385
0.148753,0.035897
0.150204,0.035897
0.151655,0.041026
0.153107,0.035897
0.154558,0.020513
0.156009,0.041026
0.157460,0.071795
0.158912,0.092308
0.160363,0.076923
0.161814,0.041026
0.163265,0.020513
0.164717,0.025641
0.166168,0.020513
0.167619,0.046154
0.169070,0.030769
0.170522,0.035897
0.171973,0.035897
0.173424,0.030769
0.174875,0.030769
0.176327,0.061538
0.177778,0.030769
0.179229,0.076923
0.180680,0.153846
0.182132,0.030769
0.183583,0.041026
0.185034,0.041026
0.186485,0.030769
0.187937,0.056410
0.189388,0.056410
0.190839,0.046154
0.192290,0.035897
0.193741,0.046154
0.195193,0.035897
0.196644,0.041026
0.198095,0.051282
0.199546,0.035897
0.200998,0.097436
0.202449,0.087179
0.203900,0.066667
0.205351,0.030769
0.206803,0.030769
0.208254,0.020513
0.209705,0.056410
0.211156,0.046154
0.212608,0.066667
0.214059,0.025641
0.215510,0.020513
0.216961,0.020513
0.218413,0.030769
0.219864,0.041026
0.221315,0.046154
0.222766,0.035897
0.224218,0.020513
0.225669,0.056410
0.227120,0.066667
0.228571,0.020513
0.230023,0.066667
0.231474,0.082051
0.232925,0.046154
0.234376,0.056410
0.235828,0.056410
0.237279,0.046154
0.238730,0.041026
0.240181,0.025641
0.241633,0.020513
0.243084,0.061538
0.244535,0.076923
0.245986,0.082051
0.247438,0.092308
0.248889,0.051282
0.250340,0.087179
0.251791,0.076923
0.253243,0.061538
0.254694,0.082051
0.256145,0.087179
0.257596,0.051282
0.259048,0.046154
0.260499,0.056410
0.261950,0.061538
0.263401,0.061538
0.264853,0.041026
0.266304,0.041026
0.267755,0.056410
0.269206,0.046154
0.270658,0.097436
0.272109,0.082051
0.273560,0.082051
0.275011,0.061538
0.276463,0.025641
0.277914,0.030769
0.279365,0.035897
0.280816,0.046154
0.282268,0.041026
0.283719,0.061538
0.285170,0.035897
0.286621,0.041026
0.288073,0.066667
0.289524,0.015385
0.290975,0.066667
0.292426,0.025641
0.293878,0.030769
0.295329,0.041026
0.296780,0.066667
0.298231,0.030769
0.299683,0.056410
0.301134,0.046154
0.302585,0.030769
0.304036,0.030769
0.305488,0.041026
0.306939,0.061538
0.308390,0.056410
0.309841,0.051282
0.311293,0.051282
0.312744,0.020513
0.314195,0.035897
0.315646,0.030769
0.317098,0.082051
0.318549,0.061538
0.320000,0.071795
0.321451,0.056410
0.322902,0.035897
0.324354,0.035897
0.325805,0.041026
0.327256,0.035897
0.328707,0.046154
0.330159,0.056410
0.331610,0.051282
0.333061,0.061538
0.334512,0.030769
0.335964,0.066667
0.337415,0.061538
0.338866,0.025641
0.340317,0.035897
0.341769,0.041026
0.343220,0.066667
0.344671,0.061538
0.346122,0.056410
0.347574,0.061538
0.349025,0.025641
0.350476,0.046154
0.351927,0.046154
0.353379,0.066667
0.354830,0.066667
0.356281,0.071795
0.357732,0.082051
0.359184,0.082051
0.360635,0.082051
0.362086,0.066667
0.363537,0.076923
0.364989,0.076923
0.366440,0.092308
0.367891,0.046154
0.369342,0.061538
0.370794,0.071795
0.372245,0.082051
0.373696,0.061538
0.375147,0.046154
0.376599,0.046154
0.378050,0.035897
0.379501,0.025641
0.380952,0.066667
0.382404,0.066667
0.383855,0.082051
0.385306,0.030769
0.386757,0.051282
0.388209,0.046154
0.389660,0.071795
0.391111,0.066667
0.392562,0.066667
0.394014,0.056410
0.395465,0.051282
0.396916,0.071795
0.398367,0.051282
0.399819,0.051282
0.401270,0.051282
0.402721,0.061538
0.404172,0.061538
0.405624,0.066667
0.407075,0.076923
0.408526,0.051282
0.409977,0.041026
0.411429,0.025641
0.412880,0.025641
0.414331,0.030769
0.415782,0.025641
0.417234,0.051282
0.418685,0.046154
0.420136,0.035897
0.421587,0.061538
0.423039,0.025641
0.424490,0.035897
0.425941,0.056410
0.427392,0.056410
0.428844,0.061538
0.430295,0.076923
0.431746,0.056410
0.433197,0.092308
0.434649,0.076923
0.436100,0.056410
0.437551,0.056410
0.439002,0.051282
0.440454,0.046154
0.441905,0.051282
0.443356,0.056410
0.444807,0.066667
0.446259,0.051282
0.447710,0.030769
0.449161,0.041026
0.450612,0.051282
0.452063,0.087179
0.453515,0.051282
0.454966,0.061538
0.456417,0.041026
0.457868,0.061538
0.459320,0.071795
0.460771,0.056410
0.462222,0.051282
0.463673,0.071795
0.465125,0.025641
0.466576,0.051282
0.468027,0.041026
0.469478,0.061538
0.470930,0.066667
0.472381,0.056410
0.473832,0.056410
0.475283,0.076923
0.476735,0.082051
0.478186,0.066667
0.479637,0.061538
0.481088,0.066667
0.482540,0.087179
0.483991,0.046154
0.485442,0.030769
0.486893,0.066667
0.488345,0.076923
0.489796,0.071795
0.491247,0.061538
0.492698,0.046154
0.494150,0.046154
0.495601,0.035897
0.497052,0.046154
0.498503,0.046154
0.499955,0.082051
0.501406,0.025641
0.502857,0.035897
0.504308,0.041026
0.505760,0.076923
0.507211,0.076923
0.508662,0.030769
0.510113,0.035897
0.511565,0.025641
0.513016,0.046154
0.514467,0.056410
0.515918,0.066667
0.517370,0.046154
0.518821,0.041026
0.520272,0.030769
0.521723,0.035897
0.523175,0.035897
0.524626,0.030769
0.526077,0.030769
0.527528,0.025641
0.528980,0.035897
0.530431,0.025641
0.531882,0.066667
0.533333,0.046154
0.534785,0.030769
0.536236,0.035897
