time,peak
0.000726,0.000067
0.002177,0.000067
0.003628,0.000050
0.005079,0.000083
0.006531,0.000050
0.007982,0.000067
0.009433,0.000050
0.010884,0.000067
0.012336,0.000117
0.013787,0.000050
0.015238,0.000083
0.016689,0.000167
0.018141,0.000184
0.019592,0.000117
0.021043,0.000083
0.022494,0.000067
0.023946,0.000067
0.025397,0.000067
0.026848,0.000050
0.028299,0.000083
0.029751,0.000050
0.031202,0.000067
0.032653,0.000050
0.034104,0.000067
0.035556,0.000117
0.037007,0.000050
0.038458,0.000083
0.039909,0.000200
0.041361,0.000184
0.042812,0.000117
0.044263,0.000067
0.045714,0.000083
0.047166,0.000067
0.048617,0.000067
0.050068,0.000033
0.051519,0.000067
0.052971,0.000050
0.054422,0.000067
0.055873,0.000033
0.057324,0.000067
0.058776,0.000134
0.060227,0.000033
0.061678,0.000100
0.063129,0.000234
0.064580,0.000150
0.066032,0.000117
0.067483,0.000100
0.068934,0.000100
0.070385,0.000083
0.071837,0.000083
0.073288,0.000050
0.074739,0.000083
0.076190,0.000100
0.077642,0.000033
0.079093,0.000050
0.080544,0.000083
0.081995,0.000083
0.083447,0.000083
0.084898,0.000134
0.086349,0.000184
0.087800,0.000150
0.089252,0.000134
0.090703,0.000083
0.092154,0.000067
0.093605,0.000117
0.095057,0.000050
0.096508,0.000083
0.097959,0.000050
0.099410,0.000083
0.100862,0.000083
0.102313,0.000117
0.103764,0.000134
0.105215,0.000117
0.106667,0.000117
0.108118,0.000134
0.109569,0.000200
0.111020,0.000150
0.112472,0.000267
0.113923,0.000167
0.115374,0.000100
0.116825,0.000150
0.118277,0.000117
0.119728,0.000117
0.121179,0.000150
0.122630,0.000167
0.124082,0.000083
0.125533,0.000117
0.126984,0.000134
0.128435,0.000117
0.129887,0.000100
0.131338,0.000150
0.132789,0.000200
0.134240,0.000250
0.135692,0.000150
0.137143,0.000134
0.138594,0.000184
0.140045,0.000167
0.141497,0.000200
0.142948,0.000100
0.144399,0.000117
0.145850,0.000100
0.147302,0.000134
0.148753,0.000100
0.150204,0.000083
0.151655,0.000083
0.153107,0.000234
0.154558,0.000367
0.156009,0.000484
0.157460,0.000384
0.158912,0.000401
0.160363,0.000367
0.161814,0.000401
0.163265,0.000150
0.164717,0.000134
0.166168,0.000150
0.167619,0.000117
0.169070,0.000067
0.170522,0.000317
0.171973,0.000301
0.173424,0.000534
0.174875,0.000534
0.176327,0.000301
0.177778,0.000334
0.179229,0.000468
0.180680,0.000417
0.182132,0.000167
0.183583,0.000134
0.185034,0.000117
0.186485,0.000200
0.187937,0.000117
0.189388,0.000250
0.190839,0.000134
0.192290,0.000134
0.193741,0.000184
0.195193,0.000083
0.196644,0.000217
0.198095,0.000317
0.199546,0.000284
0.200998,0.000267
0.202449,0.000167
0.203900,0.000284
0.205351,0.000301
0.206803,0.000284
0.208254,0.000301
0.209705,0.000250
0.211156,0.000150
0.212608,0.000301
0.214059,0.000250
0.215510,0.000401
0.216961,0.000484
0.218413,0.000317
0.219864,0.000401
0.221315,0.000284
0.222766,0.000250
0.224218,0.000217
0.225669,0.000200
0.227120,0.000200
0.228571,0.000217
0.230023,0.000267
0.231474,0.000301
0.232925,0.000117
0.234376,0.000117
0.235828,0.000167
0.237279,0.000117
0.238730,0.000134
0.240181,0.000184
0.241633,0.000284
0.243084,0.000250
0.244535,0.000150
0.245986,0.000234
0.247438,0.000184
0.248889,0.000417
0.250340,0.000301
0.251791,0.000234
0.253243,0.000267
0.254694,0.000234
0.256145,0.000301
0.257596,0.000234
0.259048,0.000451
0.260499,0.000484
0.261950,0.000267
0.263401,0.000534
0.264853,0.000317
0.266304,0.000267
0.267755,0.000184
0.269206,0.000150
0.270658,0.000100
0.272109,0.000100
0.273560,0.000317
0.275011,0.000301
0.276463,0.000234
0.277914,0.000184
0.279365,0.000184
0.280816,0.000083
0.282268,0.000100
0.283719,0.000184
0.285170,0.000184
0.286621,0.000250
0.288073,0.000217
0.289524,0.000250
0.290975,0.000117
0.292426,0.000217
0.293878,0.000234
0.295329,0.000234
0.296780,0.000134
0.298231,0.000134
0.299683,0.000134
0.301134,0.000184
0.302585,0.000150
0.304036,0.000200
0.305488,0.000200
0.306939,0.000150
0.308390,0.000334
0.309841,0.000267
0.311293,0.000217
0.312744,0.000217
0.314195,0.000284
0.315646,0.000334
0.317098,0.000334
0.318549,0.000250
0.320000,0.000184
0.321451,0.000134
0.322902,0.000067
0.324354,0.000184
0.325805,0.000250
0.327256,0.000301
0.328707,0.000284
0.330159,0.000334
0.331610,0.000217
0.333061,0.000301
0.334512,0.000317
0.335964,0.000534
0.337415,0.000501
0.338866,0.000200
0.340317,0.000184
0.341769,0.000234
0.343220,0.000267
0.344671,0.000200
0.346122,0.000267
0.347574,0.000117
0.349025,0.000250
0.350476,0.000234
0.351927,0.000267
0.353379,0.000200
0.354830,0.000250
0.356281,0.000167
0.357732,0.000167
0.359184,0.000267
0.360635,0.000267
0.362086,0.000384
0.363537,0.000451
0.364989,0.000267
0.366440,0.000334
0.367891,0.000234
0.369342,0.000234
0.370794,0.000267
0.372245,0.000351
0.373696,0.000267
0.375147,0.000367
0.376599,0.000384
0.378050,0.000167
0.379501,0.000234
0.380952,0.000250
0.382404,0.000200
0.383855,0.000200
0.385306,0.000184
0.386757,0.000167
0.388209,0.000267
0.389660,0.000234
0.391111,0.000317
0.392562,0.000167
0.394014,0.000150
0.395465,0.000083
0.396916,0.000134
0.398367,0.000234
0.399819,0.000217
0.401270,0.000200
0.402721,0.000234
0.404172,0.000117
0.405624,0.000234
0.407075,0.000117
0.408526,0.000384
0.409977,0.000334
0.411429,0.000417
0.412880,0.000367
0.414331,0.000167
0.415782,0.000150
0.417234,0.000267
0.418685,0.000217
0.420136,0.000234
0.421587,0.000267
0.423039,0.000267
0.424490,0.000267
0.425941,0.000284
0.427392,0.000284
0.428844,0.000200
0.430295,0.000301
0.431746,0.000284
0.433197,0.000334
0.434649,0.000284
0.436100,0.000167
0.437551,0.000284
0.439002,0.000267
0.440454,0.000217
0.441905,0.000184
0.443356,0.000167
0.444807,0.000167
0.446259,0.000150
0.447710,0.000250
0.449161,0.000401
0.450612,0.000367
0.452063,0.000584
0.453515,0.000451
0.454966,0.000468
0.456417,0.000200
0.457868,0.000334
0.459320,0.000234
0.460771,0.000317
0.462222,0.000234
0.463673,0.000334
0.465125,0.000117
0.466576,0.000200
0.468027,0.000150
0.469478,0.000284
0.470930,0.000317
0.472381,0.000267
0.473832,0.000200
0.475283,0.000384
0.476735,0.000401
0.478186,0.000384
0.479637,0.000351
0.481088,0.000367
0.482540,0.000284
0.483991,0.000200
0.485442,0.000234
0.486893,0.000250
0.488345,0.000234
0.489796,0.000334
0.491247,0.000250
0.492698,0.000184
0.494150,0.000150
0.495601,0.000217
0.497052,0.000250
0.498503,0.000234
0.499955,0.000200
0.501406,0.000150
0.502857,0.000117
0.504308,0.000167
0.505760,0.000234
0.507211,0.000267
0.508662,0.000184
0.510113,0.000234
0.511565,0.000150
0.513016,0.000217
0.514467,0.000134
0.515918,0.000184
0.517370,0.000117
0.518821,0.000217
0.520272,0.000117
0.521723,0.000284
0.523175,0.000234
0.524626,0.000217
0.526077,0.000083
0.527528,0.000150
0.528980,0.000150
0.530431,0.000117
0.531882,0.000117
0.533333,0.000150
0.534785,0.000234
0.536236,0.000250
0.537687,0.000250
0.539138,0.000250
0.540590,0.000284
0.542041,0.000267
0.543492,0.000334
0.544943,0.000134
0.546395,0.000200
0.547846,0.000167
0.549297,0.000117
0.550748,0.000134
0.552200,0.000134
0.553651,0.000134
0.555102,0.000150
0.556553,0.000100
0.558005,0.000167
0.559456,0.000234
0.560907,0.000167
0.562358,0.000134
0.563810,0.000167
0.565261,0.000167
0.566712,0.000150
0.568163,0.000167
0.569615,0.000117
0.571066,0.000083
0.572517,0.000100
0.573968,0.000117
0.575420,0.000150
0.576871,0.000100
0.578322,0.000167
0.579773,0.000134
0.581224,0.000200
0.582676,0.000150
0.584127,0.000200
0.585578,0.000150
0.587029,0.000100
0.588481,0.000184
0.589932,0.000100
0.591383,0.000234
0.592834,0.000150
0.594286,0.000200
0.595737,0.000200
0.597188,0.000317
0.598639,0.000317
0.600091,0.000167
0.601542,0.000150
0.602993,0.000167
0.604444,0.000217
0.605896,0.000117
0.607347,0.000167
0.608798,0.000134
0.610249,0.000184
0.611701,0.000184
0.613152,0.000234
0.614603,0.000100
0.616054,0.000184
0.617506,0.000184
0.618957,0.000284
0.620408,0.000434
0.621859,0.000334
0.623311,0.000317
0.624762,0.000334
0.626213,0.000234
0.627664,0.000184
0.629116,0.000167
0.630567,0.000234
0.632018,0.000184
0.633469,0.000284
0.634921,0.000184
0.636372,0.000167
0.637823,0.000234
0.639274,0.000167
0.640726,0.000184
0.642177,0.000284
0.643628,0.000317
0.645079,0.000200
0.646531,0.000334
0.647982,0.000100
0.649433,0.000184
0.650884,0.000150
0.652336,0.000217
0.653787,0.000200
0.655238,0.000150
0.656689,0.000317
0.658141,0.000367
0.659592,0.000401
0.661043,0.000134
0.662494,0.000100
0.663946,0.000083
0.665397,0.000134
0.666848,0.000267
0.668299,0.000267
0.669751,0.000150
0.671202,0.000351
0.672653,0.000200
0.674104,0.000217
0.675556,0.000217
0.677007,0.000117
0.678458,0.000217
0.679909,0.000200
0.681361,0.000200
0.682812,0.000217
0.684263,0.000200
0.685714,0.000200
0.687166,0.000117
0.688617,0.000134
0.690068,0.000384
0.691519,0.000367
0.692971,0.000184
0.694422,0.000167
0.695873,0.000217
0.697324,0.000184
0.698776,0.000134
0.700227,0.000117
0.701678,0.000100
0.703129,0.000184
0.704580,0.000150
0.706032,0.000150
0.707483,0.000150
0.708934,0.000134
0.710385,0.000134
0.711837,0.000200
0.713288,0.000117
0.714739,0.000234
0.716190,0.000167
0.717642,0.000184
0.719093,0.000200
0.720544,0.000267
0.721995,0.000267
0.723447,0.000117
0.724898,0.000100
0.726349,0.000134
0.727800,0.000150
0.729252,0.000134
0.730703,0.000200
0.732154,0.000217
0.733605,0.000184
0.735057,0.000134
0.736508,0.000083
0.737959,0.000217
0.739410,0.000184
0.740862,0.000284
0.742313,0.000100
0.743764,0.000134
0.745215,0.000184
0.746667,0.000200
0.748118,0.000267
0.749569,0.000083
0.751020,0.000100
0.752472,0.000100
0.753923,0.000150
0.755374,0.000167
0.756825,0.000167
0.758277,0.000117
0.759728,0.000184
0.761179,0.000234
0.762630,0.000250
0.764082,0.000250
0.765533,0.000200
0.766984,0.000301
0.768435,0.000284
0.769887,0.000217
0.771338,0.000167
0.772789,0.000150
0.774240,0.000150
0.775692,0.000184
0.777143,0.000134
0.778594,0.000134
0.780045,0.000100
0.781497,0.000134
0.782948,0.000267
0.784399,0.000217
0.785850,0.000150
0.787302,0.000134
0.788753,0.000200
0.790204,0.000234
0.791655,0.000301
0.793107,0.000134
0.794558,0.000184
0.796009,0.000100
0.797460,0.000117
0.798912,0.000217
0.800363,0.000134
0.801814,0.000184
0.803265,0.000100
0.804717,0.000117
0.806168,0.000134
0.807619,0.000150
0.809070,0.000117
0.810522,0.000184
0.811973,0.000134
0.813424,0.000284
0.814875,0.000267
0.816327,0.000301
0.817778,0.000134
0.819229,0.000150
0.820680,0.000167
0.822132,0.000267
0.823583,0.000117
0.825034,0.000134
0.826485,0.000150
0.827937,0.000200
0.829388,0.000217
0.830839,0.000250
0.832290,0.000234
0.833741,0.000150
0.835193,0.000067
0.836644,0.000150
0.838095,0.000117
0.839546,0.000234
0.840998,0.000217
0.842449,0.000250
0.843900,0.000167
0.845351,0.000117
0.846803,0.000117
0.848254,0.000083
0.849705,0.000067
0.851156,0.000134
0.852608,0.000250
0.854059,0.000217
0.855510,0.000167
0.856961,0.000134
0.858413,0.000150
0.859864,0.000117
0.861315,0.000083
0.862766,0.000100
0.864218,0.000150
0.865669,0.000100
0.867120,0.000134
0.868571,0.000083
0.870023,0.000100
0.871474,0.000134
0.872925,0.000150
0.874376,0.000134
0.875828,0.000167
0.877279,0.000284
0.878730,0.000167
0.880181,0.000167
0.881633,0.000117
0.883084,0.000184
0.884535,0.000150
0.885986,0.000150
0.887438,0.000117
0.888889,0.000134
0.890340,0.000184
0.891791,0.000150
0.893243,0.000167
0.894694,0.000134
0.896145,0.000083
0.897596,0.000134
0.899048,0.000217
0.900499,0.000217
0.901950,0.000083
0.903401,0.000117
0.904853,0.000117
0.906304,0.000167
0.907755,0.000100
0.909206,0.000267
0.910658,0.000200
0.912109,0.000217
0.913560,0.000083
0.915011,0.000067
0.916463,0.000134
0.917914,0.000134
0.919365,0.000067
0.920816,0.000234
0.922268,0.000301
0.923719,0.000267
0.925170,0.000134
0.926621,0.000200
0.928073,0.000117
0.929524,0.000184
0.930975,0.000150
0.932426,0.000150
0.933878,0.000167
0.935329,0.000367
0.936780,0.000284
0.938231,0.000317
0.939683,0.000234
0.941134,0.000134
0.942585,0.000050
0.944036,0.000234
0.945488,0.000267
0.946939,0.000401
0.948390,0.000200
0.949841,0.000217
0.951293,0.000167
0.952744,0.000134
0.954195,0.000100
0.955646,0.000217
0.957098,0.000100
0.958549,0.000134
0.960000,0.000117
0.961451,0.000150
0.962902,0.000167
0.964354,0.000200
0.965805,0.000117
0.967256,0.000117
0.968707,0.000150
0.970159,0.000150
0.971610,0.000200
0.973061,0.000134
0.974512,0.000134
0.975964,0.000167
0.977415,0.000167
0.978866,0.000200
0.980317,0.000134
0.981769,0.000267
0.983220,0.000284
0.984671,0.000250
0.986122,0.000117
0.987574,0.000117
0.989025,0.000117
0.990476,0.000150
0.991927,0.000167
0.993379,0.000184
0.994830,0.000234
0.996281,0.000217
0.997732,0.000184
0.999184,0.000150
1.000635,0.000117
1.002086,0.000150
1.003537,0.000150
1.004989,0.000334
1.006440,0.000284
1.007891,0.000267
1.009342,0.000117
1.010794,0.000184
1.012245,0.000117
1.013696,0.000184
1.015147,0.000167
1.016599,0.000234
1.018050,0.000301
1.019501,0.000234
1.020952,0.000150
1.022404,0.000134
1.023855,0.000301
1.025306,0.000267
1.026757,0.000184
1.028209,0.000250
1.029660,0.000200
1.031111,0.000334
1.032562,0.000184
1.034014,0.000150
1.035465,0.000184
1.036916,0.000184
1.038367,0.000134
1.039819,0.000217
1.041270,0.000117
1.042721,0.000150
1.044172,0.000200
1.045624,0.000234
1.047075,0.000184
1.048526,0.000200
1.049977,0.000250
1.051429,0.000250
1.052880,0.000184
1.054331,0.000184
1.055782,0.000250
1.057234,0.000117
1.058685,0.000134
1.060136,0.000150
1.061587,0.000150
1.063039,0.000184
1.064490,0.000200
1.065941,0.000083
1.067392,0.000100
1.068844,0.000150
1.070295,0.000167
1.071746,0.000150
1.073197,0.000184
1.074649,0.000167
1.076100,0.000200
1.077551,0.000134
1.079002,0.000167
1.080454,0.000117
1.081905,0.000117
1.083356,0.000150
1.084807,0.000134
1.086259,0.000117
1.087710,0.000217
1.089161,0.000150
1.090612,0.000217
1.092063,0.000117
1.093515,0.000150
1.094966,0.000134
1.096417,0.000234
1.097868,0.000234
1.099320,0.000200
1.100771,0.000150
1.102222,0.000134
1.103673,0.000100
1.105125,0.000117
1.106576,0.000184
1.108027,0.000184
1.109478,0.000167
1.110930,0.000150
1.112381,0.000317
1.113832,0.000217
1.115283,0.000217
1.116735,0.000134
1.118186,0.000184
1.119637,0.000150
1.121088,0.000234
1.122540,0.000184
1.123991,0.000167
1.125442,0.000200
1.126893,0.000134
1.128345,0.000117
1.129796,0.000200
1.131247,0.000234
1.132698,0.000184
1.134150,0.000150
1.135601,0.000184
1.137052,0.000150
1.138503,0.000317
1.139955,0.000100
1.141406,0.000134
1.142857,0.000134
1.144308,0.000117
1.145760,0.000100
1.147211,0.000250
1.148662,0.000167
1.150113,0.000250
1.151565,0.000167
1.153016,0.000167
1.154467,0.000150
1.155918,0.000200
1.157370,0.000100
1.158821,0.000217
1.160272,0.000100
1.161723,0.000217
1.163175,0.000267
1.164626,0.000134
1.166077,0.000167
1.167528,0.000100
1.168980,0.000184
1.170431,0.000134
1.171882,0.000234
1.173333,0.000167
1.174785,0.000100
1.176236,0.000167
1.177687,0.000150
1.179138,0.000134
1.180590,0.000167
1.182041,0.000167
1.183492,0.000117
1.184943,0.000184
1.186395,0.000184
1.187846,0.000083
1.189297,0.000117
1.190748,0.000150
1.192200,0.000067
1.193651,0.000184
1.195102,0.000167
1.196553,0.000083
1.198005,0.000134
1.199456,0.000200
1.200907,0.000117
1.202358,0.000134
1.203810,0.000167
1.205261,0.000200
1.206712,0.000217
1.208163,0.000167
1.209615,0.000250
1.211066,0.000334
1.212517,0.000200
1.213968,0.000234
1.215420,0.000117
1.216871,0.000117
1.218322,0.000184
1.219773,0.000067
1.221224,0.000200
1.222676,0.000167
1.224127,0.000134
1.225578,0.000134
1.227029,0.000117
1.228481,0.000083
1.229932,0.000083
1.231383,0.000217
1.232834,0.000200
1.234286,0.000150
1.235737,0.000117
1.237188,0.000184
1.238639,0.000317
1.240091,0.000267
1.241542,0.000117
1.242993,0.000134
1.244444,0.000167
1.245896,0.000134
1.247347,0.000150
1.248798,0.000234
1.250249,0.000117
1.251701,0.000184
1.253152,0.000200
1.254603,0.000234
1.256054,0.000150
1.257506,0.000100
1.258957,0.000100
1.260408,0.000100
1.261859,0.000150
1.263311,0.000184
1.264762,0.000234
1.266213,0.000250
1.267664,0.000134
1.269116,0.000184
