index,start_time,duration,energy,centroid_hz,rolloff_hz,bandwidth_hz,zcr,pitch_hz,pitch_confidence,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_bucket,brightness_bucket,energy_bucket,duration_bucket,transient_cluster,transient_cluster_k2,transient_cluster_k3,transient_cluster_k4,transient_cluster_k5,transient_cluster_k6,transient_cluster_k7,transient_cluster_k8
0,18.901043,0.325079,0.028488,6859.681,10586.911,3576.341,0.274246,,0.0000,-438.143158,15.571562,-27.381979,65.181534,-11.648659,28.901159,-6.314074,1.620300,-1.957879,0.196170,-8.138871,-3.844314,-0.804048,unpitched,bright,soft,long,4,1,2,3,4,4,4,4
1,19.226122,0.290249,0.008194,7786.895,11566.643,3648.892,0.316218,,0.0000,-559.561157,-45.246254,-21.879965,97.171188,-25.829010,16.591814,-15.361191,16.971722,-15.249244,6.698987,-1.738734,4.037879,-1.364824,unpitched,bright,soft,medium,1,0,0,0,1,1,1,1
2,19.516372,0.278639,0.096517,4581.145,10036.195,4722.747,0.045391,,0.0000,-396.639954,20.455013,17.755934,73.713280,13.059402,23.996376,12.773426,21.911533,2.980135,12.741063,13.193043,8.361514,8.619669,unpitched,bright,loud,short,1,0,0,0,1,1,1,1
3,19.795011,0.050000,0.000807,5994.722,11382.451,4800.038,0.126953,,0.0000,-581.883301,46.153076,-3.209727,71.166496,3.782681,12.834885,-3.795352,20.720821,-9.710288,6.760311,1.249119,-1.717647,0.157679,unpitched,bright,soft,short,2,1,2,1,2,2,2,2
4,19.841451,0.255420,0.102971,3161.433,6732.403,3825.434,0.048128,,0.0000,-429.642792,36.637489,18.532829,68.603699,20.296040,20.198135,19.669434,19.484663,5.688265,14.169204,14.879022,8.566597,10.073899,unpitched,dark,loud,short,0,0,0,0,0,0,0,0
5,20.096871,0.359909,0.026092,6507.486,10518.297,3811.216,0.258026,,0.0000,-444.003510,31.165354,-24.610992,61.589294,-8.116114,20.057644,-6.250444,1.034050,-1.777728,0.351194,-5.093057,-3.206328,0.079027,unpitched,bright,soft,long,4,1,2,3,4,4,4,4
6,20.456780,0.278639,0.008181,7938.113,11806.225,3727.272,0.314414,,0.0000,-558.915833,-47.828838,-14.378244,100.196945,-20.510448,20.748137,-13.697832,18.628897,-14.102914,11.509771,-0.568192,6.119597,0.000505,unpitched,bright,soft,short,0,0,0,0,0,0,0,0
7,20.735420,0.278639,0.096724,5016.561,10437.574,4701.078,0.068477,,0.0000,-407.075073,8.160771,10.127300,68.278580,13.886600,25.874321,13.123425,22.403637,3.176733,12.067719,12.874267,8.750297,8.373873,unpitched,bright,loud,short,0,0,0,0,0,0,0,0
8,21.014059,0.050000,0.004327,7006.398,11623.623,4198.287,0.183008,,0.0000,-523.388184,17.103924,-17.406315,74.964317,-12.852318,10.151978,-10.180525,14.535820,-12.904698,6.595887,-4.293417,-4.108115,-4.895242,unpitched,bright,soft,short,2,1,2,1,2,2,2,2
9,21.048889,0.255420,0.104524,3207.190,6664.994,3774.659,0.045410,,0.0000,-431.632477,33.582348,17.160995,67.867050,20.004749,21.375351,20.687925,20.780634,7.255129,15.060587,15.389100,7.724129,10.202226,unpitched,dark,loud,short,0,0,0,0,0,0,0,0
10,21.304308,0.359909,0.027410,6529.599,10463.118,3764.075,0.259872,,0.0000,-444.941895,29.471478,-21.647772,59.952507,-7.952477,23.338041,-0.757049,3.406432,-0.835660,-1.059508,-5.667328,-3.655193,0.473358,unpitched,bright,soft,long,4,1,2,3,4,4,4,4
11,21.664218,0.278639,0.008417,7648.509,11538.352,3734.260,0.302578,,0.0000,-529.295532,-32.601494,-26.664240,92.410500,-18.554630,21.224970,-15.087200,17.462481,-15.105265,8.267337,-2.862686,2.804708,-1.936991,unpitched,bright,soft,short,0,0,0,0,0,0,0,0
12,21.942857,0.301859,0.089100,4987.035,10448.389,4743.576,0.060601,,0.0000,-415.671265,10.052168,12.135830,66.036774,12.353904,23.146334,11.649683,20.719957,3.638407,13.362457,15.036027,10.353148,9.244868,unpitched,bright,medium,long,3,0,1,2,3,3,3,3
13,22.244717,0.278639,0.096829,3363.492,6837.223,3835.162,0.056426,,0.0000,-439.046631,32.901157,17.022808,64.912956,20.258720,20.869244,20.966660,19.462399,5.977347,14.382249,15.410954,10.214867,10.647425,unpitched,dark,loud,short,1,0,0,0,1,1,1,1
14,22.523356,0.336689,0.029001,6281.395,10129.516,3686.345,0.255573,,0.0000,-419.883911,31.544945,-31.251297,66.896362,-6.262885,21.299252,-8.712878,2.772913,-4.080442,-3.190831,-7.584494,-4.636438,-1.244799,unpitched,bright,medium,long,4,1,2,3,4,4,4,4
15,22.860045,0.278639,0.008507,7674.271,11554.717,3753.145,0.306543,,0.0000,-522.449280,-36.902573,-33.016563,90.134422,-11.391650,26.093468,-14.734688,16.898182,-12.627671,8.139661,-3.487587,3.632980,-0.376814,unpitched,bright,soft,medium,0,0,0,0,0,0,0,0
16,23.138685,0.050000,0.002558,4831.721,9018.105,4164.106,0.090234,,0.0000,-530.738831,82.977196,-39.148014,54.595997,1.732035,4.558358,-8.804708,1.744636,-15.256482,-0.505453,-1.059215,-16.414560,-4.668494,unpitched,bright,soft,short,2,1,2,1,2,2,2,2
17,23.173515,0.290249,0.092382,5168.764,10502.406,4605.681,0.079458,,0.0000,-414.274414,8.106879,10.553427,69.187004,12.116171,22.302540,11.828980,22.159824,3.314851,12.630256,13.152137,8.268632,8.215122,unpitched,bright,medium,medium,1,0,0,0,1,1,1,1
18,23.463764,0.255420,0.104366,3108.201,6447.790,3699.764,0.050442,,0.0000,-429.297546,33.464134,14.180965,68.806213,22.492935,21.925873,20.412867,20.092020,5.208662,14.415042,13.997203,8.132028,10.737540,unpitched,dark,loud,short,0,0,0,0,0,0,0,0
19,23.719184,0.050000,0.000652,5199.816,9733.008,4235.851,0.119238,,0.0000,-593.375488,75.805466,-27.922186,53.461109,-12.126920,21.086712,-9.084986,11.392690,-11.911334,7.422504,-8.388855,-4.524164,-2.659861,unpitched,bright,soft,short,2,1,2,1,2,2,2,2
20,23.754014,0.290249,0.031578,6451.869,10199.284,3584.484,0.257756,,0.0000,-410.887756,26.298119,-33.142952,71.414719,-5.157595,32.512394,-5.630204,4.674677,-2.513745,-0.517869,-7.839631,-3.287619,-2.647758,unpitched,bright,medium,medium,1,0,0,0,1,1,1,1
21,24.044263,0.050000,0.000522,6940.354,11520.264,4206.393,0.207617,,0.0000,-613.732056,15.569441,-23.365896,74.297813,-6.264329,17.665606,-10.104167,19.575970,-9.409157,7.363573,-1.912274,7.703590,3.694856,unpitched,bright,soft,short,2,1,2,1,2,2,2,2
22,24.090703,0.290249,0.008111,7486.546,11313.214,3720.224,0.300537,,0.0000,-539.533997,-37.505661,-27.740984,96.446487,-11.732367,26.036640,-10.265503,19.068283,-13.407622,8.692519,-1.445847,3.622176,-1.730114,unpitched,bright,soft,medium,1,0,0,0,1,1,1,1
23,24.380952,0.290249,0.091943,5027.927,10311.920,4572.833,0.081731,,0.0000,-411.061371,8.234956,8.786643,66.861320,13.387182,23.661119,13.508416,22.035870,1.712435,11.833698,13.982766,8.681681,9.587822,unpitched,bright,medium,medium,1,0,0,0,1,1,1,1
24,24.671202,0.290249,0.092710,3170.812,6671.152,3775.360,0.060040,,0.0000,-447.015656,29.848673,16.823750,62.972862,18.326124,19.388412,21.230619,19.281576,5.210660,13.342904,13.666509,7.332675,9.541030,unpitched,dark,medium,medium,1,0,0,0,1,1,1,1
25,24.961451,0.325079,0.029180,6412.993,10291.386,3796.891,0.244461,,0.0000,-432.545532,33.033482,-22.780769,65.519348,-5.199177,27.584087,-3.244406,2.413774,-0.453370,-1.133685,-7.109677,-4.072502,-0.830232,unpitched,bright,medium,long,4,1,2,3,4,4,4,4
26,25.286531,0.278639,0.008408,7786.385,11564.191,3670.101,0.305703,,0.0000,-544.959412,-44.763828,-17.628508,105.925293,-16.283489,20.936707,-11.147138,21.729212,-13.772469,10.069771,0.675705,4.568299,-1.082452,unpitched,bright,soft,short,0,0,0,0,0,0,0,0
27,25.565170,0.050000,0.008861,4543.048,8376.416,4332.614,0.078320,,0.0000,-472.931946,83.586975,-34.887039,48.500511,16.380091,11.260088,1.305235,-1.072510,-10.564032,-1.482441,3.440427,1.023318,-4.338503,unpitched,mid,soft,short,2,1,2,1,2,2,2,2
28,25.600000,0.278639,0.094641,4977.814,10324.740,4647.956,0.070547,,0.0000,-409.077240,6.941228,11.121311,72.001122,12.830461,24.823977,15.245680,24.222261,3.389958,14.487741,16.727089,11.496152,11.865265,unpitched,bright,loud,short,1,0,0,0,1,1,1,1
29,25.878639,0.290249,0.092204,3535.679,6981.727,3832.624,0.074538,,0.0000,-440.947784,33.921494,17.253716,64.494743,18.912382,16.779051,19.443792,18.743765,3.946024,12.171509,13.458129,6.277043,7.618363,unpitched,mid,medium,medium,1,0,0,0,1,1,1,1
30,26.168889,0.336689,0.027385,6504.266,10347.422,3686.114,0.261735,,0.0000,-435.341522,25.147913,-30.601542,65.224739,-7.889690,26.205648,-3.809744,5.437374,-1.030077,0.060755,-4.503001,-4.067797,-1.498007,unpitched,bright,soft,long,4,1,2,3,4,4,4,4
31,26.505578,0.267029,0.008883,7822.175,11510.394,3603.371,0.313253,,0.0000,-538.905762,-52.151917,-31.535494,95.494164,-19.053751,21.619753,-14.186582,16.897629,-16.443090,8.735110,0.562353,5.388751,-0.558785,unpitched,bright,soft,short,0,0,0,0,0,0,0,0
32,26.772608,0.050000,0.002607,4785.994,9431.543,4519.493,0.072754,,0.0000,-547.828918,83.308929,-17.566372,59.375465,1.348493,6.687051,-3.021918,0.466321,-9.983404,-1.618768,3.802930,-6.932841,-4.038966,unpitched,bright,soft,short,2,1,2,1,2,2,2,2
33,26.807438,0.278639,0.094997,5119.799,10432.406,4645.909,0.075625,,0.0000,-415.032806,3.353965,10.336216,72.924202,15.124709,26.450047,13.356959,23.801023,5.187725,14.451232,14.672726,8.497865,8.482121,unpitched,bright,loud,short,1,0,0,0,1,1,1,1
34,27.086077,0.290249,0.091720,3577.743,7182.151,3828.831,0.070632,,0.0000,-446.018860,28.923052,15.937402,63.325443,19.650585,18.103956,17.698517,18.203064,5.716820,13.876901,14.564946,8.528687,9.053285,unpitched,mid,medium,medium,1,0,0,0,1,1,1,1
35,27.376327,0.336689,0.028796,6512.661,10341.680,3710.128,0.255729,,0.0000,-437.116608,28.701944,-21.149393,65.290489,-7.623909,25.565279,-2.016378,2.627835,-1.765377,-0.608949,-5.448845,-5.378136,-1.703097,unpitched,bright,medium,long,4,1,2,3,4,4,4,4
36,27.713016,0.290249,0.008052,7777.314,11616.335,3724.288,0.308237,,0.0000,-550.703003,-41.762222,-19.079304,99.230034,-17.560211,22.088408,-11.930088,18.672705,-14.413193,8.543105,-1.690203,3.574669,0.474680,unpitched,bright,soft,medium,1,0,0,0,1,1,1,1
37,28.003265,0.290249,0.090743,5026.046,10353.330,4669.181,0.078181,,0.0000,-417.124176,5.468374,12.371863,71.186081,14.440563,24.748312,14.428186,24.743202,5.192349,14.121789,15.123554,9.595262,8.486527,unpitched,bright,medium,medium,1,0,0,0,1,1,1,1
38,28.293515,0.301859,0.090102,3562.435,7083.626,3832.820,0.069101,,0.0000,-447.216949,31.867273,17.777637,62.410812,18.023369,18.195864,18.854088,17.304165,3.836704,11.652645,11.694271,6.152015,8.259523,unpitched,mid,medium,long,3,0,1,2,3,3,3,3
39,28.595374,0.325079,0.028552,6665.418,10416.873,3630.829,0.267359,,0.0000,-435.349823,23.954189,-24.710047,65.226227,-11.363299,26.419563,-3.351624,3.407647,-1.575332,0.922345,-5.567276,-3.131960,-0.121032,unpitched,bright,medium,long,4,1,2,3,4,4,4,4
