start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
178.538231,179.281270,104.4276,44,G#2,0.4461
179.281270,180.093968,103.8262,44,G#2,0.6545
180.093968,180.929887,104.4276,44,G#2,0.7236
180.929887,181.719365,103.8262,44,G#2,0.7321
181.719365,182.578503,104.4276,44,G#2,0.7456
182.578503,183.391202,103.8262,44,G#2,0.7551
183.391202,184.273560,104.7301,44,G#2,0.7347
184.273560,185.225578,104.4276,44,G#2,0.6949
185.225578,185.806077,105.0326,44,G#2,0.5893
185.806077,186.084717,104.4276,44,G#2,0.4771
