time,peak
0.000726,0.000452
0.002177,0.000317
0.003628,0.000317
0.005079,0.000181
0.006531,0.000317
0.007982,0.000407
0.009433,0.000407
0.010884,0.000226
0.012336,0.000317
0.013787,0.000317
0.015238,0.000317
0.016689,0.000769
0.018141,0.003483
0.019592,0.000271
0.021043,0.000226
0.022494,0.000452
0.023946,0.000498
0.025397,0.000271
0.026848,0.000317
0.028299,0.000181
0.029751,0.000317
0.031202,0.000407
0.032653,0.000407
0.034104,0.000181
0.035556,0.000271
0.037007,0.000407
0.038458,0.000362
0.039909,0.000769
0.041361,0.003348
0.042812,0.000271
0.044263,0.000317
0.045714,0.000407
0.047166,0.000452
0.048617,0.000271
0.050068,0.000317
0.051519,0.000181
0.052971,0.000407
0.054422,0.000407
0.055873,0.000362
0.057324,0.000271
0.058776,0.000271
0.060227,0.000588
0.061678,0.000452
0.063129,0.001267
0.064580,0.003574
0.066032,0.000498
0.067483,0.000407
0.068934,0.000679
0.070385,0.000633
0.071837,0.000407
0.073288,0.000633
0.074739,0.000633
0.076190,0.000588
0.077642,0.000814
0.079093,0.000769
0.080544,0.000905
0.081995,0.000724
0.083447,0.001402
0.084898,0.000633
0.086349,0.001945
0.087800,0.002352
0.089252,0.000317
0.090703,0.000498
0.092154,0.000679
0.093605,0.000543
0.095057,0.000588
0.096508,0.000543
0.097959,0.001131
0.099410,0.001040
0.100862,0.001629
0.102313,0.001719
0.103764,0.000950
0.105215,0.001267
0.106667,0.000769
0.108118,0.000860
0.109569,0.002624
0.111020,0.002352
0.112472,0.000995
0.113923,0.000995
0.115374,0.001040
0.116825,0.000905
0.118277,0.000905
0.119728,0.000905
0.121179,0.001312
0.122630,0.000950
0.124082,0.001357
0.125533,0.000905
0.126984,0.001221
0.128435,0.000950
0.129887,0.002986
0.131338,0.003031
0.132789,0.003891
0.134240,0.001448
0.135692,0.001900
0.137143,0.002171
0.138594,0.002579
0.140045,0.002669
0.141497,0.002760
0.142948,0.001945
0.144399,0.002398
0.145850,0.001357
0.147302,0.001583
0.148753,0.004207
0.150204,0.002352
0.151655,0.001900
0.153107,0.164126
0.154558,0.133680
0.156009,0.326759
0.157460,0.488577
0.158912,0.651120
0.160363,0.645555
0.161814,0.197829
0.163265,0.295227
0.164717,0.339742
0.166168,0.132866
0.167619,0.442208
0.169070,0.320380
0.170522,0.360959
0.171973,0.253065
0.173424,0.272427
0.174875,0.155666
0.176327,0.268039
0.177778,0.371635
0.179229,0.345171
0.180680,0.157883
0.182132,0.454739
0.183583,0.413164
0.185034,0.594617
0.186485,0.562950
0.187937,0.627822
0.189388,0.595567
0.190839,0.476725
0.192290,0.445465
0.193741,0.391857
0.195193,0.309613
0.196644,0.311649
0.198095,0.155621
0.199546,0.602126
0.200998,0.080253
0.202449,0.168333
0.203900,0.613934
0.205351,0.381995
0.206803,0.485953
0.208254,0.361411
0.209705,0.281972
0.211156,0.360552
0.212608,0.175074
0.214059,0.314725
0.215510,0.515630
0.216961,0.439629
0.218413,0.513232
0.219864,0.495046
0.221315,0.237096
0.222766,0.283420
0.224218,0.347026
0.225669,0.359466
0.227120,0.218231
0.228571,0.324632
0.230023,0.530513
0.231474,0.529021
0.232925,0.532233
0.234376,0.431305
0.235828,0.375209
0.237279,0.522868
0.238730,0.408867
0.240181,0.547161
0.241633,0.389007
0.243084,0.179281
0.244535,0.151685
0.245986,0.239041
0.247438,0.301244
0.248889,0.397602
0.250340,0.312916
0.251791,0.567292
0.253243,0.578331
0.254694,0.388781
0.256145,0.616376
