start_time,end_time,pitch_hz,pitch_midi,note_name,confidence
0.626939,0.743039,278.7883,61,C#4,0.6624
1.671837,1.973696,276.3844,61,C#4,0.4730
2.345215,2.484535,278.7883,61,C#4,0.6300
3.831293,3.924172,275.5862,61,C#4,0.4003
4.017052,4.109932,277.1826,61,C#4,0.4053
6.524807,6.640907,278.7883,61,C#4,0.5060
7.476825,7.569705,280.4033,61,C#4,0.3881
8.335964,8.428844,277.9855,61,C#4,0.4626
8.962902,9.079002,277.1826,61,C#4,0.5713
10.402540,10.495420,278.7883,61,C#4,0.4200
11.888617,12.004717,277.1826,61,C#4,0.5148
12.120816,12.260136,278.7883,61,C#4,0.5454
13.514014,13.699773,275.5862,61,C#4,0.4977
14.907211,15.000091,275.5862,61,C#4,0.4016
15.162630,15.255510,275.5862,61,C#4,0.4481
16.277188,16.370068,277.1826,61,C#4,0.5557
16.950567,17.066667,277.1826,61,C#4,0.5536
91.718821,91.834921,283.6615,61,C#4,0.6643
92.694059,92.786939,275.5862,61,C#4,0.5664
94.969615,95.132154,347.2168,65,F4,0.4784
95.434014,95.526893,578.9115,74,D5,0.7994
95.550113,95.666213,678.5728,76,E5,0.4643
101.076463,101.378322,275.5862,61,C#4,0.6067
104.350476,104.698776,277.1826,61,C#4,0.4611
105.511474,105.650794,277.1826,61,C#4,0.6373
147.702132,147.818231,885.0978,81,A5,0.4516
148.932789,149.072109,278.7883,61,C#4,0.6111
150.000907,150.233107,277.9855,61,C#4,0.6183
150.511746,150.627846,282.0277,61,C#4,0.7379
