time,peak
0.000726,0.004598
0.002177,0.002299
0.003628,0.003448
0.005079,0.002299
0.006531,0.002299
0.007982,0.002299
0.009433,0.003448
0.010884,0.002299
0.012336,0.003448
0.013787,0.003448
0.015238,0.004598
0.016689,0.006897
0.018141,0.011494
0.019592,0.003448
0.021043,0.002299
0.022494,0.003448
0.023946,0.004598
0.025397,0.002299
0.026848,0.003448
0.028299,0.002299
0.029751,0.002299
0.031202,0.002299
0.032653,0.003448
0.034104,0.002299
0.035556,0.003448
0.037007,0.003448
0.038458,0.004598
0.039909,0.008046
0.041361,0.010345
0.042812,0.003448
0.044263,0.002299
0.045714,0.002299
0.047166,0.004598
0.048617,0.002299
0.050068,0.003448
0.051519,0.003448
0.052971,0.001149
0.054422,0.002299
0.055873,0.003448
0.057324,0.003448
0.058776,0.003448
0.060227,0.002299
0.061678,0.004598
0.063129,0.008046
0.064580,0.009195
0.066032,0.003448
0.067483,0.003448
0.068934,0.003448
0.070385,0.004598
0.071837,0.003448
0.073288,0.002299
0.074739,0.004598
0.076190,0.004598
0.077642,0.002299
0.079093,0.005747
0.080544,0.004598
0.081995,0.004598
0.083447,0.004598
0.084898,0.005747
0.086349,0.010345
0.087800,0.016092
0.089252,0.005747
0.090703,0.002299
0.092154,0.003448
0.093605,0.003448
0.095057,0.003448
0.096508,0.004598
0.097959,0.003448
0.099410,0.004598
0.100862,0.003448
0.102313,0.006897
0.103764,0.006897
0.105215,0.005747
0.106667,0.005747
0.108118,0.004598
0.109569,0.019540
0.111020,0.014943
0.112472,0.005747
0.113923,0.006897
0.115374,0.004598
0.116825,0.006897
0.118277,0.003448
0.119728,0.002299
0.121179,0.003448
0.122630,0.004598
0.124082,0.003448
0.125533,0.005747
0.126984,0.003448
0.128435,0.004598
0.129887,0.005747
0.131338,0.003448
0.132789,0.009195
0.134240,0.019540
0.135692,0.005747
0.137143,0.005747
0.138594,0.005747
0.140045,0.006897
0.141497,0.004598
0.142948,0.004598
0.144399,0.002299
0.145850,0.004598
0.147302,0.005747
0.148753,0.002299
0.150204,0.004598
0.151655,0.003448
0.153107,0.008046
0.154558,0.006897
0.156009,0.013793
0.157460,0.010345
0.158912,0.010345
0.160363,0.006897
0.161814,0.005747
0.163265,0.009195
0.164717,0.010345
0.166168,0.006897
0.167619,0.008046
0.169070,0.008046
0.170522,0.003448
0.171973,0.006897
0.173424,0.006897
0.174875,0.008046
0.176327,0.004598
0.177778,0.012644
0.179229,0.009195
0.180680,0.006897
0.182132,0.013793
0.183583,0.008046
0.185034,0.011494
0.186485,0.010345
0.187937,0.005747
0.189388,0.006897
0.190839,0.008046
0.192290,0.011494
0.193741,0.005747
0.195193,0.009195
0.196644,0.009195
0.198095,0.011494
0.199546,0.010345
0.200998,0.010345
0.202449,0.022989
0.203900,0.021839
0.205351,0.006897
0.206803,0.011494
0.208254,0.017241
0.209705,0.018391
0.211156,0.017241
0.212608,0.009195
0.214059,0.012644
0.215510,0.010345
0.216961,0.013793
0.218413,0.012644
0.219864,0.011494
0.221315,0.014943
0.222766,0.011494
0.224218,0.016092
0.225669,0.016092
0.227120,0.016092
0.228571,0.021839
0.230023,0.020690
0.231474,0.020690
0.232925,0.017241
0.234376,0.016092
0.235828,0.018391
0.237279,0.012644
0.238730,0.016092
0.240181,0.013793
0.241633,0.013793
0.243084,0.017241
0.244535,0.016092
0.245986,0.011494
0.247438,0.011494
0.248889,0.017241
0.250340,0.014943
0.251791,0.017241
0.253243,0.016092
0.254694,0.006897
0.256145,0.004598
0.257596,0.009195
0.259048,0.012644
0.260499,0.009195
0.261950,0.009195
0.263401,0.009195
0.264853,0.005747
0.266304,0.013793
0.267755,0.006897
0.269206,0.005747
0.270658,0.009195
0.272109,0.009195
0.273560,0.006897
0.275011,0.004598
0.276463,0.009195
0.277914,0.006897
0.279365,0.009195
0.280816,0.005747
0.282268,0.005747
0.283719,0.002299
0.285170,0.002299
0.286621,0.002299
0.288073,0.005747
0.289524,0.004598
0.290975,0.003448
0.292426,0.004598
0.293878,0.005747
0.295329,0.010345
0.296780,0.008046
0.298231,0.006897
0.299683,0.008046
0.301134,0.005747
0.302585,0.005747
0.304036,0.010345
0.305488,0.003448
0.306939,0.010345
0.308390,0.006897
0.309841,0.005747
0.311293,0.004598
0.312744,0.009195
0.314195,0.011494
0.315646,0.014943
0.317098,0.011494
0.318549,0.012644
0.320000,0.019540
0.321451,0.017241
0.322902,0.011494
0.324354,0.009195
0.325805,0.009195
0.327256,0.009195
0.328707,0.016092
0.330159,0.013793
0.331610,0.014943
0.333061,0.009195
0.334512,0.006897
0.335964,0.018391
0.337415,0.013793
0.338866,0.011494
0.340317,0.011494
0.341769,0.011494
0.343220,0.010345
0.344671,0.008046
0.346122,0.008046
0.347574,0.013793
0.349025,0.008046
0.350476,0.011494
0.351927,0.009195
0.353379,0.008046
0.354830,0.011494
0.356281,0.010345
0.357732,0.006897
0.359184,0.004598
0.360635,0.005747
0.362086,0.004598
0.363537,0.011494
0.364989,0.006897
0.366440,0.006897
0.367891,0.005747
0.369342,0.008046
0.370794,0.009195
0.372245,0.006897
0.373696,0.006897
0.375147,0.006897
0.376599,0.009195
0.378050,0.005747
0.379501,0.005747
0.380952,0.009195
0.382404,0.010345
0.383855,0.012644
0.385306,0.004598
0.386757,0.005747
0.388209,0.010345
0.389660,0.005747
0.391111,0.008046
0.392562,0.013793
0.394014,0.006897
0.395465,0.009195
0.396916,0.006897
0.398367,0.011494
0.399819,0.008046
0.401270,0.011494
0.402721,0.009195
0.404172,0.009195
0.405624,0.012644
0.407075,0.009195
0.408526,0.013793
0.409977,0.008046
0.411429,0.012644
0.412880,0.008046
0.414331,0.010345
0.415782,0.009195
0.417234,0.006897
0.418685,0.006897
0.420136,0.008046
0.421587,0.006897
0.423039,0.006897
0.424490,0.004598
0.425941,0.009195
0.427392,0.013793
0.428844,0.019540
0.430295,0.016092
0.431746,0.008046
0.433197,0.013793
0.434649,0.014943
0.436100,0.014943
0.437551,0.014943
0.439002,0.011494
0.440454,0.013793
0.441905,0.017241
0.443356,0.017241
0.444807,0.021839
0.446259,0.011494
0.447710,0.016092
0.449161,0.014943
0.450612,0.011494
0.452063,0.029885
0.453515,0.009195
0.454966,0.021839
0.456417,0.012644
0.457868,0.017241
0.459320,0.013793
0.460771,0.014943
0.462222,0.013793
0.463673,0.018391
0.465125,0.012644
0.466576,0.014943
0.468027,0.009195
0.469478,0.016092
0.470930,0.018391
0.472381,0.014943
0.473832,0.018391
0.475283,0.016092
0.476735,0.016092
0.478186,0.016092
0.479637,0.020690
0.481088,0.020690
0.482540,0.018391
0.483991,0.014943
0.485442,0.017241
0.486893,0.018391
0.488345,0.011494
0.489796,0.020690
0.491247,0.013793
0.492698,0.013793
0.494150,0.018391
0.495601,0.018391
0.497052,0.020690
0.498503,0.016092
0.499955,0.016092
0.501406,0.022989
0.502857,0.014943
0.504308,0.020690
0.505760,0.017241
